Date,Total Current Assets,Total Liabilities,Total Debt,Total Current Liabilities,Total Equity,Total Liabilities And Shareholders' Equity,Tangible Book Value - Reported,Tangible Book Value - Utility,Tangible Book Value - Insurance,Tangible Book Value - Banks,Total Common Shares Outstanding,"Total Receivables, Net",Total Inventory,"Other Current Assets, Total","Other Earning Assets, Total",Net Loans,"Property/Plant/Equipment, Total - Net","Goodwill, Net","Intangibles, Net","Other Assets, Total","Total Assets, Reported",Fed Funds Purchased / Security Sold Under Repurchase Agreement,Total Short Term Borrowings,"Other Current liabilities, Total","Other Liabilities, Total","Common Stock, Total","Other Equity, Total","Accounts Receivable - Trade, Net",Total Investment Securities,"Property, Plant And Equipment, Total - Gross",Cash,Cash and Equivalents,Cash and Equivalents,"Accounts Receivable - Trade, Gross",Provision for Doubtful Accounts,Receivables - Other,Prepaid Expenses,Other Current Assets,Cash & Due From Banks,Fed Funds Sold/Scty Prchd Under Resale Agrmnt,Other Short Term Investments,Securities Held To Maturity,Securities for Sale,Total Gross Loans,Loan Loss Allowances,Building - Gross,Land/Improvements - Gross,Machinery/Equipment - Gross,Construction in Progress - Gross,Other Property/Plant/Equipment - Gross,"Accumulated Depreciation, Total",Accumulated Intangible Amortization,Interest Receivable,Other Assets,Accounts Payable,Accrued Expenses,Interest Bearing Deposits,Total Deposits,Other Short Term Borrowings,Dividends Payable,Customer Advances,Income Taxes Payable,Other Payables,Other Current Liabilities,Capital Lease Obligations,Reserves,Pension Benefits - Underfunded,Other Liabilities,Common Stock,Additional Paid-In Capital,Retained Earnings (Accumulated Deficit),Treasury Stock - Common,Unrealized Gain (Loss),Translation Adjustment,Other Equity,Other Comprehensive Income,Shares Out - Common Stock Primary Issue,Treas Shares - Common Stock Prmry Issue,Full-Time Employees,Deferred Revenue - Current,Total Risk-Weighted Capital,Trading Account,Non-Performing Loans,Total Current Assets less Inventory,Quick Ratio,Current Ratio,Net Debt Incl. Pref.Stock & Min.Interest,Tangible Book Value Per Share,Pension Obligation - Domestic,Plan Assets - Domestic,Funded Status - Domestic,Total Funded Status,LT Investment - Affiliate Companies,LT Investments - Other,Long Term Investments,Note Receivable - Long Term,Deferred Income Tax - LT Asset,Restricted Cash - Long Term,Other Long Term Assets,Minority Interest,Other Long Term Liabilities,Long Term Debt Maturing within 1 Year,Long Term Debt Maturing in Year 2,Long Term Debt Maturing in Year 3,Long Term Debt Maturing in Year 4,Long Term Debt Maturing in Year 5,Long Term Debt Maturing in Years 2 and 3,Long Term Debt Maturing in Years 4 and 5,Long Term Debt Maturing in Year 6 and Beyond,Total Plan Obligations,Total Plan Assets,Short Term Investments,Cash and Short Term Investments,Notes Receivable - Short Term,"Intangibles, Gross","Other Long Term Assets, Total",Notes Payable/Short Term Debt,Notes Payable/Short Term Debt,Current Port. of LT Debt/Capital Leases,Long Term Debt,Total Long Term Debt,Deferred Income Tax - LT Liability,Number of Common Shareholders,"Accumulated Intangible Amort, Suppl.",Deferred Revenue - Long Term,Tier 1 Capital %,"Total Capital, Percent","Total Long Term Debt, Supplemental",Operating Lease Payments Due in Year 1,Operating Lease Payments Due in Year 2,Operating Lease Payments Due in Year 3,Operating Lease Payments Due in Year 4,Operating Lease Payments Due in Year 5,Operating Lease Payments Due in Years 2 and 3,Operating Lease Payments Due in Years 4 and 5,Oper Lease Pmnts Due in Years 6 and Beyond,"Total Operating Leases, Supplemental","Discount Rate - Domestic, (%)","Compensation Rate - Domestic, (%)",Accrued Liabilities - Domestic,OAPermID
2010-12-31,,1142482344000,223346859000,,75018339000,1217500683000,46953960000,46953960000,46953960000,46953960000,12813763910,,,,290703740000,724050329000,11141637000,24622345000,3442034000,17300611000,1217500683000,,,4306246000,192066040000,4164561000,5100809000,,94012229000,17929799000,,,122593384000,,,,,,122593384000,,39929781000,,94012229000,735318317000,-19696998000,,,,,17929799000,-6788162000,-2732000000,,17300611000,,4891489000,,707663447000,,,,4306246000,,,,6140760000,9519093000,176351603000,4164561000,29457152000,36488105000,-192288000,,-894417000,5995226000,,12813763910,0,178869,,604885000000,,28522000000,,,,,3.66434,3273000000,,-3273000000,-10075000000,272915000,,272915000,,17088668000,,,5896119000,,,,,,,,,,28051000000,17976000000,,,,6174034000,23373688000,,,,223346859000,223346859000,4312144000,3202324,2732065000,4891000000,10.02,13.11,,212000000,205000000,199000000,193000000,187000000,404000000,380000000,2010000000,3006000000,,1.5,,8589934205
2011-12-31,,1176549000000,220287000000,,74460000000,1251009000000,46377000000,46377000000,46377000000,46377000000,10067144120,,,,192465000000,735577000000,9995000000,25089000000,2994000000,116170000000,1251009000000,,,5101000000,181651000000,4455000000,2656000000,,86613000000,14602000000,,,138913000000,,,,,,138913000000,,33312000000,,86613000000,747543000000,-18806000000,,5654000000,8543000000,405000000,,-6805000000,-3641000000,,116170000000,,,,742070000000,,,,5101000000,,,,6527000000,10782000000,164301000000,4455000000,31223000000,38310000000,-251000000,-1933000000,-3208000000,5864000000,,10067144120,0,187233,,,114005000000,,,,,,4.60677,,,,,4155000000,,4155000000,,18455000000,,,6354000000,,,,,,,,,,,,,,,6635000000,25651000000,,,,220287000000,220287000000,2865000000,3293537,3641000000,,11.01,13.56,,,,,,,,,,,,,,8589934205
2012-12-31,,1197848000000,224206000000,,71797000000,1269645000000,43735000000,43735000000,43735000000,43735000000,9906597680,,,,200530000000,703073000000,10315000000,24626000000,3436000000,123903000000,1269645000000,,,5162000000,175929000000,5161000000,-6988000000,,92266000000,15780000000,,,172273000000,,,,,,172273000000,,39837000000,,92266000000,721436000000,-25422000000,,5735000000,9577000000,468000000,,-7644000000,-3236000000,,123903000000,,,,761288000000,,,,5162000000,,,,5649000000,10353000000,159925000000,5161000000,37412000000,39383000000,-287000000,-2884000000,-5968000000,-1020000000,,9906597680,54668290,186763,,,101097000000,,,,,,4.41473,,,,,4454000000,,4454000000,,20987000000,,,9415000000,,,,,,,,,,,,,,,6672000000,27035000000,,,,224206000000,224206000000,2603000000,3296270,3236000000,,11.17,13.09,,,,,,,,,,,,,,8589934205
2013-12-31,,1045435000000,191615000000,,70328000000,1115763000000,44087000000,44087000000,44087000000,44087000000,12945840460,,,,184249000000,658467000000,9974000000,23281000000,2960000000,71942000000,1115763000000,,,4254000000,124617000000,5667000000,-11499000000,,83799000000,15795000000,,,133120000000,,,,,,133120000000,,43362000000,,83799000000,675484000000,-24903000000,,5781000000,9784000000,230000000,,-8008000000,-3733000000,,71942000000,,,,697400000000,,,,4254000000,,,,5463000000,9126000000,110027000000,5667000000,36804000000,42231000000,-9000000,-2866000000,-10642000000,-857000000,,12945840460,1593570,182958,,,92176000000,,,,,,3.4055,,,,,5536000000,,5536000000,,21193000000,,,9314000000,,,,,,,,,,,,,,,6693000000,26234000000,,,,191615000000,191615000000,1825000000,3299026,3733000000,,12.6,14.59,,,,,,,,,,,,,,8589934205
2014-12-31,,1185491000000,214021000000,,80805000000,1266296000000,50404000000,50404000000,50404000000,50404000000,14374949030,,,,244351000000,730329000000,16889000000,27548000000,2853000000,92168000000,1266296000000,,,4852000000,143834000000,6292000000,-7482000000,,115250000000,17351000000,,,120734000000,,,,,,120734000000,,56386000000,,115250000000,750036000000,-27217000000,,5829000000,11210000000,312000000,,-9027000000,-3852000000,,92168000000,,,,789880000000,,,,4852000000,,,,5964000000,9412000000,128437000000,6292000000,38611000000,46976000000,-10000000,-3582000000,-8955000000,1473000000,,14374949030,1638440,185405,,585243000000,102774000000,40372000000,,,,,3.50638,2237000000,,-2237000000,-8864000000,3471000000,,3471000000,,22164000000,,,8909000000,,,,,,,,,,29597000000,20733000000,,,,6705000000,27953000000,,,,214021000000,214021000000,4527000000,3240395,3852000000,,12.2,13.3,,187000000,,,,,,,0,187000000,,1.5,,8589934205
2014-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8589934205
2015-12-31,,1252220000000,226182000000,,88040000000,1340260000000,58610000000,58610000000,58610000000,58610000000,15615963620,,,,258841000000,778879000000,19335000000,26960000000,2470000000,90461000000,1340260000000,,,2160000000,160549000000,7217000000,-12529000000,,126391000000,17442000000,,,131585000000,,,,,,131585000000,,55369000000,4355000000,122036000000,801768000000,-26517000000,,5754000000,,330000000,11358000000,-9493000000,-4296000000,,90461000000,,,,847051000000,,,,2160000000,,,,6222000000,8272000000,146055000000,7217000000,45001000000,51726000000,-210000000,-3165000000,-11980000000,-549000000,,15615963620,43711080,193863,,585609000000,93286000000,36133000000,,,,,3.75321,1813000000,,-1813000000,-7355000000,3251000000,,3251000000,,22045000000,,,10713000000,,,,,,,,,,27400000000,20045000000,,,,6766000000,28478000000,,,,226182000000,226182000000,5565000000,3573277,4296000000,,12.55,14.4,,,,,,,,,,,,1.0,,8589934205
2016-12-31,,1248187000000,228869000000,,90938000000,1339125000000,61517000000,61517000000,61517000000,61517000000,15658070450,,,,290600000000,773919000000,20770000000,26724000000,2697000000,87595000000,1339125000000,,,2679000000,170066000000,7291000000,-13484000000,,131242000000,18112000000,,,104427000000,,,,,,104427000000,,40143000000,14468000000,116774000000,795476000000,-24393000000,,5713000000,,211000000,12188000000,-10252000000,-5145000000,,87595000000,,,,829118000000,,,,2679000000,,,,7883000000,6576000000,155607000000,7291000000,44912000000,56157000000,-7000000,-3931000000,-12995000000,-489000000,,15658070450,1586010,188492,,588088000000,101036000000,33643000000,,,,,3.92877,1657000000,,-1657000000,-7624000000,4836000000,,4836000000,,21264000000,,,11761000000,,,,,,,,,,29344000000,21720000000,,,,7842000000,27557000000,,,,228869000000,228869000000,5694000000,3928950,5145000000,,12.53,13.87,,,,,,,,,,,,1.0,,8589934205
2017-12-31,,1349816000000,217966000000,,94489000000,1444305000000,65806000000,65806000000,65806000000,65806000000,16938379730,,,,307884000000,830051000000,20650000000,25769000000,2914000000,74486000000,1444305000000,,,2755000000,172623000000,8068000000,-20633000000,,146762000000,19276000000,,,137273000000,,,,,,137273000000,,42711000000,13491000000,133271000000,853985000000,-23934000000,,5892000000,,563000000,12821000000,-10997000000,-5626000000,,74486000000,,,,939291000000,,,,2755000000,,,,8144000000,6345000000,158134000000,8068000000,51053000000,60056000000,-22000000,-4033000000,-19741000000,-892000000,,16938379730,4108890,202251,,605064000000,109132000000,36280000000,,,,,3.88502,1660000000,17000000,-1643000000,-7339000000,6184000000,,6184000000,,23210000000,,,12344000000,,,,,,,,,,30162000000,22823000000,,,,8540000000,39094000000,,,,217966000000,217966000000,4837000000,4029630,5626000000,,12.77,14.48,,,,,,,,,,,,1.0,,8589934205
2017-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8589934205
