Date,Total Current Assets,Total Liabilities,Total Debt,Total Current Liabilities,Total Equity,Total Liabilities And Shareholders' Equity,Tangible Book Value - Reported,Tangible Book Value - Utility,Tangible Book Value - Insurance,Tangible Book Value - Banks,Total Common Shares Outstanding,"Total Receivables, Net",Total Inventory,"Other Current Assets, Total","Other Earning Assets, Total",Net Loans,"Property/Plant/Equipment, Total - Net","Goodwill, Net","Intangibles, Net","Other Assets, Total","Total Assets, Reported",Fed Funds Purchased / Security Sold Under Repurchase Agreement,Total Short Term Borrowings,"Other Current liabilities, Total","Other Liabilities, Total","Common Stock, Total","Other Equity, Total","Accounts Receivable - Trade, Net",Total Investment Securities,"Property, Plant And Equipment, Total - Gross",Cash,Cash and Equivalents,Cash and Equivalents,"Accounts Receivable - Trade, Gross",Provision for Doubtful Accounts,Receivables - Other,Prepaid Expenses,Other Current Assets,Cash & Due From Banks,Fed Funds Sold/Scty Prchd Under Resale Agrmnt,Other Short Term Investments,Securities Held To Maturity,Securities for Sale,Total Gross Loans,Loan Loss Allowances,Building - Gross,Land/Improvements - Gross,Machinery/Equipment - Gross,Construction in Progress - Gross,Other Property/Plant/Equipment - Gross,"Accumulated Depreciation, Total",Accumulated Intangible Amortization,Interest Receivable,Other Assets,Accounts Payable,Accrued Expenses,Interest Bearing Deposits,Total Deposits,Other Short Term Borrowings,Dividends Payable,Customer Advances,Income Taxes Payable,Other Payables,Other Current Liabilities,Capital Lease Obligations,Reserves,Pension Benefits - Underfunded,Other Liabilities,Common Stock,Additional Paid-In Capital,Retained Earnings (Accumulated Deficit),Treasury Stock - Common,Unrealized Gain (Loss),Translation Adjustment,Other Equity,Other Comprehensive Income,Shares Out - Common Stock Primary Issue,Treas Shares - Common Stock Prmry Issue,Full-Time Employees,Deferred Revenue - Current,Total Risk-Weighted Capital,Trading Account,Non-Performing Loans,Total Current Assets less Inventory,Quick Ratio,Current Ratio,Net Debt Incl. Pref.Stock & Min.Interest,Tangible Book Value Per Share,Pension Obligation - Domestic,Plan Assets - Domestic,Funded Status - Domestic,Total Funded Status,LT Investment - Affiliate Companies,LT Investments - Other,Long Term Investments,Note Receivable - Long Term,Deferred Income Tax - LT Asset,Restricted Cash - Long Term,Other Long Term Assets,Minority Interest,Other Long Term Liabilities,Long Term Debt Maturing within 1 Year,Long Term Debt Maturing in Year 2,Long Term Debt Maturing in Year 3,Long Term Debt Maturing in Year 4,Long Term Debt Maturing in Year 5,Long Term Debt Maturing in Years 2 and 3,Long Term Debt Maturing in Years 4 and 5,Long Term Debt Maturing in Year 6 and Beyond,Total Plan Obligations,Total Plan Assets,Short Term Investments,Cash and Short Term Investments,Notes Receivable - Short Term,"Intangibles, Gross","Other Long Term Assets, Total",Notes Payable/Short Term Debt,Notes Payable/Short Term Debt,Current Port. of LT Debt/Capital Leases,Long Term Debt,Total Long Term Debt,Deferred Income Tax - LT Liability,Number of Common Shareholders,"Accumulated Intangible Amort, Suppl.",Deferred Revenue - Long Term,Tier 1 Capital %,"Total Capital, Percent","Total Long Term Debt, Supplemental",Operating Lease Payments Due in Year 1,Operating Lease Payments Due in Year 2,Operating Lease Payments Due in Year 3,Operating Lease Payments Due in Year 4,Operating Lease Payments Due in Year 5,Operating Lease Payments Due in Years 2 and 3,Operating Lease Payments Due in Years 4 and 5,Oper Lease Pmnts Due in Years 6 and Beyond,"Total Operating Leases, Supplemental","Discount Rate - Domestic, (%)","Compensation Rate - Domestic, (%)",Accrued Liabilities - Domestic,OAPermID
2010-12-31,,1085651000000,12023000000,,46421000000,1132072000000,37466000000,37466000000,37466000000,37466000000,725114970,,,,560878000000,471358000000,13839000000,7431000000,1524000000,55561000000,1132072000000,,,1343000000,149847000000,933000000,-556000000,,558996000000,22806000000,,,14004000000,,,,,,14004000000,,,,103836000000,456201000000,-13958000000,,4476000000,5286000000,856000000,12188000000,-8967000000,-2183000000,,55112000000,,,141385000000,558921000000,,,,1343000000,,,,2026000000,,147815000000,933000000,,46044000000,,,,,-556000000,725114970,21306660,155617,1600000000,334795000000,,27280000000,,,,,51.66905,2241000000,1814000000,-427000000,-1118000000,1968000000,,1968000000,,5445000000,,,4554000000,,469000000,690000000,342000000,378000000,988000000,1032000000,1366000000,8298000000,2986000000,1868000000,,,,3707000000,5509000000,,,469000000,11554000000,11554000000,,,2183000000,,10.6,12.1,11165000000,2031000000,989250000,989250000,989250000,989250000,1978500000,1978500000,22000000,6010000000,4.27,1.75,,5000039357
2011-12-31,,1134305000000,10541000000,,47067000000,1181372000000,38415000000,38415000000,38415000000,38415000000,746987040,,,,548685000000,483357000000,14811000000,6973000000,1679000000,74306000000,1181372000000,,,1195000000,162277000000,970000000,-1015000000,,547232000000,24039000000,,,43888000000,,,,,,43888000000,,,,124738000000,469604000000,-15572000000,,4571000000,5175000000,861000000,13432000000,-9228000000,-2497000000,,73959000000,,,108583000000,561000000000,,,,1195000000,,,,2450000000,,159540000000,970000000,,47112000000,,,,,-1015000000,746987040,29092950,159616,1716000000,349275000000,,28530000000,,,,,51.4266,2287000000,1806000000,-481000000,-1267000000,2014000000,,2014000000,,5230000000,,,4045000000,,931000000,328000000,368000000,984000000,1648000000,696000000,2632000000,5213000000,3127000000,1860000000,,,,4176000000,5659000000,,,931000000,9610000000,9610000000,,,2497000000,,10.7,11.9,9472000000,2421000000,1223500000,1223500000,1223500000,1223500000,2447000000,2447000000,21000000,7336000000,4.32,1.03,,5000039357
2012-12-31,,1201610000000,104927000000,,49279000000,1250889000000,42308000000,42308000000,42308000000,42308000000,754002270,,,,687549000000,355335000000,15119000000,5320000000,1651000000,58837000000,1250889000000,62503000000,62503000000,,556602000000,975000000,7158000000,,127714000000,24989000000,,,110177000000,,,,,,110177000000,57541000000,56267000000,,127714000000,341745000000,-15155000000,,4716000000,5281000000,767000000,14225000000,-9870000000,-2740000000,,58837000000,19491000000,2513000000,485269000000,512655000000,,,,,,,,3523000000,,545752000000,975000000,19411000000,22706000000,-971000000,,-296000000,6781000000,673000000,754002270,26270960,154009,,,835771000000,,,,,,56.11124,2714000000,1971000000,-743000000,-1150000000,2119000000,,2119000000,,5365000000,,,4272000000,,,,,,,,,,3121000000,1971000000,,,,4391000000,14782000000,,62503000000,,42424000000,42424000000,1150000000,,2740000000,1803000000,12.5,,,,,,,,,,,,3.15,0.66,,5000039357
2013-12-31,,1163316000000,85315000000,,50877000000,1214193000000,44295000000,44295000000,44295000000,44295000000,776206460,,,,663777000000,344595000000,15460000000,4968000000,1614000000,58393000000,1214193000000,43321000000,43321000000,,553789000000,998000000,6600000000,,130232000000,25884000000,,,116362000000,,,,,,116362000000,41022000000,48580000000,,130232000000,361307000000,-16712000000,,5298000000,5262000000,339000000,14985000000,-10424000000,-2963000000,,58393000000,21954000000,2620000000,471283000000,494932000000,,,,,,,,2170000000,1637000000,549978000000,998000000,19947000000,23971000000,-639000000,,-1139000000,7075000000,664000000,776206460,22509700,148324,,342610000000,838018000000,34570000000,,,,,57.066,2493000000,2007000000,-486000000,-859000000,2829000000,,2829000000,,6079000000,,,3093000000,,,,,,,,,,2866000000,2007000000,,,,4577000000,6195000000,,43321000000,,41994000000,41994000000,1613000000,,2963000000,1708000000,11.8,13.4,,2829000000,1067500000,1067500000,1067500000,1067500000,2135000000,2135000000,26000000,7125000000,3.41,0.67,,5000039357
2014-12-31,,1252909000000,92204000000,,55229000000,1308138000000,49307000000,49307000000,49307000000,49307000000,785165720,,,,746083000000,354986000000,15787000000,4331000000,1591000000,69862000000,1308138000000,45700000000,45700000000,,648496000000,1007000000,9596000000,,143722000000,26708000000,,,105685000000,,,,,,105685000000,46839000000,62255000000,,143722000000,371000000000,-16014000000,,,,,26708000000,-10921000000,,,69862000000,22565000000,2761000000,458250000000,481822000000,,,,,,,,2681000000,1811000000,643499000000,1007000000,20141000000,25216000000,-731000000,,-757000000,9069000000,1284000000,785165720,20041920,148322,,353196000000,924949000000,31790000000,,,,,62.79821,3024000000,2357000000,-667000000,-1090000000,2796000000,,2796000000,,6151000000,,,3645000000,,,,,,,,,,3447000000,2357000000,,,,,7017000000,,45700000000,,46504000000,46504000000,1416000000,,,1558000000,12.6,14.3,,3007000000,1265250000,1265250000,1265250000,1265250000,2530500000,2530500000,23000000,8091000000,2.36,0.59,,5000039357
2015-12-31,,1275354000000,81327000000,,59037000000,1334391000000,53057000000,53057000000,53057000000,53057000000,793655020,,,,718346000000,385399000000,17143000000,4358000000,1622000000,73560000000,1334391000000,31592000000,31592000000,,629089000000,1008000000,10366000000,,134187000000,27998000000,,,126512000000,,,,,,126512000000,42970000000,74370000000,,134187000000,400765000000,-15366000000,,5100000000,,,22898000000,-10855000000,,,73560000000,27213000000,2818000000,501863000000,529698000000,,,,,,,,3434000000,1784000000,623345000000,1008000000,20206000000,27906000000,-449000000,,12000000,8772000000,1582000000,793655020,12584690,145703,,356725000000,863706000000,30580000000,,,,,66.85146,2961000000,2385000000,-576000000,-995000000,1352000000,,1352000000,,5928000000,,,3638000000,,1474000000,653250000,653250000,653250000,653250000,1306500000,1306500000,8959000000,3380000000,2385000000,,,,,6099000000,,31592000000,1474000000,48261000000,48261000000,1571000000,,,1605000000,13.5,16.3,13046000000,3356000000,1279500000,1279500000,1279500000,1279500000,2559000000,2559000000,22000000,8496000000,2.46,0.58,,5000039357
2015-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000039357
2016-12-31,,1292469000000,76403000000,,61953000000,1354422000000,55701000000,55701000000,55701000000,55701000000,796417130,,,,699199000000,402488000000,19436000000,4535000000,1717000000,73606000000,1354422000000,28791000000,28791000000,,630035000000,1010000000,11350000000,,139404000000,30934000000,,,142763000000,,,,,,142763000000,36461000000,83329000000,,139404000000,417303000000,-14815000000,,,,,30934000000,-11498000000,,,73606000000,19954000000,2560000000,535495000000,558320000000,,,,,,,,3837000000,1850000000,620736000000,1010000000,20277000000,29687000000,-371000000,,397000000,9680000000,1273000000,796417130,11296400,145672,,,793787000000,,,,,,69.93948,,,,,1096000000,,1096000000,,5330000000,,,3753000000,,386000000,575500000,575500000,575500000,575500000,1151000000,1151000000,11415000000,,,,,,,9582000000,,28791000000,386000000,47226000000,47226000000,1444000000,,,1642000000,,,14103000000,,,,,,,,,,,,,5000039357
2016-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000039357
2017-12-31,,1215772000000,67071000000,,58428000000,1274200000000,53428000000,53428000000,53428000000,53428000000,795690450,,,,629408000000,396042000000,24200000000,5000000000,,61000000000,1274200000000,22656000000,22656000000,,560399000000,1010000000,7063000000,,50488000000,,,,151550000000,,,,,,151550000000,37527000000,46250000000,,50500000000,409394000000,-13361000000,,,,,,,,,61000000000,19031000000,2542000000,472064000000,560629000000,,,,,,,,4200000000,2100000000,554099000000,1010000000,20344000000,30504000000,-493000000,,,8566000000,-1503000000,795690450,12227290,147125,,,716093000000,,,,,,67.14672,,,,,700000000,,700000000,,6300000000,,,4500000000,,,,,,,,,,,,,,,,6300000000,,22656000000,1670000000,42745000000,42745000000,1600000000,,,1633000000,,,,,,,,,,,,,,,,5000039357
