Date,Total Current Assets,Total Liabilities,Total Debt,Total Current Liabilities,Total Equity,Total Liabilities And Shareholders' Equity,Tangible Book Value - Reported,Tangible Book Value - Utility,Tangible Book Value - Insurance,Tangible Book Value - Banks,Total Common Shares Outstanding,"Total Receivables, Net",Total Inventory,"Other Current Assets, Total","Other Earning Assets, Total",Net Loans,"Property/Plant/Equipment, Total - Net","Goodwill, Net","Intangibles, Net","Other Assets, Total","Total Assets, Reported",Fed Funds Purchased / Security Sold Under Repurchase Agreement,Total Short Term Borrowings,"Other Current liabilities, Total","Other Liabilities, Total","Common Stock, Total","Other Equity, Total","Accounts Receivable - Trade, Net",Total Investment Securities,"Property, Plant And Equipment, Total - Gross",Cash,Cash and Equivalents,Cash and Equivalents,"Accounts Receivable - Trade, Gross",Provision for Doubtful Accounts,Receivables - Other,Prepaid Expenses,Other Current Assets,Cash & Due From Banks,Fed Funds Sold/Scty Prchd Under Resale Agrmnt,Other Short Term Investments,Securities Held To Maturity,Securities for Sale,Total Gross Loans,Loan Loss Allowances,Building - Gross,Land/Improvements - Gross,Machinery/Equipment - Gross,Construction in Progress - Gross,Other Property/Plant/Equipment - Gross,"Accumulated Depreciation, Total",Accumulated Intangible Amortization,Interest Receivable,Other Assets,Accounts Payable,Accrued Expenses,Interest Bearing Deposits,Total Deposits,Other Short Term Borrowings,Dividends Payable,Customer Advances,Income Taxes Payable,Other Payables,Other Current Liabilities,Capital Lease Obligations,Reserves,Pension Benefits - Underfunded,Other Liabilities,Common Stock,Additional Paid-In Capital,Retained Earnings (Accumulated Deficit),Treasury Stock - Common,Unrealized Gain (Loss),Translation Adjustment,Other Equity,Other Comprehensive Income,Shares Out - Common Stock Primary Issue,Treas Shares - Common Stock Prmry Issue,Full-Time Employees,Deferred Revenue - Current,Total Risk-Weighted Capital,Trading Account,Non-Performing Loans,Total Current Assets less Inventory,Quick Ratio,Current Ratio,Net Debt Incl. Pref.Stock & Min.Interest,Tangible Book Value Per Share,Pension Obligation - Domestic,Plan Assets - Domestic,Funded Status - Domestic,Total Funded Status,LT Investment - Affiliate Companies,LT Investments - Other,Long Term Investments,Note Receivable - Long Term,Deferred Income Tax - LT Asset,Restricted Cash - Long Term,Other Long Term Assets,Minority Interest,Other Long Term Liabilities,Long Term Debt Maturing within 1 Year,Long Term Debt Maturing in Year 2,Long Term Debt Maturing in Year 3,Long Term Debt Maturing in Year 4,Long Term Debt Maturing in Year 5,Long Term Debt Maturing in Years 2 and 3,Long Term Debt Maturing in Years 4 and 5,Long Term Debt Maturing in Year 6 and Beyond,Total Plan Obligations,Total Plan Assets,Short Term Investments,Cash and Short Term Investments,Notes Receivable - Short Term,"Intangibles, Gross","Other Long Term Assets, Total",Notes Payable/Short Term Debt,Notes Payable/Short Term Debt,Current Port. of LT Debt/Capital Leases,Long Term Debt,Total Long Term Debt,Deferred Income Tax - LT Liability,Number of Common Shareholders,"Accumulated Intangible Amort, Suppl.",Deferred Revenue - Long Term,Tier 1 Capital %,"Total Capital, Percent","Total Long Term Debt, Supplemental",Operating Lease Payments Due in Year 1,Operating Lease Payments Due in Year 2,Operating Lease Payments Due in Year 3,Operating Lease Payments Due in Year 4,Operating Lease Payments Due in Year 5,Operating Lease Payments Due in Years 2 and 3,Operating Lease Payments Due in Years 4 and 5,Oper Lease Pmnts Due in Years 6 and Beyond,"Total Operating Leases, Supplemental","Discount Rate - Domestic, (%)","Compensation Rate - Domestic, (%)",Accrued Liabilities - Domestic,OAPermID
2010-12-31,,1923526000000,46747000000,,74632000000,1998158000000,60810000000,60810000000,60810000000,60810000000,1197074540,,,,1068993000000,684686000000,17125000000,11324000000,2498000000,103206000000,1998158000000,,,3745000000,133709000000,25711000000,8212000000,,1066676000000,27260000000,,,96286000000,,,,,,96286000000,,2317000000,13773000000,1052903000000,711357000000,-26671000000,,18431000000,6550000000,,2279000000,-10135000000,-4180000000,,90879000000,,65229000000,505227000000,937693000000,,,,3745000000,,,,10311000000,,123398000000,25711000000,,40723000000,,-14000000,-401000000,8029000000,584000000,1197074540,1585620,205348,,600424000000,,22089000000,,,,,50.79884,7328000000,3889000000,-3439000000,-4277000000,4798000000,,4798000000,,9242000000,,,10997000000,,13427000000,7939000000,5222000000,6164000000,5926000000,13161000000,12090000000,10578000000,8166000000,3889000000,,,,6678000000,9242000000,,,,46747000000,46747000000,,,4180000000,,11.4,14.5,49256000000,,,,,,,,,,,,,8589934326
2011-12-31,,1889913000000,107702000000,,75370000000,1965283000000,61492000000,61492000000,61492000000,61492000000,1197861270,,,,1027567000000,665834000000,18278000000,11406000000,2472000000,118158000000,1965283000000,23160000000,23160000000,3489000000,778607000000,25678000000,8063000000,,203044000000,28769000000,,,107751000000,,,,,,107751000000,153799000000,61133000000,10576000000,192468000000,693792000000,-27958000000,,19821000000,6614000000,,2334000000,-10491000000,-4185000000,,106714000000,,81010000000,403565000000,808480000000,,,,3489000000,,,,10480000000,,768127000000,25678000000,,43825000000,,-2196000000,-445000000,7261000000,1247000000,1197861270,9884720,198423,,613567000000,,21733000000,,,,,51.33483,7517000000,3798000000,-3719000000,-4674000000,4474000000,,4474000000,,9343000000,,,10256000000,,8778000000,4855000000,7089000000,5522000000,5177000000,11944000000,10699000000,7849000000,8472000000,3798000000,,,,6657000000,9343000000,,23160000000,,84542000000,84542000000,,,4185000000,,11.6,14.0,39270000000,,,,,,,,,,,,-4398000000,8589934326
2012-12-31,,1821756000000,91403000000,,85444000000,1907200000000,72268000000,72268000000,72268000000,72268000000,1240129730,,,,576104000000,628343000000,17319000000,10591000000,2585000000,516468000000,1907200000000,15337000000,15337000000,901000000,887391000000,2484000000,1077000000,,203130000000,28058000000,,,140817000000,,,,,,140817000000,151954000000,77555000000,10467000000,192663000000,654868000000,-26525000000,,19759000000,6519000000,,1780000000,-10739000000,-4450000000,,516468000000,,38118000000,428324000000,793328000000,,,,901000000,,,,11380000000,,876011000000,2484000000,24230000000,55504000000,,2149000000,-501000000,,1578000000,1240129730,2132230,188551,,551839000000,398960000000,60010000000,,,,,58.27455,1567000000,1213000000,-354000000,-2022000000,7031000000,,7031000000,,7942000000,,,8573000000,,7226000000,7521000000,7004000000,5403000000,4331000000,14525000000,9734000000,9314000000,8809000000,6787000000,,,,7035000000,7942000000,,15337000000,11471000000,64595000000,64595000000,2042000000,,4450000000,6338000000,13.6,15.5,40799000000,2404000000,709750000,709750000,709750000,709750000,1419500000,1419500000,109000000,5352000000,1.42,2.6,-4728000000,8589934326
2012-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8589934326
2013-12-31,,1723089000000,84374000000,,87433000000,1810522000000,75050000000,75050000000,75050000000,75050000000,1242739450,,,,602203000000,611501000000,16929000000,9846000000,2537000000,396727000000,1810522000000,11879000000,11879000000,815000000,825922000000,49736000000,-41699000000,,209275000000,27842000000,,,156828000000,,,,,,156828000000,154534000000,77947000000,10090000000,199185000000,636837000000,-25336000000,,19318000000,6557000000,,1967000000,-10913000000,-4608000000,,396727000000,,6563000000,417700000000,800231000000,,,,815000000,,,,11922000000,,814000000000,49736000000,24322000000,52064000000,,3010000000,-1879000000,-40632000000,812000000,1242739450,2423360,184545,,627256000000,430189000000,57159000000,,,,,60.39078,1449000000,1233000000,-216000000,-3915000000,6561000000,,6561000000,,7390000000,,,3522000000,,9496000000,6866000000,6412000000,4578000000,4783000000,13278000000,9361000000,10209000000,8392000000,4477000000,,,,7145000000,7390000000,,11879000000,12597000000,59898000000,59898000000,1662000000,,4608000000,,,,42344000000,1898000000,594750000,594750000,594750000,594750000,1189500000,1189500000,86000000,4363000000,2.09,2.3,-4193000000,8589934326
2013-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8589934326
2014-12-31,,1988300000000,93338000000,,89458000000,2077758000000,75930000000,75930000000,75930000000,75930000000,1243685140,,,,690123000000,655571000000,18032000000,10577000000,2951000000,526877000000,2077758000000,10448000000,10448000000,794000000,980896000000,52141915350,-41835000000,,262785000000,29793000000,,,159098000000,,,,,,159098000000,169595000000,98415000000,10364000000,252421000000,681989000000,-26418000000,,20464000000,6989000000,,2340000000,-11761000000,-5466000000,,526877000000,,8030000000,462129000000,898885000000,,,,794000000,,,,5433000000,6904000000,968559000000,52141915350,24479084650,49807000000,,4865000000,-291000000,-43061000000,1517000000,1243685140,2272530,187903,,619827000000,432191000000,60024000000,,,,,61.05243,,,,,7371000000,,7371000000,,7158000000,,,4231000000,,9773000000,7759000000,5667000000,4699000000,5631000000,13426000000,10330000000,14642000000,,,,,,8417000000,7158000000,,10448000000,9773000000,73117000000,73117000000,2126000000,,5466000000,,10.8,11.7,48171000000,1989000000,602250000,602250000,602250000,602250000,1204500000,1204500000,70000000,4468000000,,,,8589934326
2015-12-31,,1897924000000,88406000000,,96269000000,1994193000000,82849000000,82849000000,82849000000,82849000000,1244013560,,,,645184000000,677049000000,21593000000,10316000000,3104000000,447775000000,1994193000000,10703000000,10703000000,826000000,867477000000,2492770310,9525000000,,268539000000,34629000000,,,175898000000,,,,,,175898000000,139340000000,100896000000,9436000000,259103000000,703243000000,-26194000000,,25162000000,7061000000,,2406000000,-13036000000,-6049000000,,447775000000,,7697000000,447158000000,927543000000,,,,826000000,,,,4664000000,6681000000,856132000000,2492770310,24404229690,54781000000,,5066000000,325000000,7855000000,1345000000,1244013560,2371590,189077,,633527000000,372815000000,56255000000,,,,,66.59815,1422000000,1224000000,-198000000,-4156000000,6896000000,,6896000000,,6378000000,,,3808000000,,11894000000,6255000000,5141000000,4367000000,5944000000,11396000000,10311000000,12729000000,9521000000,5365000000,,,,9153000000,6378000000,,10703000000,11894000000,65809000000,65809000000,2167000000,,6049000000,,11.7,13.0,46330000000,2539000000,763250000,763250000,763250000,763250000,1526500000,1526500000,58000000,5650000000,0.6,2.3,-4497000000,8589934326
2016-12-31,,1976294000000,83821000000,,100665000000,2076959000000,87210000000,87210000000,87210000000,87210000000,1245168040,,,,664693000000,710510000000,22523000000,10216000000,3239000000,447796000000,2076959000000,7054000000,7054000000,920000000,893260000000,2494005310,10227000000,,274533000000,35561000000,,,204975000000,,,,,,204975000000,156862000000,106753000000,6811000000,267722000000,737555000000,-27045000000,,26449000000,7024000000,,2088000000,-13038000000,-6217000000,,447796000000,,7674000000,469321000000,983897000000,,,,920000000,,,,4612000000,7189000000,881459000000,2494005310,24453994690,59118000000,,4372000000,645000000,8430000000,1152000000,1245168040,1834620,192419,,640673000000,377211000000,54374000000,,,,,70.03874,1327000000,1227000000,-100000000,-4259000000,6910000000,,6910000000,,6097000000,,,4555000000,,11658000000,6443000000,6051000000,6476000000,4877000000,12494000000,11353000000,12205000000,9831000000,5572000000,,,,9456000000,6097000000,,7054000000,11658000000,65109000000,65109000000,2167000000,,6217000000,,12.6,14.2,47710000000,2503000000,780250000,780250000,780250000,780250000,1560500000,1560500000,52000000,5676000000,0.1,2.0,-4590000000,8589934326
2016-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8589934326
