Date,Total Current Assets,Total Liabilities,Total Debt,Total Current Liabilities,Total Equity,Total Liabilities And Shareholders' Equity,Tangible Book Value - Reported,Tangible Book Value - Utility,Tangible Book Value - Insurance,Tangible Book Value - Banks,Total Common Shares Outstanding,"Total Receivables, Net",Total Inventory,"Other Current Assets, Total","Other Earning Assets, Total",Net Loans,"Property/Plant/Equipment, Total - Net","Goodwill, Net","Intangibles, Net","Other Assets, Total","Total Assets, Reported",Fed Funds Purchased / Security Sold Under Repurchase Agreement,Total Short Term Borrowings,"Other Current liabilities, Total","Other Liabilities, Total","Common Stock, Total","Other Equity, Total","Accounts Receivable - Trade, Net",Total Investment Securities,"Property, Plant And Equipment, Total - Gross",Cash,Cash and Equivalents,Cash and Equivalents,"Accounts Receivable - Trade, Gross",Provision for Doubtful Accounts,Receivables - Other,Prepaid Expenses,Other Current Assets,Cash & Due From Banks,Fed Funds Sold/Scty Prchd Under Resale Agrmnt,Other Short Term Investments,Securities Held To Maturity,Securities for Sale,Total Gross Loans,Loan Loss Allowances,Building - Gross,Land/Improvements - Gross,Machinery/Equipment - Gross,Construction in Progress - Gross,Other Property/Plant/Equipment - Gross,"Accumulated Depreciation, Total",Accumulated Intangible Amortization,Interest Receivable,Other Assets,Accounts Payable,Accrued Expenses,Interest Bearing Deposits,Total Deposits,Other Short Term Borrowings,Dividends Payable,Customer Advances,Income Taxes Payable,Other Payables,Other Current Liabilities,Capital Lease Obligations,Reserves,Pension Benefits - Underfunded,Other Liabilities,Common Stock,Additional Paid-In Capital,Retained Earnings (Accumulated Deficit),Treasury Stock - Common,Unrealized Gain (Loss),Translation Adjustment,Other Equity,Other Comprehensive Income,Shares Out - Common Stock Primary Issue,Treas Shares - Common Stock Prmry Issue,Full-Time Employees,Deferred Revenue - Current,Total Risk-Weighted Capital,Trading Account,Non-Performing Loans,Total Current Assets less Inventory,Quick Ratio,Current Ratio,Net Debt Incl. Pref.Stock & Min.Interest,Tangible Book Value Per Share,Pension Obligation - Domestic,Plan Assets - Domestic,Funded Status - Domestic,Total Funded Status,LT Investment - Affiliate Companies,LT Investments - Other,Long Term Investments,Note Receivable - Long Term,Deferred Income Tax - LT Asset,Restricted Cash - Long Term,Other Long Term Assets,Minority Interest,Other Long Term Liabilities,Long Term Debt Maturing within 1 Year,Long Term Debt Maturing in Year 2,Long Term Debt Maturing in Year 3,Long Term Debt Maturing in Year 4,Long Term Debt Maturing in Year 5,Long Term Debt Maturing in Years 2 and 3,Long Term Debt Maturing in Years 4 and 5,Long Term Debt Maturing in Year 6 and Beyond,Total Plan Obligations,Total Plan Assets,Short Term Investments,Cash and Short Term Investments,Notes Receivable - Short Term,"Intangibles, Gross","Other Long Term Assets, Total",Notes Payable/Short Term Debt,Notes Payable/Short Term Debt,Current Port. of LT Debt/Capital Leases,Long Term Debt,Total Long Term Debt,Deferred Income Tax - LT Liability,Number of Common Shareholders,"Accumulated Intangible Amort, Suppl.",Deferred Revenue - Long Term,Tier 1 Capital %,"Total Capital, Percent","Total Long Term Debt, Supplemental",Operating Lease Payments Due in Year 1,Operating Lease Payments Due in Year 2,Operating Lease Payments Due in Year 3,Operating Lease Payments Due in Year 4,Operating Lease Payments Due in Year 5,Operating Lease Payments Due in Years 2 and 3,Operating Lease Payments Due in Years 4 and 5,Oper Lease Pmnts Due in Years 6 and Beyond,"Total Operating Leases, Supplemental","Discount Rate - Domestic, (%)","Compensation Rate - Domestic, (%)",Accrued Liabilities - Domestic,OAPermID
2010-12-31,,27095230000,2307387000,,2997918000,30093148000,2023730000,2023730000,2023730000,2023730000,112174800,,,,7392926000,20882216000,544971000,24431000,12434000,590077000,30093148000,499226000,499226000,,260910000,790956000,57158000,,3440268000,,,,644313000,,,,,,644313000,160502000,47357000,,3440268000,21585763000,-703547000,,,,,,,-44042000,105451000,223321000,,,17049583000,24500304000,,,,,,,,,,260910000,790956000,2293264000,-966607000,-114176000,,,,57158000,112174800,813310,6109,,22748532000,22294000,1499332000,,,,,18.04086,,,,,,,,,1780000,,,26629000,,335651000,603144000,226032000,50480000,100504000,829176000,150984000,492350000,,,,,,56476000,1780000,,499226000,,1808161000,1808161000,,21714,44042000,,12.79,16.45,1808161000,27749000,30062000,29070000,23338000,18808000,59132000,42146000,156403000,285430000,,,,4295905022
2011-12-31,,24335393000,1678484000,,2827452000,27162845000,1847479000,1847479000,1847479000,1847479000,112179450,,,,5814857000,19543319000,486923000,24431000,8525000,492396000,27162845000,313757000,313757000,,245157000,790989000,21093000,,3690125000,,,,773010000,,,,,,773010000,158916000,22015000,,3690125000,20079813000,-536494000,,,,,,,-47926000,85696000,202468000,,,15261710000,22411752000,,,,,,,,,,245157000,790989000,2241171000,-1058642000,-114176000,,,,21093000,112179450,813310,5224,,21486822000,16866000,1596170000,,,,,16.46896,,,,,,,,,2138000,,,0,,338167000,351043000,50487000,140506000,399000,401530000,140905000,462937000,,,,,,56451000,19384000,,313757000,,1364727000,1364727000,,21371,47926000,,12.94,16.49,1343539000,29972000,28992000,21101000,18591000,17663000,50093000,36254000,213331000,329650000,,,,4295905022
2012-12-31,,23190581000,1927698000,,3569431000,26760012000,2582524000,2582524000,2582524000,2582524000,112362840,,,,4983361000,19168285000,479546000,24431000,5149000,397297000,26760012000,201243000,201243000,,205839000,792273000,4101000,,2981112000,,,,885666000,,,,,,885666000,113517000,31876000,,2981112000,19541690000,-373405000,,,,,,,-51302000,70951000,176075000,,,14298768000,21057044000,,,,,,,,,,205839000,792273000,2189874000,-259968000,-114176000,,,,3738000,112362840,813310,4963,,21387935000,11102000,1232982000,,,,,22.98379,,,,,,,,,806406000,,,,,79816000,260394000,390409000,225368000,450272000,650803000,675640000,312707000,,,,,,56451000,816277000,,201243000,,1726455000,1726455000,,20252,51302000,,13.24,16.18,1718966000,27907000,23860000,21032000,19575000,17842000,44892000,37417000,183753000,293969000,,,,4295905022
2013-12-31,,23252619000,915919000,,2948985000,26201604000,2798692000,2798692000,2798692000,2798692000,138907350,,,,4128859000,19750238000,468871000,24431000,,576117000,26201604000,148132000,148132000,,194556000,139721000,-12322000,,3199358000,,,,469630000,,,,,,469630000,80975000,40004000,,3199358000,20086660000,-307560000,,,,,,,,63959000,399529000,,,14140037000,20876790000,,,,,,,,,,194556000,139721000,2976348000,-137512000,-114176000,-28936000,,,-13099000,138907350,813350,4696,,22316093000,6113000,987884000,,,,,20.1479,,,,,29361000,,29361000,,744646000,,,,,50156000,640157000,425161000,600171000,110000,1065318000,600281000,311460000,,,,,,,754097000,,148132000,,767787000,767787000,,19161,,,10.54,13.0,2027215000,23776000,22581000,21626000,20147000,18476000,44207000,38623000,191657000,298263000,,,,4295905022
2014-12-31,,24008967000,890970000,,3041270000,27050237000,2890859000,2890859000,2890859000,2890859000,136122840,,,,4035062000,20836382000,455235000,24431000,,550584000,27050237000,126916000,126916000,,211026000,139950000,-11892000,,3041406000,,,,485489000,,,,,,485489000,73111000,32117000,,3041406000,21128489000,-261317000,,,,,,,,64058000,401054000,,,13660830000,21531700000,,,,,,,,,,211026000,139950000,2960825000,14894000,-187774000,-713000,,,-12824000,136122840,3827580,4511,,,13863000,,,,,,21.23713,,,,,28363000,,28363000,,622464000,,,,,,,,,,,,,,,,,,,634691000,,126916000,,764054000,764054000,,19360,,,,,,,,,,,,,,,,,,4295905022
2015-12-31,,25792457000,1138918000,,3000196000,28792653000,2849785000,2849785000,2849785000,2849785000,129547030,,,,4664710000,22177069000,445155000,24431000,,563559000,28792653000,177025000,177025000,,185878000,140592000,-11597000,,3587818000,,,,367092000,,,,,,367092000,69819000,27139000,,3587818000,22459664000,-252496000,,,,,,,,65218000,451311000,,,15434171000,23242661000,,,,,,,1936000,,,185878000,140592000,2989981000,174973000,-401511000,-18222000,,,-12504000,129547030,11045380,4452,,25635889760,5097000,440155000,,,,,21.99807,,,,,28018000,,28018000,,511948000,,,,,50079000,753425000,250089000,525090000,350092000,1003514000,875182000,261270000,,,,,,,522619000,,177025000,,959957000,961893000,,14880,,,10.37,12.7,2190045000,26263000,25008000,23291000,20707000,20904000,48299000,41611000,176444000,292617000,,,,4295905022
2016-12-31,,27176078000,995580000,,2927924000,30104002000,2729043000,2729043000,2729043000,2729043000,122266110,,,,4573411000,23604633000,417485000,59678000,13223000,604718000,30104002000,159699000,159699000,,207438000,142026000,-11335000,,3718195000,,,,395175000,,,,,,395175000,58060000,20623000,,3718195000,23882382000,-251758000,,,,,,,,70393000,512017000,,,16183273000,24648060000,,,,,,,1833000,,,207438000,142026000,3028405000,351767000,-664595000,-44324000,,,-12217000,122266110,19759610,4436,,26655020820,9314000,414260000,,,,,22.32052,,,,,25493000,,25493000,,395356000,,,,,278679000,89000,575090000,350092000,450097000,575179000,800189000,511173000,,,,,,,410186000,,159699000,,834048000,835881000,,14063,,,10.07,12.01,2165220000,27527000,28289000,25484000,24579000,22247000,53773000,46826000,154219000,282345000,,,,4295905022
2017-12-31,,28260271000,717328000,,2961566000,31221837000,2767017000,2767017000,2767017000,2767017000,118897300,,,,4756519000,24538196000,426813000,57315000,11254000,844508000,31221837000,161190000,161190000,,245043000,142678000,-11284000,,3987069000,,,,397848000,,,,,,397848000,47846000,11722000,,3987069000,24812795000,-249268000,,,,,,,,80036000,760714000,,,16500436000,26147900000,,,,,,,1549000,,,245043000,142678000,3043129000,544207000,-839674000,-43470000,,,-12137000,118897300,23780150,4541,,27662150400,3820000,330141000,,,,,23.27233,,,,,15771000,,15771000,,165788000,,,,,100089000,90000,350092000,450096000,550107000,350182000,1000203000,261075000,,,,,,,173613000,,161190000,,554589000,556138000,,12955,,,10.38,12.23,1711549000,28187000,27722000,26483000,23876000,23332000,54205000,47208000,98797000,228397000,,,,4295905022
2018-12-31,,29535590000,794849000,,3133602000,32669192000,2871272000,2871272000,2871272000,2871272000,115865510,,,,4908456000,25696018000,434307000,57315000,9875000,942633000,32669192000,237692000,237692000,,270419000,143300000,-11241000,,3991632000,980925000,,,468426000,,,,,,468426000,13821000,19332000,,3991632000,25970716000,-250555000,392952000,96310000,,16608000,475055000,-546618000,,89425000,846988000,,,19069355000,26720322000,,,,,,,1453000,,,270419000,143300000,3060561000,843767000,-1014746000,-83179000,,,-12137000,115865510,27434940,4651,,29113791400,,280754000,,,,,24.78108,,,,,11028000,,11028000,,141134000,,,,,0,0,0,300000000,0,0,300000000,260000000,,,,,,,141134000,,237692000,,555704000,557157000,,12376,,,10.61,12.37,560000000,27539000,27474000,27498000,28097000,25096000,54972000,53193000,83316000,219020000,,,,4295905022
2019-12-31,,43261592000,1024169000,,4941690000,48203282000,3851607000,3851607000,3851607000,3851607000,147157600,,,,7971378000,36881048000,868656000,497267000,55671000,1374027000,48203282000,165690000,165690000,,394467000,166801000,-18025000,,6778670000,1447887000,,,535846000,,,,,,535846000,77047000,140016000,,6778670000,37187814000,-281402000,418915000,118866000,,11905000,898201000,-579231000,,127641000,1232013000,,383892000,28966019000,38405504000,,,,,,,4582000,,,394467000,166801000,3819336000,1068327000,-715560000,83666000,,,-18487000,147157600,19643030,5389,,41823518400,,254450000,,,,,26.17335,,,,,19389000,,19389000,,,,,,,600000000,450000000,550000000,0,0,1000000000,0,560000000,,,,,,,,,165690000,,853897000,858479000,,11304,,,10.23,12.25,2160000000,30190000,29002000,28261000,26461000,26105000,57263000,52566000,243873000,383892000,,,,4295905022
