Close Price,Currency,Date,PermID
8.88,USD,2011-07-21,4295899345
8.81,USD,2011-07-22,4295899345
8.75,USD,2011-07-25,4295899345
8.75,USD,2011-07-26,4295899345
8.69,USD,2011-07-27,4295899345
8.76,USD,2011-07-28,4295899345
8.75,USD,2011-07-29,4295899345
8.78,USD,2011-08-01,4295899345
8.75,USD,2011-08-02,4295899345
8.69,USD,2011-08-03,4295899345
8.42,USD,2011-08-04,4295899345
8.1,USD,2011-08-05,4295899345
7.6,USD,2011-08-08,4295899345
8.26,USD,2011-08-09,4295899345
7.7,USD,2011-08-10,4295899345
8.06,USD,2011-08-11,4295899345
8.01,USD,2011-08-12,4295899345
8.08,USD,2011-08-15,4295899345
7.93,USD,2011-08-16,4295899345
7.94,USD,2011-08-17,4295899345
7.68,USD,2011-08-18,4295899345
7.55,USD,2011-08-19,4295899345
7.51,USD,2011-08-22,4295899345
7.81,USD,2011-08-23,4295899345
7.66,USD,2011-08-24,4295899345
7.51,USD,2011-08-25,4295899345
7.58,USD,2011-08-26,4295899345
7.89,USD,2011-08-29,4295899345
7.81,USD,2011-08-30,4295899345
7.79,USD,2011-08-31,4295899345
7.48,USD,2011-09-01,4295899345
7.45,USD,2011-09-02,4295899345
7.7,USD,2011-09-06,4295899345
7.87,USD,2011-09-07,4295899345
7.67,USD,2011-09-08,4295899345
7.57,USD,2011-09-09,4295899345
7.48,USD,2011-09-12,4295899345
7.6,USD,2011-09-13,4295899345
7.68,USD,2011-09-14,4295899345
7.87,USD,2011-09-15,4295899345
7.86,USD,2011-09-16,4295899345
7.86,USD,2011-09-19,4295899345
7.58,USD,2011-09-20,4295899345
7.41,USD,2011-09-21,4295899345
7.32,USD,2011-09-22,4295899345
7.25,USD,2011-09-23,4295899345
7.27,USD,2011-09-26,4295899345
7.42,USD,2011-09-27,4295899345
7.14,USD,2011-09-28,4295899345
7.41,USD,2011-09-29,4295899345
7.21,USD,2011-09-30,4295899345
6.99,USD,2011-10-03,4295899345
7.34,USD,2011-10-04,4295899345
7.46,USD,2011-10-05,4295899345
7.58,USD,2011-10-06,4295899345
7.39,USD,2011-10-07,4295899345
7.56,USD,2011-10-10,4295899345
7.56,USD,2011-10-11,4295899345
7.7,USD,2011-10-12,4295899345
7.56,USD,2011-10-13,4295899345
7.65,USD,2011-10-14,4295899345
7.38,USD,2011-10-17,4295899345
7.62,USD,2011-10-18,4295899345
7.49,USD,2011-10-19,4295899345
7.7,USD,2011-10-20,4295899345
7.81,USD,2011-10-21,4295899345
8.0,USD,2011-10-24,4295899345
7.77,USD,2011-10-25,4295899345
7.96,USD,2011-10-26,4295899345
8.27,USD,2011-10-27,4295899345
8.05,USD,2011-10-28,4295899345
7.88,USD,2011-10-31,4295899345
7.56,USD,2011-11-01,4295899345
7.72,USD,2011-11-02,4295899345
7.77,USD,2011-11-03,4295899345
7.64,USD,2011-11-04,4295899345
7.93,USD,2011-11-07,4295899345
7.95,USD,2011-11-08,4295899345
7.79,USD,2011-11-09,4295899345
7.86,USD,2011-11-10,4295899345
8.03,USD,2011-11-11,4295899345
7.89,USD,2011-11-14,4295899345
8.08,USD,2011-11-15,4295899345
8.05,USD,2011-11-16,4295899345
8.04,USD,2011-11-17,4295899345
8.19,USD,2011-11-18,4295899345
7.97,USD,2011-11-21,4295899345
8.11,USD,2011-11-22,4295899345
7.91,USD,2011-11-23,4295899345
7.78,USD,2011-11-25,4295899345
8.05,USD,2011-11-28,4295899345
7.98,USD,2011-11-29,4295899345
8.47,USD,2011-11-30,4295899345
8.16,USD,2011-12-01,4295899345
8.43,USD,2011-12-02,4295899345
8.5,USD,2011-12-05,4295899345
8.47,USD,2011-12-06,4295899345
8.49,USD,2011-12-07,4295899345
8.39,USD,2011-12-08,4295899345
8.48,USD,2011-12-09,4295899345
8.33,USD,2011-12-12,4295899345
8.25,USD,2011-12-13,4295899345
8.26,USD,2011-12-14,4295899345
8.37,USD,2011-12-15,4295899345
8.35,USD,2011-12-16,4295899345
8.26,USD,2011-12-19,4295899345
