Close Price,Currency,Date,PermID
38.23,EUR,2011-07-21,5000039357
38.075,EUR,2011-07-22,5000039357
36.27,EUR,2011-07-25,5000039357
36.03,EUR,2011-07-26,5000039357
35.085,EUR,2011-07-27,5000039357
35.605,EUR,2011-07-28,5000039357
34.735,EUR,2011-07-29,5000039357
33.305,EUR,2011-08-01,5000039357
32.505,EUR,2011-08-02,5000039357
29.59,EUR,2011-08-03,5000039357
27.7,EUR,2011-08-04,5000039357
27.435,EUR,2011-08-05,5000039357
25.125,EUR,2011-08-08,5000039357
26.015,EUR,2011-08-09,5000039357
22.18,EUR,2011-08-10,5000039357
23.0,EUR,2011-08-11,5000039357
24.3,EUR,2011-08-12,5000039357
24.8,EUR,2011-08-15,5000039357
25.275,EUR,2011-08-16,5000039357
24.64,EUR,2011-08-17,5000039357
21.6,EUR,2011-08-18,5000039357
20.87,EUR,2011-08-19,5000039357
21.065,EUR,2011-08-22,5000039357
21.0,EUR,2011-08-23,5000039357
21.395,EUR,2011-08-24,5000039357
21.95,EUR,2011-08-25,5000039357
21.33,EUR,2011-08-26,5000039357
22.1,EUR,2011-08-29,5000039357
22.055,EUR,2011-08-30,5000039357
23.36,EUR,2011-08-31,5000039357
23.745,EUR,2011-09-01,5000039357
22.165,EUR,2011-09-02,5000039357
20.25,EUR,2011-09-05,5000039357
18.925,EUR,2011-09-06,5000039357
19.38,EUR,2011-09-07,5000039357
19.51,EUR,2011-09-08,5000039357
17.445,EUR,2011-09-09,5000039357
15.57,EUR,2011-09-12,5000039357
17.9,EUR,2011-09-13,5000039357
17.385,EUR,2011-09-14,5000039357
18.33,EUR,2011-09-15,5000039357
18.96,EUR,2011-09-16,5000039357
17.69,EUR,2011-09-19,5000039357
17.145,EUR,2011-09-20,5000039357
16.925,EUR,2011-09-21,5000039357
15.305,EUR,2011-09-22,5000039357
16.645,EUR,2011-09-23,5000039357
17.55,EUR,2011-09-26,5000039357
20.5,EUR,2011-09-27,5000039357
19.92,EUR,2011-09-28,5000039357
21.08,EUR,2011-09-29,5000039357
20.0,EUR,2011-09-30,5000039357
18.97,EUR,2011-10-03,5000039357
18.04,EUR,2011-10-04,5000039357
19.6,EUR,2011-10-05,5000039357
20.69,EUR,2011-10-06,5000039357
20.51,EUR,2011-10-07,5000039357
20.755,EUR,2011-10-10,5000039357
21.85,EUR,2011-10-11,5000039357
23.155,EUR,2011-10-12,5000039357
21.605,EUR,2011-10-13,5000039357
20.835,EUR,2011-10-14,5000039357
20.25,EUR,2011-10-17,5000039357
19.24,EUR,2011-10-18,5000039357
19.45,EUR,2011-10-19,5000039357
17.965,EUR,2011-10-20,5000039357
18.97,EUR,2011-10-21,5000039357
19.75,EUR,2011-10-24,5000039357
19.0,EUR,2011-10-25,5000039357
18.765,EUR,2011-10-26,5000039357
22.995,EUR,2011-10-27,5000039357
23.39,EUR,2011-10-28,5000039357
21.1,EUR,2011-10-31,5000039357
17.675,EUR,2011-11-01,5000039357
17.6,EUR,2011-11-02,5000039357
18.615,EUR,2011-11-03,5000039357
17.925,EUR,2011-11-04,5000039357
17.495,EUR,2011-11-07,5000039357
18.765,EUR,2011-11-08,5000039357
18.2,EUR,2011-11-09,5000039357
18.1,EUR,2011-11-10,5000039357
18.855,EUR,2011-11-11,5000039357
18.625,EUR,2011-11-14,5000039357
17.655,EUR,2011-11-15,5000039357
17.635,EUR,2011-11-16,5000039357
16.945,EUR,2011-11-17,5000039357
16.665,EUR,2011-11-18,5000039357
16.01,EUR,2011-11-21,5000039357
15.465,EUR,2011-11-22,5000039357
15.05,EUR,2011-11-23,5000039357
15.505,EUR,2011-11-24,5000039357
15.83,EUR,2011-11-25,5000039357
17.35,EUR,2011-11-28,5000039357
17.28,EUR,2011-11-29,5000039357
18.08,EUR,2011-11-30,5000039357
17.5,EUR,2011-12-01,5000039357
18.905,EUR,2011-12-02,5000039357
20.145,EUR,2011-12-05,5000039357
20.27,EUR,2011-12-06,5000039357
20.0,EUR,2011-12-07,5000039357
19.1,EUR,2011-12-08,5000039357
19.555,EUR,2011-12-09,5000039357
18.6,EUR,2011-12-12,5000039357
17.72,EUR,2011-12-13,5000039357
16.305,EUR,2011-12-14,5000039357
16.305,EUR,2011-12-15,5000039357
16.545,EUR,2011-12-16,5000039357
16.45,EUR,2011-12-19,5000039357
17.215,EUR,2011-12-20,5000039357
16.63,EUR,2011-12-21,5000039357
17.18,EUR,2011-12-22,5000039357
17.22,EUR,2011-12-23,5000039357
16.86,EUR,2011-12-27,5000039357
16.345,EUR,2011-12-28,5000039357
16.695,EUR,2011-12-29,5000039357
17.205,EUR,2011-12-30,5000039357
17.685,EUR,2012-01-02,5000039357
17.6,EUR,2012-01-03,5000039357
17.0,EUR,2012-01-04,5000039357
16.08,EUR,2012-01-05,5000039357
15.565,EUR,2012-01-06,5000039357
15.0,EUR,2012-01-09,5000039357
