Date,"Net Income/Starting Line, Cumulative","Cash from Operating Activities, Cumulative","Cash from Investing Activities, Cumulative","Cash from Financing Activities, Cumulative","Net Change in Cash, Cumulative","Depreciation / Depletion, Cumulative","Amortization, Cumulative",Non-Cash Items,"Changes in Working Capital, Cumulative","Capital Expenditures, Cumulative","Total Cash Dividends Paid, Cumulative","Common Stock Issued (Retired), Net","Issuance (Retirement) of Stock, Net, Cumulative","Short Term Debt Issued (Reduced), Net","Long Term Debt Issued (Reduced), Net","Issuance (Retirement) of Debt, Net, Cumulative",Accounts Receivable (CF),"Depreciation (CF), Cumulative",Amortization of Intangibles (CF),Unusual Items (CF),Equity in Net Earnings (Loss) (CF),Other Non-Cash Items,Cash Receipts,Cash Payments,Cash Taxes Paid,"Cash Interest Paid, Supplemental, Cumulative",Net Changes in Working Capital,Loan Loss Provision,Inventories (CF),Prepaid Expenses (CF),Other Assets (CF),Accounts Payable (CF),Payable / Accrued (CF),Other Liabilities (CF),Other Operating Cash Flow,"Investment Securities, Gains/Losses (CF)","Loans, Gains/Losses (CF)","Purchase of Fixed Assets, Cumulative",Purchase/Acquisition of Intangibles,Acquisition of Business,Sale of Business,Sale of Fixed Assets,Sale/Maturity of Investment,"Investment, Net (CF)",Purchase of Investments,Other Investing Cash Flow,"Other Investing Cash Flow Items, Total, Cumulative",Other Financing Cash Flow,Financing Cash Flow Items,Cash Dividends Paid - Common,Sale/Issuance of Common,Repurchase/Retirement of Common,Short Term Debt Reduction,Long Term Debt Issued,Long Term Debt Reduction,Total Debt Issued,"Foreign Exchange Effects, Cumulative",Net Cash - Beginning Balance,Net Cash - Ending Balance,OAPermID
2010-12-31,,1776034000,-2013097000,28479000,-165496000,,,,3560488000,-73728000,-22909000,,,,,-495755000,,76184000,,,,,,,-263705000,-1520749000,-454147000,,,,-634647000,,,6996799000,4014635000,-43552000,-7344549000,-73728000,,-22516000,4071000,8571000,20652070000,,-22515765000,-65800000,-1939369000,547143000,547143000,-22909000,,,,,,-495755000,43088000,3121193000,2955697000,5000063167
2011-12-31,,-1514528000,9456000,1519586000,62532000,,,,1068673000,-112823000,-110292000,,,,,1513545000,,84236000,,,,,,,-318001000,-2265200000,-2343138000,,,,291380000,,,4310007000,3411811000,22396000,-7397444000,-112823000,,-1000000,5027000,6181000,13254662000,,-13063753000,-78838000,122279000,116333000,116333000,-110292000,,,,,,0,48018000,2955697000,3018229000,5000063167
2012-12-31,,-2353806000,-84658000,2998586000,590589000,,,,829636000,-133376000,0,,,,,2998586000,,93175000,,,,,,,-472055000,-2711387000,-5110335000,,,,-702562000,,,4324355000,5939971000,-43012000,-8910186000,-133376000,,-28721000,143661000,2272000,10330036000,,-10307811000,-90719000,48718000,0,0,0,,,,,,-1450000000,30467000,3018229000,3608818000,5000063167
2013-12-31,,1410705000,-2334555000,-761244000,-1336720000,,,,1387026000,-203041000,,,,,,-761244000,,,,,,,410479000,,-386800000,,-492204000,,,,-323001000,,,9616517000,1879230000,-80881000,-9629621000,-203041000,,-3060000,1476000,439000,11945092000,,-13687029000,-388432000,-2131514000,,,,,,,,,4613983000,348374000,3608818000,2272098000,5000063167
2014-12-31,,-655720000,-1192174000,2320881000,697080000,,,,-1097784000,-716545000,,,,,,2320881000,,,,,,,645732000,,-203668000,,-3043443000,,,,-224162000,,,5288774000,1945659000,163516000,-8482709000,-716545000,,-4523000,0,49087000,4101719000,,-4516563000,-105349000,-475629000,,,,,,,,,7333900000,224093000,2272098000,2969178000,5000063167
2015-12-31,,1712976000,303867000,-1279312000,762358000,,,,1554524000,-239971000,-506000,,,,,-1278806000,,,,,,,690597000,,-532145000,,646569000,,,,-606699000,,,9224628000,907955000,-35165000,-7937819000,-239971000,,0,0,303582000,2822610000,,-2453901000,-128453000,543838000,,,-506000,,,,,,3888096000,24827000,2969178000,3731536000,5000063167
2016-12-31,,5975232000,-2987599000,-873748000,2178408000,,,,5195788000,-179507000,0,,,,0,-625670000,,,,,,,925679000,,-146235000,,8686556000,,,,-1297610000,,,16532367000,-3490768000,32174000,-6670910000,-179507000,,0,0,21386000,1113305000,,-3816078000,-126705000,-2808092000,-248078000,-248078000,0,,,,,0,2407322000,64523000,3731536000,5909944000,5000063167
2017-12-31,,-2135261000,-1788630000,3944017000,177427000,,,,-1877312000,-163544000,0,,,,0,3974017000,,,,,,,82189000,,-340138000,,-5658659000,,,,-2744136000,,,16210652000,3781347000,-36175000,-19085782000,-163544000,,0,0,19693000,1848856000,,-3328591000,-165044000,-1625086000,-30000000,-30000000,0,,,,,0,5123665000,157301000,5909944000,6087371000,5000063167
2018-12-31,,6196707000,-2894114000,-166198000,3097081000,,,,5525787000,-225886000,-100000000,,,,0,-66198000,,,,,,,1261968000,,-591048000,,-1110132000,,,,-3610949000,,,9375632000,6635919000,132395000,-7007210000,-225886000,,0,0,16297000,2075003000,,-4565654000,-193874000,-2668228000,0,0,-100000000,,,,,0,3075596000,-39314000,6087371000,9184452000,5000063167
2019-12-31,,8290796000,-4986347000,1969590000,5630458000,,,,7555112000,-246657000,0,,,,0,2165984000,,,,,,,1503939000,,-768255000,,-1894003000,,,,-1718085000,,,11227805000,9449115000,-222751000,-11180972000,-246657000,,0,0,26747000,5294365000,,-9883756000,-177046000,-4739690000,-196394000,-196394000,0,,,,,0,4459394000,356419000,9184452000,14814910000,5000063167
2020-12-31,,2956124000,-1471636000,198848000,1068191000,,,,1330125000,-644336000,0,,,,-59040000,198848000,,,,,,,1581512000,,44487000,,-8659897000,,,,-3508168000,,,20314069000,9990022000,-243915000,-25221883000,-644336000,,0,0,139188000,13568315000,,-14315748000,-219055000,-827300000,0,0,0,,,,,-59040000,15206569000,-615145000,14814910000,15883101000,5000063167
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000063167
2021-12-31,,16398294000,-4031648000,15202991000,31915733000,,,,16613344000,-790676000,,,,,0,15208168000,,,,,,,2119294000,,-2334344000,,6412248000,,,,3360662000,,,61226479000,10201096000,-854483000,-57320410000,-790676000,,,,129974000,12927286000,,-15992187000,-306045000,-3240972000,-5177000,-5177000,,,,,,0,27584977000,4346096000,15883101000,47798834000,5000063167
