Date,"Net Income/Starting Line, Cumulative","Cash from Operating Activities, Cumulative","Cash from Investing Activities, Cumulative","Cash from Financing Activities, Cumulative","Net Change in Cash, Cumulative","Depreciation / Depletion, Cumulative","Amortization, Cumulative",Non-Cash Items,"Changes in Working Capital, Cumulative","Capital Expenditures, Cumulative","Total Cash Dividends Paid, Cumulative","Common Stock Issued (Retired), Net","Issuance (Retirement) of Stock, Net, Cumulative","Short Term Debt Issued (Reduced), Net","Long Term Debt Issued (Reduced), Net","Issuance (Retirement) of Debt, Net, Cumulative",Accounts Receivable (CF),"Depreciation (CF), Cumulative",Amortization of Intangibles (CF),Unusual Items (CF),Equity in Net Earnings (Loss) (CF),Other Non-Cash Items,Cash Receipts,Cash Payments,Cash Taxes Paid,"Cash Interest Paid, Supplemental, Cumulative",Net Changes in Working Capital,Loan Loss Provision,Inventories (CF),Prepaid Expenses (CF),Other Assets (CF),Accounts Payable (CF),Payable / Accrued (CF),Other Liabilities (CF),Other Operating Cash Flow,"Investment Securities, Gains/Losses (CF)","Loans, Gains/Losses (CF)","Purchase of Fixed Assets, Cumulative",Purchase/Acquisition of Intangibles,Acquisition of Business,Sale of Business,Sale of Fixed Assets,Sale/Maturity of Investment,"Investment, Net (CF)",Purchase of Investments,Other Investing Cash Flow,"Other Investing Cash Flow Items, Total, Cumulative",Other Financing Cash Flow,Financing Cash Flow Items,Cash Dividends Paid - Common,Sale/Issuance of Common,Repurchase/Retirement of Common,Short Term Debt Reduction,Long Term Debt Issued,Long Term Debt Reduction,Total Debt Issued,"Foreign Exchange Effects, Cumulative",Net Cash - Beginning Balance,Net Cash - Ending Balance,OAPermID
2010-12-31,184735000,-448057000,965793000,-309177000,208559000,3399000,,-702948000,42669000,-27540000,,2500000,2500000,-7501000,,-7501000,,3399000,,-7924000,,-695024000,,,197224000,,42669000,51407000,,,-3523000,,,-82087000,,998000,,-27540000,,,,,973933000,,-1646002000,911121000,993333000,-22480000,-304176000,,2500000,,-7501000,,,,,356215000,564774000,5001204503
2011-12-31,63168000,-248588000,-235877000,223433000,-261032000,7987000,,-467002000,162368000,-42595000,-55803000,98620000,98945000,-3001000,,-3001000,,7987000,,24569000,,-491571000,,,80224000,,162368000,13828000,,,15101000,,,41926000,,-1136000,,-42595000,,,,,967724000,,-2124483000,1101719000,-193282000,-24680000,183292000,-55803000,98620000,,-3001000,,,,,564774000,303742000,5001204503
2012-12-31,211260000,-351606000,201000000,342217000,191611000,15056000,,-484298000,-21396000,-71112000,-89021000,0,3597000,-1665000,,-1665000,,15056000,,18813000,,-503111000,,,257960000,,-21396000,18896000,,,3100000,,,-54031000,,-17039000,,-71112000,,,,,1635622000,,-1345874000,792486000,272112000,9581000,429306000,-89021000,0,,-1665000,,,,,303742000,495353000,5001204503
2013-12-31,208936000,-67107000,-2606984000,2431487000,-242604000,23184000,,-392111000,84647000,-184088000,-65225000,,9905000,,,,,23184000,,1939000,,-394050000,,,97631000,93735000,84647000,31964000,,,-4324000,,,57074000,,-8629000,,-184088000,,,,,1585320000,,-1135614000,220386000,-2422896000,5285000,2486807000,-65225000,,,,,,,,495353000,252749000,5001204503
2014-12-31,204215000,-49746000,-3807807000,3792321000,-65232000,31552000,,-253317000,7381000,-150846000,-87716000,,926000,,,,,31552000,,-2617000,,-250700000,,,129987000,105386000,7381000,41505000,,,-32709000,,,24192000,,-3859000,,-150846000,,,,,761542000,,-1632449000,162852000,-3656961000,6704000,3879111000,-87716000,,,,,,,,252749000,187517000,5001204503
2015-12-31,251660000,217886000,-4608692000,4470789000,79983000,43390000,,-137760000,31125000,-210601000,-88981000,,35647000,,392252000,392252000,,43390000,,,,-137760000,,,29346000,130963000,31125000,44311000,,,-35235000,,,31922000,,-8480000,,-210601000,,-277553000,,,1765288000,,-2235107000,58391000,-4398091000,5466000,4131871000,-88981000,,,,392252000,,,,187517000,267500000,5001204503
2015-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5001204503
2016-12-31,225741000,308510000,-3826231000,3698534000,180813000,56444000,,-114343000,110479000,-88559000,-89824000,0,791000,,,,,56444000,,,,-114343000,,,16464000,186525000,110479000,50911000,,,21371000,,,33359000,,-14461000,,-88559000,,,,583000,2043474000,,-3313206000,21123000,-3737672000,5178000,3787567000,-89824000,,0,,,,,,267500000,448313000,5001204503
2017-12-31,614273000,318626000,-2452576000,1880219000,-253731000,61552000,,-77683000,-337317000,-99553000,-91628000,0,62095000,,,,,61552000,,,,-77683000,,,69231000,247548000,-337317000,68747000,,,-319629000,,,-41319000,,-33466000,,-99553000,,,,4950000,2814723000,,-3380203000,-15572000,-2353023000,-8837000,1909752000,-91628000,,0,,,,,,448313000,194582000,5001204503
2018-12-31,324866000,824252000,-2041531000,1404770000,187491000,64268000,,-70764000,438104000,-190500000,-91305000,-299972000,-292245000,,,,,64268000,,,,-70764000,,,-288267000,387801000,438104000,25925000,,,236461000,,,82126000,,-3159000,,-190500000,,,,52134000,2871824000,,-4447120000,-3184000,-1851031000,-7424000,1788320000,-91305000,,-299972000,,,,,,194582000,382073000,5001204503
