Date,"Net Income/Starting Line, Cumulative","Cash from Operating Activities, Cumulative","Cash from Investing Activities, Cumulative","Cash from Financing Activities, Cumulative","Net Change in Cash, Cumulative","Depreciation / Depletion, Cumulative","Amortization, Cumulative",Non-Cash Items,"Changes in Working Capital, Cumulative","Capital Expenditures, Cumulative","Total Cash Dividends Paid, Cumulative","Common Stock Issued (Retired), Net","Issuance (Retirement) of Stock, Net, Cumulative","Short Term Debt Issued (Reduced), Net","Long Term Debt Issued (Reduced), Net","Issuance (Retirement) of Debt, Net, Cumulative",Accounts Receivable (CF),"Depreciation (CF), Cumulative",Amortization of Intangibles (CF),Unusual Items (CF),Equity in Net Earnings (Loss) (CF),Other Non-Cash Items,Cash Receipts,Cash Payments,Cash Taxes Paid,"Cash Interest Paid, Supplemental, Cumulative",Net Changes in Working Capital,Loan Loss Provision,Inventories (CF),Prepaid Expenses (CF),Other Assets (CF),Accounts Payable (CF),Payable / Accrued (CF),Other Liabilities (CF),Other Operating Cash Flow,"Investment Securities, Gains/Losses (CF)","Loans, Gains/Losses (CF)","Purchase of Fixed Assets, Cumulative",Purchase/Acquisition of Intangibles,Acquisition of Business,Sale of Business,Sale of Fixed Assets,Sale/Maturity of Investment,"Investment, Net (CF)",Purchase of Investments,Other Investing Cash Flow,"Other Investing Cash Flow Items, Total, Cumulative",Other Financing Cash Flow,Financing Cash Flow Items,Cash Dividends Paid - Common,Sale/Issuance of Common,Repurchase/Retirement of Common,Short Term Debt Reduction,Long Term Debt Issued,Long Term Debt Reduction,Total Debt Issued,"Foreign Exchange Effects, Cumulative",Net Cash - Beginning Balance,Net Cash - Ending Balance,OAPermID
2010-12-31,5222000,5631000,-254747000,366976000,117860000,4074000,,1307000,-2478000,-3622000,-433000,0,-49974000,36000000,,36000000,,4074000,,203000,,1104000,,,483000,,-2478000,19287000,,,-1661000,,,-18897000,,-1207000,,-3622000,,,,497000,133504000,,-273227000,,-251125000,369588000,381383000,,0,0,,,,,,354459000,472319000,4295913876
2011-12-31,8918000,37640000,-355668000,594883000,276855000,4026000,,3074000,23583000,-2106000,0,53635000,53635000,-136000000,,-136000000,,4026000,,605000,,2469000,,,6139000,,23583000,21498000,,,1527000,,,1317000,,-759000,,-2106000,,,,991000,139621000,,-345809000,,-353562000,658454000,677248000,,54501000,-866000,,,,,,472319000,749174000,4295913876
2012-12-31,16624000,33042000,-472372000,658248000,218918000,4431000,,7364000,7522000,-5098000,0,41713000,42167000,0,,0,,4431000,,2679000,,4685000,,,11049000,,7522000,22438000,,,-10653000,,,7739000,,-661000,,-5098000,,,,5893000,182533000,,-473828000,,-467274000,630710000,616081000,,41713000,0,,,,,,749174000,968092000,4295913876
2013-12-31,-14422000,-39005000,-657357000,965723000,269361000,4836000,,-13426000,-15793000,-9098000,,1629000,3282000,,,,,4836000,,-4000,,9968000,,,17602000,10792000,-15793000,355000,,,-3775000,,,15284000,,-1889000,,-9098000,,,,137000,340468000,,-936949000,82199000,-648259000,,962441000,,1629000,,,,,,,966588000,1235949000,4295913876
2014-12-31,57109000,-49993000,-418812000,347091000,-121714000,5734000,,54096000,-153342000,-6611000,,0,103000,,,,,5734000,,-14000,,16700000,,,2578000,10768000,-153342000,1202000,,,19237000,,,-26155000,,-450000,,-6611000,,,,64000,300596000,,-726763000,253938000,-412201000,,346988000,,0,,,,,,,1235949000,1114235000,4295913876
2015-12-31,13432000,-234880000,501323000,-225516000,40927000,5933000,,20219000,-274548000,-8999000,,0,0,,,,,5933000,,-9000,,14859000,,,592000,13397000,-274548000,2100000,,,4171000,,,4044000,,-12005000,,-8999000,,,,327000,762590000,,-346227000,298651000,510322000,,-225516000,,0,,,,,,,1114235000,1155162000,4295913876
2016-12-31,-96492000,-217954000,-98956000,160807000,-156103000,6385000,,5818000,-119284000,-8024000,,74812000,74812000,,263099000,263099000,,6385000,,6000,,10965000,,,1502000,12420000,-119284000,3360000,,,-11139000,,,27335000,,34362000,,-8024000,,,,542000,376043000,,-549502000,228351000,-90932000,,-177104000,,74812000,,,,,,,1155162000,999059000,4295913876
2016-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4295913876
2017-12-31,17338000,-28091000,-84315000,22281000,-90125000,5980000,,15390000,-87598000,-515000,,,,,,,,5980000,,-1689000,,16037000,,,4159000,15326000,-87598000,2920000,,,5367000,,,-15768000,,-2251000,,-515000,,,,945000,622140000,,-579925000,45808000,-83800000,-200000,22281000,,,,,,,,,999059000,908935000,4295913876
2018-12-31,87540000,-173961000,84468000,-265140000,-354633000,5528000,,24563000,-307416000,-2379000,,112000,112000,,,,,5528000,,-632000,,20065000,,,12663000,27021000,-307416000,3585000,,,-10037000,,,9007000,,-61352000,,-2379000,,,,,224743000,,-134758000,111511000,86847000,60000000,-265252000,,112000,,,,,,,908935000,554302000,4295913876
2018-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4295913876
2019-12-31,51268000,-493083000,-233310000,1116563000,390170000,5227000,,29282000,-580467000,-2012000,,258000,258000,,,,,5227000,,1914000,,25063000,,,20683000,37532000,-580467000,4400000,,,-11288000,,,10920000,,,,-2012000,,,,,194035000,,-157478000,54756000,-231298000,,1116305000,,258000,,,,,,,554302000,944472000,4295913876
2020-12-31,80596000,-512178000,-595795000,509016000,-598957000,3758000,,27968000,-623150000,-3738000,,866000,866000,,98160000,98160000,,3758000,,1991000,,25821000,,,23040000,13310000,-623150000,6352000,,,-4489000,,,9489000,,45000,,-3738000,,-3920000,,15000,241609000,,-34658000,26387000,-592057000,,409990000,,866000,,,98160000,,,,944472000,345515000,4295913876
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4295913876
2021-12-31,110441000,83892000,-305902000,478279000,256269000,3301000,,10589000,-41841000,-1549000,,-36572000,-36572000,,0,0,,3301000,,-1671000,,13594000,,,44341000,11709000,-42156000,3110000,,,-14443000,,,-18399000,315000,7000,,-1549000,,,0,300000,499595000,,-259059000,32525000,-304353000,,514851000,,3428000,-40000000,,0,,,,345515000,601784000,4295913876
