Date,"Net Income/Starting Line, Cumulative","Cash from Operating Activities, Cumulative","Cash from Investing Activities, Cumulative","Cash from Financing Activities, Cumulative","Net Change in Cash, Cumulative","Depreciation / Depletion, Cumulative","Amortization, Cumulative",Non-Cash Items,"Changes in Working Capital, Cumulative","Capital Expenditures, Cumulative","Total Cash Dividends Paid, Cumulative","Common Stock Issued (Retired), Net","Issuance (Retirement) of Stock, Net, Cumulative","Short Term Debt Issued (Reduced), Net","Long Term Debt Issued (Reduced), Net","Issuance (Retirement) of Debt, Net, Cumulative",Accounts Receivable (CF),"Depreciation (CF), Cumulative",Amortization of Intangibles (CF),Unusual Items (CF),Equity in Net Earnings (Loss) (CF),Other Non-Cash Items,Cash Receipts,Cash Payments,Cash Taxes Paid,"Cash Interest Paid, Supplemental, Cumulative",Net Changes in Working Capital,Loan Loss Provision,Inventories (CF),Prepaid Expenses (CF),Other Assets (CF),Accounts Payable (CF),Payable / Accrued (CF),Other Liabilities (CF),Other Operating Cash Flow,"Investment Securities, Gains/Losses (CF)","Loans, Gains/Losses (CF)","Purchase of Fixed Assets, Cumulative",Purchase/Acquisition of Intangibles,Acquisition of Business,Sale of Business,Sale of Fixed Assets,Sale/Maturity of Investment,"Investment, Net (CF)",Purchase of Investments,Other Investing Cash Flow,"Other Investing Cash Flow Items, Total, Cumulative",Other Financing Cash Flow,Financing Cash Flow Items,Cash Dividends Paid - Common,Sale/Issuance of Common,Repurchase/Retirement of Common,Short Term Debt Reduction,Long Term Debt Issued,Long Term Debt Reduction,Total Debt Issued,"Foreign Exchange Effects, Cumulative",Net Cash - Beginning Balance,Net Cash - Ending Balance,OAPermID
2011-03-31,635425000000,6051519000000,-1667458000000,155052000000,4503677000000,165840000000,0,-725199000000,5975453000000,-196810000000,-133925000000,761355000000,761355000000,,-384013000000,-384013000000,,165840000000,,8367000000,6185000000,-739751000000,,,25249000000,,5360499000000,-117749000000,,,961115000000,,,6177180000000,614954000000,-85983000000,-1574064000000,-75803000000,-121007000000,-2012000000,0,362000000,83864488000000,,-85333495000000,,-1470648000000,-88365000000,-88365000000,-133925000000,761358000000,-3000000,,0,-384013000000,,-35434000000,4678783000000,9182461000000,4295878505
2011-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4295878505
2012-03-31,716449000000,4163029000000,-6175677000000,-680653000000,-2699322000000,165436000000,2802000000,-1047251000000,4325593000000,-147119000000,-215901000000,-596000000,-596000000,,-303545000000,-303545000000,,165436000000,,-77388000000,-2689000000,-967174000000,,,40201000000,,4003903000000,-66467000000,,,61881000000,,,4843536000000,321690000000,-121264000000,-713783000000,-53613000000,-93506000000,-634000000,20000000,11707000000,96562835000000,,-102602486000000,,-6028558000000,-160611000000,-160611000000,-215901000000,1964000000,-2560000000,,178000000000,-481545000000,,-6020000000,9182461000000,6483138000000,4295878505
2013-03-31,717832000000,5858617000000,-749691000000,-283872000000,4864398000000,154147000000,3405000000,-2045672000000,7028905000000,-144705000000,-152514000000,1068000000,1068000000,,137106000000,137106000000,,154147000000,,18143000000,11141000000,-2074956000000,,,92464000000,,4895604000000,33845000000,,,1042576000000,,,7390783000000,2133301000000,-145889000000,-3425711000000,-48044000000,-96661000000,0,1479000000,6413000000,110103470000000,,-110717998000000,,-604986000000,-269532000000,-269532000000,-152514000000,1074000000,-6000000,,363985000000,-226879000000,,39344000000,6483138000000,11347537000000,4295878505
2013-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,361309000000,,,,,,,,,,,,,,,,,,,,2000000,,,,,,,,,,,,,,4295878505
2014-03-31,985366000000,-2286042000000,10607483000000,-305744000000,8084887000000,153098000000,3672000000,-2010856000000,-1417322000000,-231654000000,-152162000000,-37003000000,-37003000000,,-28820000000,-28820000000,,153098000000,,7385000000,-15491000000,-2002750000000,,,122650000000,,-1858110000000,-143059000000,,,5187115000000,,,-6854542000000,440788000000,-115208000000,67584000000,-89425000000,-142229000000,-36584000000,0,5172000000,83225935000000,,-72355385000000,-1000000,10839137000000,-87759000000,-87759000000,-152162000000,10000000,-37013000000,,154380000000,-183200000000,,69190000000,11347537000000,19432425000000,4295878505
2015-03-31,990632000000,6654959000000,2619227000000,-903401000000,8408350000000,156946000000,3698000000,-1771311000000,7274994000000,-403750000000,-176186000000,-4000000,-4000000,,-414705000000,-414705000000,,156946000000,,19899000000,-15052000000,-1776158000000,,,172024000000,346060000000,5408190000000,-103554000000,,,1361743000000,,,5740965000000,1866804000000,-219485000000,-1371479000000,-216299000000,-187451000000,,,1585000000,84082778000000,,-81061387000000,1000000,3022977000000,-312506000000,-312506000000,-176186000000,8000000,-12000000,,150000000000,-564705000000,,37565000000,19432425000000,27840775000000,4295878505
2016-03-31,1008252000000,4104196000000,3687897000000,-521023000000,7248347000000,159953000000,830000000,-558652000000,3493813000000,-324370000000,-195283000000,-7000000,-7000000,,177917000000,177917000000,,159953000000,,1683000000,-24299000000,-536036000000,,,269366000000,386135000000,2825288000000,-53529000000,,,-1472652000000,,,6552912000000,668525000000,-356316000000,-1845127000000,-67298000000,-257072000000,-24432000000,,12913000000,47062806000000,,-43039018000000,-2000000,4012267000000,-503650000000,-503650000000,-195283000000,6000000,-13000000,,474517000000,-296600000000,,-22723000000,27840775000000,35089122000000,4295878505
2016-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4295878505
2017-03-31,784193000000,4690332000000,5796391000000,-24537000000,10434541000000,166265000000,2816000000,-824034000000,4561092000000,-391195000000,-190031000000,-3123000000,-3123000000,,664000000000,664000000000,,166265000000,,-46967000000,-18899000000,-758168000000,,,246806000000,553494000000,4148257000000,57472000000,,,3001619000000,,,7972244000000,412835000000,-357418000000,-6525660000000,-105634000000,-285561000000,,,8932000000,52378763000000,,-46200112000000,1000000,6187586000000,-495383000000,-495383000000,-190031000000,6000000,-3129000000,,820000000000,-156000000000,,-27645000000,35089122000000,45523663000000,4295878505
