Date,"Net Income/Starting Line, Cumulative","Cash from Operating Activities, Cumulative","Cash from Investing Activities, Cumulative","Cash from Financing Activities, Cumulative","Net Change in Cash, Cumulative","Depreciation / Depletion, Cumulative","Amortization, Cumulative",Non-Cash Items,"Changes in Working Capital, Cumulative","Capital Expenditures, Cumulative","Total Cash Dividends Paid, Cumulative","Common Stock Issued (Retired), Net","Issuance (Retirement) of Stock, Net, Cumulative","Short Term Debt Issued (Reduced), Net","Long Term Debt Issued (Reduced), Net","Issuance (Retirement) of Debt, Net, Cumulative",Accounts Receivable (CF),"Depreciation (CF), Cumulative",Amortization of Intangibles (CF),Unusual Items (CF),Equity in Net Earnings (Loss) (CF),Other Non-Cash Items,Cash Receipts,Cash Payments,Cash Taxes Paid,"Cash Interest Paid, Supplemental, Cumulative",Net Changes in Working Capital,Loan Loss Provision,Inventories (CF),Prepaid Expenses (CF),Other Assets (CF),Accounts Payable (CF),Payable / Accrued (CF),Other Liabilities (CF),Other Operating Cash Flow,"Investment Securities, Gains/Losses (CF)","Loans, Gains/Losses (CF)","Purchase of Fixed Assets, Cumulative",Purchase/Acquisition of Intangibles,Acquisition of Business,Sale of Business,Sale of Fixed Assets,Sale/Maturity of Investment,"Investment, Net (CF)",Purchase of Investments,Other Investing Cash Flow,"Other Investing Cash Flow Items, Total, Cumulative",Other Financing Cash Flow,Financing Cash Flow Items,Cash Dividends Paid - Common,Sale/Issuance of Common,Repurchase/Retirement of Common,Short Term Debt Reduction,Long Term Debt Issued,Long Term Debt Reduction,Total Debt Issued,"Foreign Exchange Effects, Cumulative",Net Cash - Beginning Balance,Net Cash - Ending Balance,OAPermID
2010-12-31,-539000000,4227000000,4084000000,-9403000000,-1092000000,732000000,,153000000,4091000000,-191000000,-233000000,0,0,269000000,-5373000000,-5104000000,,732000000,,108000000,,45000000,,,-555000000,,4090000000,2863000000,,,609000000,,,224000000,1000000,-394000000,-107000000,-191000000,,,,,18358000000,,-17701000000,0,4275000000,,-4066000000,-49000000,0,,,3743000000,-9116000000,,,8011000000,6919000000,4295907751
2011-12-31,-215000000,4753000000,659000000,-5086000000,326000000,683000000,,745000000,3563000000,-201000000,-226000000,0,0,-870000000,-5003000000,-5873000000,,683000000,,745000000,,,,,-98000000,919000000,3545000000,1530000000,,,1151000000,,,-366000000,18000000,-112000000,-89000000,-201000000,0,,,,13716000000,,-14592000000,0,860000000,,1013000000,-51000000,0,0,,1001000000,-6004000000,,,6919000000,7245000000,4295907751
2012-12-31,1120000000,2441000000,1007000000,-5204000000,-1756000000,717000000,,-8000000,178000000,-180000000,-102000000,486000000,-2184000000,-564000000,-2201000000,-2765000000,,717000000,,-8000000,,,,,80000000,644000000,179000000,213000000,,,829000000,,,-353000000,-1000000,-48000000,-165000000,-180000000,0,,,,9420000000,,-11571000000,855000000,1187000000,,-153000000,-54000000,486000000,0,,0,-2201000000,,,7245000000,5489000000,4295907751
2013-12-31,1091000000,3745000000,-71000000,-3890000000,-216000000,645000000,,37000000,1572000000,-214000000,-170000000,-340000000,-340000000,608000000,-969000000,-361000000,,645000000,,37000000,,0,,,54000000,667000000,1549000000,138000000,,,1489000000,,,-915000000,23000000,-26000000,-113000000,-186000000,-28000000,,,,9167000000,,-6853000000,,143000000,2000000,-3019000000,-138000000,,-340000000,,750000000,-1719000000,,,5489000000,5273000000,4295907751
2014-12-31,1147000000,2107000000,-3781000000,405000000,-1269000000,523000000,,-35000000,276000000,-263000000,-299000000,-256000000,230000000,71000000,-1350000000,-1279000000,,523000000,,0,,-35000000,,,296000000,314000000,293000000,69000000,,,-145000000,,,421000000,-17000000,-27000000,-108000000,-242000000,-21000000,,,,5022000000,,-5872000000,,-3518000000,6000000,1753000000,-247000000,,-256000000,,0,-1350000000,,,5273000000,4004000000,4295907751
2014-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4295907751
2015-12-31,1062000000,1599000000,-6124000000,5835000000,1310000000,523000000,,43000000,-230000000,-373000000,-368000000,-623000000,-623000000,-2243000000,4854000000,2611000000,,523000000,,43000000,,,,,129000000,268000000,-354000000,241000000,,,-225000000,,,-449000000,124000000,-29000000,-87000000,-369000000,-4000000,,,,7257000000,0,-7819000000,,-5751000000,-15000000,4215000000,-304000000,,-623000000,,5996000000,-1142000000,,,4004000000,5314000000,4295907751
2016-12-31,1163000000,2037000000,-700000000,-1200000000,137000000,574000000,,14000000,219000000,-269000000,-381000000,-839000000,-839000000,-10000000,-559000000,-569000000,,574000000,,14000000,,,,,314000000,299000000,39000000,262000000,,,-226000000,,,189000000,180000000,-6000000,-124000000,-205000000,-64000000,,0,,4663000000,1924000000,-7563000000,9000000,-431000000,-16000000,589000000,-317000000,,-839000000,,3357000000,-3916000000,,,5314000000,5451000000,4295907751
2017-12-31,1263000000,2297000000,-801000000,-2966000000,-1470000000,537000000,,0,288000000,-191000000,-410000000,-1275000000,-1275000000,500000000,394000000,894000000,,537000000,,0,,,,,181000000,363000000,240000000,150000000,,,-362000000,,,110000000,48000000,-22000000,-118000000,-150000000,-41000000,,0,,3771000000,815000000,-4898000000,-1000000,-610000000,-29000000,-2175000000,-346000000,,-1275000000,,6649000000,-6255000000,,,5451000000,3981000000,4295907751
2018-12-31,1759000000,2275000000,-3045000000,327000000,-443000000,462000000,,-281000000,109000000,-222000000,-516000000,-2122000000,-2122000000,1100000000,4299000000,5399000000,,462000000,,-281000000,,,,,57000000,581000000,72000000,229000000,,,287000000,,,-470000000,37000000,-1000000,-73000000,-151000000,-71000000,,357000000,,3557000000,254000000,-3410000000,-4000000,-2823000000,-36000000,-2434000000,-452000000,,-2122000000,,21750000000,-17451000000,,,3981000000,3538000000,4295907751
