Date,"Net Income/Starting Line, Cumulative","Cash from Operating Activities, Cumulative","Cash from Investing Activities, Cumulative","Cash from Financing Activities, Cumulative","Net Change in Cash, Cumulative","Depreciation / Depletion, Cumulative","Amortization, Cumulative",Non-Cash Items,"Changes in Working Capital, Cumulative","Capital Expenditures, Cumulative","Total Cash Dividends Paid, Cumulative","Common Stock Issued (Retired), Net","Issuance (Retirement) of Stock, Net, Cumulative","Short Term Debt Issued (Reduced), Net","Long Term Debt Issued (Reduced), Net","Issuance (Retirement) of Debt, Net, Cumulative",Accounts Receivable (CF),"Depreciation (CF), Cumulative",Amortization of Intangibles (CF),Unusual Items (CF),Equity in Net Earnings (Loss) (CF),Other Non-Cash Items,Cash Receipts,Cash Payments,Cash Taxes Paid,"Cash Interest Paid, Supplemental, Cumulative",Net Changes in Working Capital,Loan Loss Provision,Inventories (CF),Prepaid Expenses (CF),Other Assets (CF),Accounts Payable (CF),Payable / Accrued (CF),Other Liabilities (CF),Other Operating Cash Flow,"Investment Securities, Gains/Losses (CF)","Loans, Gains/Losses (CF)","Purchase of Fixed Assets, Cumulative",Purchase/Acquisition of Intangibles,Acquisition of Business,Sale of Business,Sale of Fixed Assets,Sale/Maturity of Investment,"Investment, Net (CF)",Purchase of Investments,Other Investing Cash Flow,"Other Investing Cash Flow Items, Total, Cumulative",Other Financing Cash Flow,Financing Cash Flow Items,Cash Dividends Paid - Common,Sale/Issuance of Common,Repurchase/Retirement of Common,Short Term Debt Reduction,Long Term Debt Issued,Long Term Debt Reduction,Total Debt Issued,"Foreign Exchange Effects, Cumulative",Net Cash - Beginning Balance,Net Cash - Ending Balance,OAPermID
2010-12-31,72258000,337048000,-517841000,169458000,-11335000,92644000,,23113000,136662000,-18679000,-21219000,116705000,-282917000,,0,0,,92644000,,14003000,,9110000,,,20577000,,136662000,115000000,,,60935000,,,24113000,,-23690000,,-18679000,,,,675000,1619272000,337499000,-2316910000,33937000,-499162000,36532000,473594000,-3996000,118359000,-1654000,,,0,,,171184000,159849000,4295908449
2011-12-31,151378000,268125000,-771709000,539692000,36108000,83154000,,16488000,-11870000,-28867000,-17264000,-981000,-26630000,,-22689000,-22689000,,83154000,,9025000,,7463000,,,32912000,,-11870000,22500000,,,-17373000,,,-17158000,,5328000,,-28867000,,,,3881000,1404621000,-43251000,-1799201000,29145000,-742842000,392000,606275000,-14804000,689000,-1670000,,,-22689000,,,159849000,195957000,4295908449
2012-12-31,173697000,257082000,-1390229000,1189473000,56326000,39504000,,76439000,-53550000,-21983000,-33127000,-49440000,70635000,,-210971000,-210971000,,39504000,,-1599000,,78038000,,,56491000,116412000,-53550000,21500000,,,-19913000,,,-20588000,,-2627000,-23037000,-21983000,,,,1381000,1799450000,-2143000,-2251075000,-287000,-1368246000,812000,1362936000,-30667000,560000,-50000000,,0,-210971000,,,195957000,252283000,4295908449
2013-12-31,179456000,463953000,-1137123000,644503000,-28667000,36019000,,79328000,157651000,-21886000,-59755000,731000,2765000,,-102579000,-102579000,,36019000,,7269000,,72059000,,,62926000,88388000,157651000,33500000,,,70307000,,,-14812000,,-1782000,-16359000,-21886000,,,0,1304000,1516872000,31761000,-1942392000,6265000,-1115237000,389000,804072000,-48952000,731000,0,,0,-102579000,,,252283000,223616000,4295908449
2014-12-31,199726000,242995000,-1669785000,1434783000,7993000,30585000,,47359000,-29521000,-30039000,-77987000,-10306000,-10414000,,0,0,,30585000,,-444000,,47803000,,,102973000,89942000,-29521000,37250000,,,-4781000,,,6601000,,-5499000,-4070000,-30039000,,,0,3565000,1090232000,-109021000,-1331878000,-32349000,-1639746000,-188000,1523184000,-67431000,435000,-10741000,,150000000,-150000000,,,205921000,213914000,4295908449
2015-12-31,204729000,302792000,-774184000,457171000,-14221000,34678000,,52025000,26873000,-36115000,-89675000,-12564000,-14778000,,0,0,,34678000,,-445000,,52470000,,,106991000,95428000,26873000,49300000,,,-44554000,,,33478000,,-609000,-7795000,-36115000,,,1396414000,650000,1362695000,-23212000,-1714273000,9313000,-738069000,2338000,561624000,-80964000,0,-12564000,,0,0,,,213914000,199693000,4295908449
2016-12-31,207127000,398145000,-1635006000,1227831000,-9030000,36449000,,53580000,83289000,-40731000,-97618000,-11206000,-11271000,,5000000,5000000,,36449000,,-430000,,54010000,,,80143000,102438000,83289000,56350000,,,50737000,,,-18918000,,-7745000,-11103000,-40731000,,,0,1550000,1728201000,126446000,-2047026000,-6680000,-1594275000,3204000,1331720000,-89522000,0,-11206000,,5000000,0,,,199693000,190663000,4295908449
2016-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4295908449
2017-12-31,255439000,444966000,-531053000,122749000,36662000,37172000,,57047000,104382000,-28546000,-102726000,-11585000,7326000,,0,0,,37172000,,-673000,,57720000,,,109059000,114046000,104382000,40900000,,,-34417000,,,29680000,,0,-9937000,-28546000,,,,10938000,1672171000,0,-1703384000,44699000,-502507000,0,218149000,-94630000,,-11585000,,0,,,,220124000,256786000,4295908449
2018-12-31,360418000,469408000,-1317924000,921229000,72713000,38750000,,62233000,-1465000,-32958000,-122834000,-12158000,-23764000,,0,0,,38750000,,-363000,,62596000,,,60925000,144726000,-1465000,42000000,,,-15353000,,,-28066000,,-7149000,-4424000,-32958000,,,,567000,1063609000,,-1374162000,5336000,-1284966000,0,1067827000,-114959000,,-12158000,,0,,,,256786000,329499000,4295908449
