Date,Total Current Assets,Total Liabilities,Total Debt,Total Current Liabilities,Total Equity,Total Liabilities And Shareholders' Equity,Tangible Book Value - Reported,Tangible Book Value - Utility,Tangible Book Value - Insurance,Tangible Book Value - Banks,Total Common Shares Outstanding,"Total Receivables, Net",Total Inventory,"Other Current Assets, Total","Other Earning Assets, Total",Net Loans,"Property/Plant/Equipment, Total - Net","Goodwill, Net","Intangibles, Net","Other Assets, Total","Total Assets, Reported",Fed Funds Purchased / Security Sold Under Repurchase Agreement,Total Short Term Borrowings,"Other Current liabilities, Total","Other Liabilities, Total","Common Stock, Total","Other Equity, Total","Accounts Receivable - Trade, Net",Total Investment Securities,"Property, Plant And Equipment, Total - Gross",Cash,Cash and Equivalents,Cash and Equivalents,"Accounts Receivable - Trade, Gross",Provision for Doubtful Accounts,Receivables - Other,Prepaid Expenses,Other Current Assets,Cash & Due From Banks,Fed Funds Sold/Scty Prchd Under Resale Agrmnt,Other Short Term Investments,Securities Held To Maturity,Securities for Sale,Total Gross Loans,Loan Loss Allowances,Building - Gross,Land/Improvements - Gross,Machinery/Equipment - Gross,Construction in Progress - Gross,Other Property/Plant/Equipment - Gross,"Accumulated Depreciation, Total",Accumulated Intangible Amortization,Interest Receivable,Other Assets,Accounts Payable,Accrued Expenses,Interest Bearing Deposits,Total Deposits,Other Short Term Borrowings,Dividends Payable,Customer Advances,Income Taxes Payable,Other Payables,Other Current Liabilities,Capital Lease Obligations,Reserves,Pension Benefits - Underfunded,Other Liabilities,Common Stock,Additional Paid-In Capital,Retained Earnings (Accumulated Deficit),Treasury Stock - Common,Unrealized Gain (Loss),Translation Adjustment,Other Equity,Other Comprehensive Income,Shares Out - Common Stock Primary Issue,Treas Shares - Common Stock Prmry Issue,Full-Time Employees,Deferred Revenue - Current,Total Risk-Weighted Capital,Trading Account,Non-Performing Loans,Total Current Assets less Inventory,Quick Ratio,Current Ratio,Net Debt Incl. Pref.Stock & Min.Interest,Tangible Book Value Per Share,Pension Obligation - Domestic,Plan Assets - Domestic,Funded Status - Domestic,Total Funded Status,LT Investment - Affiliate Companies,LT Investments - Other,Long Term Investments,Note Receivable - Long Term,Deferred Income Tax - LT Asset,Restricted Cash - Long Term,Other Long Term Assets,Minority Interest,Other Long Term Liabilities,Long Term Debt Maturing within 1 Year,Long Term Debt Maturing in Year 2,Long Term Debt Maturing in Year 3,Long Term Debt Maturing in Year 4,Long Term Debt Maturing in Year 5,Long Term Debt Maturing in Years 2 and 3,Long Term Debt Maturing in Years 4 and 5,Long Term Debt Maturing in Year 6 and Beyond,Total Plan Obligations,Total Plan Assets,Short Term Investments,Cash and Short Term Investments,Notes Receivable - Short Term,"Intangibles, Gross","Other Long Term Assets, Total",Notes Payable/Short Term Debt,Notes Payable/Short Term Debt,Current Port. of LT Debt/Capital Leases,Long Term Debt,Total Long Term Debt,Deferred Income Tax - LT Liability,Number of Common Shareholders,"Accumulated Intangible Amort, Suppl.",Deferred Revenue - Long Term,Tier 1 Capital %,"Total Capital, Percent","Total Long Term Debt, Supplemental",Operating Lease Payments Due in Year 1,Operating Lease Payments Due in Year 2,Operating Lease Payments Due in Year 3,Operating Lease Payments Due in Year 4,Operating Lease Payments Due in Year 5,Operating Lease Payments Due in Years 2 and 3,Operating Lease Payments Due in Years 4 and 5,Oper Lease Pmnts Due in Years 6 and Beyond,"Total Operating Leases, Supplemental","Discount Rate - Domestic, (%)","Compensation Rate - Domestic, (%)",Accrued Liabilities - Domestic,OAPermID
2010-12-31,,167080000000,32267000000,,16733000000,183813000000,12118000000,12118000000,12118000000,12118000000,710,,,,99943000000,48957000000,549000000,2626000000,424000000,7099000000,183813000000,7395000000,15187000000,3007000000,11188000000,0,-9000000,,48713000000,1403000000,,,1576000000,,,,,,1576000000,8236000000,,3190000000,45523000000,49809000000,-852000000,968000000,72000000,,,363000000,-854000000,,,7099000000,,,96310000000,120618000000,7792000000,,,3007000000,,,,,,10528000000,0,13785000000,1536000000,,-144000000,,,,,,9914,,22070000000,42930000000,,,,,,17067605.6338,3384000000,2564000000,-820000000,-820000000,,,,,,,,,,5408000000,1163000000,298000000,2311000000,116000000,1461000000,2427000000,7934000000,3384000000,2564000000,,,,,22639000000,,15187000000,,17080000000,17080000000,,,,,11.8,18.14,17230000000,161000000,148000000,142000000,135000000,119000000,290000000,254000000,397000000,1102000000,5.45,2.75,-820000000,4295900343
2011-12-31,,191778000000,32718000000,,18502000000,210280000000,14467000000,14467000000,14467000000,14467000000,710,,,,126349000000,51124000000,458000000,2228000000,242000000,6369000000,210280000000,7507000000,16009000000,4223000000,15108000000,0,-12000000,,55316000000,1033000000,,,1616000000,,,,,,1616000000,3109000000,,2035000000,53281000000,51867000000,-743000000,832000000,63000000,,,138000000,-575000000,,,6369000000,,,102081000000,139729000000,8502000000,,,4223000000,,,,,,14186000000,0,13814000000,2481000000,,654000000,,,,,,8992,,21908000000,52986000000,,,,,,20376056.33803,3923000000,3130000000,-793000000,-793000000,,,,,,,,,,2393000000,1640000000,2464000000,1225000000,1236000000,4104000000,2461000000,7751000000,3923000000,3130000000,,,,,21894000000,,16009000000,,16709000000,16709000000,,,,,12.74,18.39,16709000000,154000000,150000000,145000000,128000000,105000000,295000000,233000000,339000000,1021000000,4.6,2.75,-793000000,4295900343
2012-12-31,,173610000000,36678000000,,17836000000,191446000000,13796000000,13796000000,13796000000,13796000000,710,,,,117656000000,62611000000,276000000,2228000000,247000000,7069000000,191446000000,,14933000000,4562000000,14699000000,0,785000000,,69336000000,762000000,,,1359000000,,,,,,1359000000,3149000000,,1620000000,67716000000,63258000000,-647000000,617000000,8000000,,,137000000,-486000000,,,7069000000,,,84543000000,117671000000,14933000000,,,4562000000,,,,,,14699000000,0,14123000000,1363000000,,,,,785000000,,,7000,,,45573000000,,,,,,19430985.91549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14933000000,,21745000000,21745000000,,,,,,,,,,,,,,,,,,,,4295900343
2013-12-31,,169023000000,41982000000,,16464000000,185487000000,12992000000,12992000000,12992000000,12992000000,710,,,,107121000000,67089000000,269000000,1612000000,295000000,8140000000,185487000000,,19135000000,3558000000,10875000000,0,-159000000,,56264000000,696000000,,,961000000,,,,,,961000000,2119000000,,1358000000,54906000000,67695000000,-606000000,551000000,8000000,,,137000000,-427000000,,,8140000000,,,81537000000,112608000000,19135000000,,,3558000000,,,,,,10875000000,0,14106000000,952000000,,,,,-159000000,,,,,122888000000,39769000000,,,,,,18298591.5493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19135000000,,22847000000,22847000000,,,,,11.73,16.47,,,,,,,,,,,,,,4295900343
2014-12-31,,168572000000,39319000000,,16967000000,185539000000,13584000000,13584000000,13584000000,13584000000,710,,,,97533000000,77061000000,247000000,1612000000,206000000,7989000000,185539000000,,12795000000,3971000000,8164000000,0,-1000000,,43609000000,706000000,,,891000000,,,,,,891000000,1413000000,,13469000000,30140000000,77741000000,-680000000,559000000,8000000,,,139000000,-459000000,,,7989000000,,,85553000000,116118000000,12795000000,,,3971000000,,,,,,8164000000,0,14170000000,1233000000,,,,,-1000000,,,6400,,133211000000,29256000000,1101000000,,,,,19132394.3662,4365000000,3875000000,-490000000,-490000000,,,,,,,,,,8347000000,778000000,2932000000,3145000000,2808000000,3710000000,5953000000,9514000000,4365000000,3875000000,,,,,,,12795000000,,26524000000,26524000000,,,,,11.41,15.78,27524000000,140000000,120000000,106000000,93000000,76000000,226000000,169000000,115000000,650000000,3.95,,-490000000,4295900343
2014-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4295900343
2015-12-31,,167753000000,32904000000,,20525000000,188278000000,17467000000,17467000000,17467000000,17467000000,710,,,,96392000000,82005000000,230000000,1612000000,181000000,6890000000,188278000000,,4995000000,3215000000,7455000000,0,-407000000,,49797000000,726000000,,,968000000,,,,,,968000000,19847000000,,14024000000,35773000000,82917000000,-912000000,578000000,8000000,,,140000000,-496000000,,,6890000000,,,88139000000,118579000000,4995000000,,,3215000000,,,,,,7455000000,0,18169000000,1498000000,,,,,-407000000,,,6173,,148421000000,24540000000,1179000000,,,,,24601408.4507,,,,,,,,,,,,,,2877000000,5597000000,8860000000,2789000000,6471000000,14457000000,9260000000,6915000000,,,,,,,,,4995000000,,27909000000,27909000000,,,,,12.6,16.5,33509000000,133000000,119000000,108000000,91000000,54000000,227000000,145000000,114000000,619000000,,,,4295900343
2016-12-31,,180946000000,37140000000,,20355000000,201301000000,17444000000,17444000000,17444000000,17444000000,710,,,,118639000000,72858000000,202000000,1612000000,34000000,6721000000,201301000000,,5101000000,3950000000,4908000000,0,-157000000,,49719000000,744000000,,,1235000000,,,,,,1235000000,30023000000,,12809000000,36910000000,73875000000,-1017000000,594000000,8000000,,,142000000,-542000000,,,6721000000,,,101575000000,129248000000,5101000000,,,3950000000,,,,,,4908000000,0,18148000000,1560000000,,-461000000,,,-157000000,,,6114,,128482000000,21758000000,1680000000,,,,,24569014.08451,,,,,,,,,,,,,,4870000000,9436000000,4569000000,6353000000,3448000000,14005000000,9801000000,9063000000,,,,,,,,,5101000000,,32039000000,32039000000,,,,,14.5,18.3,37739000000,129000000,119000000,102000000,64000000,41000000,221000000,105000000,118000000,573000000,4.25,,,4295900343
2017-12-31,,167141000000,36516000000,,20094000000,187235000000,17222000000,17222000000,17222000000,17222000000,710,,,,105317000000,71882000000,185000000,1607000000,,7129000000,187235000000,,4650000000,3944000000,5552000000,0,-162000000,,44677000000,762000000,,,1115000000,,,,,,1115000000,32618000000,,13965000000,30712000000,72563000000,-681000000,609000000,8000000,,,145000000,-577000000,,,7129000000,,,89554000000,118029000000,4650000000,,,3944000000,,,,,,4879000000,0,18130000000,1130000000,,-269000000,,,-164000000,,,5107,,122584000000,21029000000,1095000000,,,,,24256338.02817,,,,,,,,,,,,,,8548000000,5103000000,6994000000,3599000000,1647000000,12097000000,5246000000,9075000000,,,,,,,,,4650000000,,31866000000,31866000000,,,,,15.3,18.4,34966000000,128000000,116000000,107000000,98000000,86000000,223000000,184000000,215000000,750000000,3.6,,,4295900343
2018-12-31,,151942000000,32708000000,,20506000000,172448000000,17634000000,17634000000,17634000000,17634000000,710,,,,94407000000,68437000000,158000000,1607000000,,6325000000,172448000000,,4180000000,2536000000,3653000000,0,-148000000,,46049000000,772000000,,,1514000000,,,,,,1514000000,10168000000,,14659000000,31390000000,68978000000,-541000000,619000000,8000000,,,145000000,-614000000,,,6325000000,,,85104000000,110945000000,4180000000,,,2536000000,,,,,,3643000000,0,18136000000,1471000000,,-218000000,,,-159000000,,,4933,,127917000000,25621000000,540000000,,,,,24836619.71831,,,,,,,,,,,,,,5799000000,6934000000,5495000000,1342000000,981000000,12429000000,2323000000,10077000000,,,,,,,,,4180000000,,28528000000,28528000000,,,,,14.6,17.2,30628000000,78000000,123000000,114000000,103000000,91000000,237000000,194000000,181000000,690000000,4.25,,,4295900343
