Date,"Net Income/Starting Line, Cumulative","Cash from Operating Activities, Cumulative","Cash from Investing Activities, Cumulative","Cash from Financing Activities, Cumulative","Net Change in Cash, Cumulative","Depreciation / Depletion, Cumulative","Amortization, Cumulative",Non-Cash Items,"Changes in Working Capital, Cumulative","Capital Expenditures, Cumulative","Total Cash Dividends Paid, Cumulative","Common Stock Issued (Retired), Net","Issuance (Retirement) of Stock, Net, Cumulative","Short Term Debt Issued (Reduced), Net","Long Term Debt Issued (Reduced), Net","Issuance (Retirement) of Debt, Net, Cumulative",Accounts Receivable (CF),"Depreciation (CF), Cumulative",Amortization of Intangibles (CF),Unusual Items (CF),Equity in Net Earnings (Loss) (CF),Other Non-Cash Items,Cash Receipts,Cash Payments,Cash Taxes Paid,"Cash Interest Paid, Supplemental, Cumulative",Net Changes in Working Capital,Loan Loss Provision,Inventories (CF),Prepaid Expenses (CF),Other Assets (CF),Accounts Payable (CF),Payable / Accrued (CF),Other Liabilities (CF),Other Operating Cash Flow,"Investment Securities, Gains/Losses (CF)","Loans, Gains/Losses (CF)","Purchase of Fixed Assets, Cumulative",Purchase/Acquisition of Intangibles,Acquisition of Business,Sale of Business,Sale of Fixed Assets,Sale/Maturity of Investment,"Investment, Net (CF)",Purchase of Investments,Other Investing Cash Flow,"Other Investing Cash Flow Items, Total, Cumulative",Other Financing Cash Flow,Financing Cash Flow Items,Cash Dividends Paid - Common,Sale/Issuance of Common,Repurchase/Retirement of Common,Short Term Debt Reduction,Long Term Debt Issued,Long Term Debt Reduction,Total Debt Issued,"Foreign Exchange Effects, Cumulative",Net Cash - Beginning Balance,Net Cash - Ending Balance,OAPermID
2010-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4296543239
2011-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4296543239
2012-12-31,70000000,-4553000000,85000000,5841000000,1373000000,,,,-4623000000,-2000000,,,,624000000,,5841000000,,,,,,,,,,,-2468000000,,,,,,,,-2155000000,,,-1000000,-1000000,,,,86000000,,0,1000000,87000000,,,,,,-26084000000,,,12337000000,,,,4296543239
2012-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4296543239
2013-12-31,65000000,-122000000,-975000000,1851000000,754000000,2000000,,,-189000000,-2000000,,,,-91000000,,1851000000,,2000000,,,,,,,,,-1569000000,,,,,,,,1380000000,,,0,-2000000,,,,259000000,,-1232000000,,-973000000,,,,,,-30882000000,,,9439000000,,,,4296543239
2013-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4296543239
2014-12-31,85000000,-1898000000,-1983000000,1979000000,-1901000000,,,,-1983000000,-1000000,,,,-1226000000,,1979000000,,,,,,,,,,,-260000000,,,,,,,,-1723000000,,,-1000000,0,,,,2457000000,,-4438000000,-1000000,-1982000000,,,,,,-17655000000,,,12405000000,,,,4296543239
2015-12-31,153000000,2459000000,482000000,3323000000,6264000000,,,,2306000000,-1000000,0,,,4984000000,,3323000000,,,,,,,,,,,-144000000,,,,,,,,2450000000,,,-1000000,0,,,,1774000000,,-1290000000,-1000000,483000000,,,0,,,-28119000000,,,9597000000,,,,4296543239
2015-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4296543239
2016-12-31,149000000,250000000,-41000000,271000000,480000000,,,,101000000,-1000000,,,,-3521000000,,271000000,,,,,,,,,,,722000000,,,,,,,,-621000000,,,-1000000,0,,,,1323000000,,-1362000000,-1000000,-40000000,,,,,,-39599000000,,,11493000000,,,,4296543239
2017-12-31,171000000,-2030000000,207000000,4215000000,2391000000,,,,-2201000000,-1000000,,,,-59000000,,4215000000,,,,,,,,,,,-2467000000,,,,,,,,266000000,,,-1000000,0,,,,777000000,,-569000000,0,208000000,,,,,,-117571000000,,,12453000000,,,,4296543239
2017-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4296543239
