Date,"Net Income/Starting Line, Cumulative","Cash from Operating Activities, Cumulative","Cash from Investing Activities, Cumulative","Cash from Financing Activities, Cumulative","Net Change in Cash, Cumulative","Depreciation / Depletion, Cumulative","Amortization, Cumulative",Non-Cash Items,"Changes in Working Capital, Cumulative","Capital Expenditures, Cumulative","Total Cash Dividends Paid, Cumulative","Common Stock Issued (Retired), Net","Issuance (Retirement) of Stock, Net, Cumulative","Short Term Debt Issued (Reduced), Net","Long Term Debt Issued (Reduced), Net","Issuance (Retirement) of Debt, Net, Cumulative",Accounts Receivable (CF),"Depreciation (CF), Cumulative",Amortization of Intangibles (CF),Unusual Items (CF),Equity in Net Earnings (Loss) (CF),Other Non-Cash Items,Cash Receipts,Cash Payments,Cash Taxes Paid,"Cash Interest Paid, Supplemental, Cumulative",Net Changes in Working Capital,Loan Loss Provision,Inventories (CF),Prepaid Expenses (CF),Other Assets (CF),Accounts Payable (CF),Payable / Accrued (CF),Other Liabilities (CF),Other Operating Cash Flow,"Investment Securities, Gains/Losses (CF)","Loans, Gains/Losses (CF)","Purchase of Fixed Assets, Cumulative",Purchase/Acquisition of Intangibles,Acquisition of Business,Sale of Business,Sale of Fixed Assets,Sale/Maturity of Investment,"Investment, Net (CF)",Purchase of Investments,Other Investing Cash Flow,"Other Investing Cash Flow Items, Total, Cumulative",Other Financing Cash Flow,Financing Cash Flow Items,Cash Dividends Paid - Common,Sale/Issuance of Common,Repurchase/Retirement of Common,Short Term Debt Reduction,Long Term Debt Issued,Long Term Debt Reduction,Total Debt Issued,"Foreign Exchange Effects, Cumulative",Net Cash - Beginning Balance,Net Cash - Ending Balance,OAPermID
2010-12-31,1227000000,-2061000000,-1458000000,3101000000,-418000000,22000000,,-453000000,-2857000000,-15000000,,,,,3098000000,3098000000,,22000000,,,,-453000000,,,,,-3454000000,-104000000,,,-620000000,,,16000000,597000000,-359000000,,-15000000,,,,,7246000000,,-8689000000,,-1443000000,3000000,3000000,,,,,15410000000,-12312000000,,,3232000000,2814000000,8589934160
2011-12-31,173000000,-2000000000,-1039000000,4675000000,1636000000,21000000,,-647000000,-1547000000,-19000000,,,,,4671000000,4671000000,,21000000,,,,-647000000,,,,,-2237000000,73000000,,,-101000000,,,24000000,690000000,468000000,,-19000000,,,,,12435000000,,-13455000000,,-1020000000,4000000,4000000,,,,,15427000000,-10756000000,,,2814000000,4450000000,8589934160
2012-12-31,830000000,-1119000000,-34000000,2595000000,1442000000,25000000,,-832000000,-1142000000,-25000000,,,,,2590000000,2590000000,,25000000,,,,-832000000,,,,,-1936000000,119000000,,,-315000000,,,-1000000,794000000,-400000000,,-25000000,,,,,14497000000,,-14506000000,,-9000000,5000000,5000000,,,,,13631000000,-11041000000,,,4450000000,5892000000,8589934160
2013-12-31,922000000,-1956000000,-1040000000,1251000000,-1745000000,26000000,,-797000000,-2107000000,-29000000,,,,,1249000000,1249000000,,26000000,,-1000000,,-796000000,,,,265000000,-2832000000,136000000,,,-2056000000,,,11000000,725000000,-246000000,,-29000000,,,,3000000,17316000000,,-18330000000,,-1011000000,2000000,2000000,,,,,12182000000,-10933000000,,,5892000000,4147000000,8589934160
2013-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8589934160
2014-12-31,-723000000,1241000000,1062000000,-15000000,2288000000,26000000,,-836000000,2774000000,-26000000,,,,,-15000000,-15000000,,26000000,,,,-836000000,,,,266000000,1936000000,438000000,,,1302000000,,,22000000,838000000,1018000000,,-26000000,,,,0,15764000000,,-14676000000,,1088000000,0,0,,,,,9484000000,-9499000000,,,4147000000,6435000000,8589934160
2014-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8589934160
2015-12-31,442000000,1386000000,346000000,-634000000,1098000000,30000000,,-595000000,1509000000,-61000000,,,,,-634000000,-634000000,,30000000,,2000000,,-597000000,,,,276000000,649000000,-121000000,,,2023000000,,,94000000,860000000,-422000000,,-61000000,,,,,14055000000,,-13648000000,,407000000,,,,,,,15454000000,-16088000000,,,6435000000,7533000000,8589934160
2016-12-31,804000000,-1395000000,2176000000,203000000,984000000,21000000,,-823000000,-1397000000,-43000000,,,,,198000000,198000000,,21000000,,5000000,,-828000000,,,,444000000,-2107000000,60000000,,,-1509000000,,,84000000,710000000,-12000000,,-43000000,,,,,13625000000,,-11406000000,,2219000000,5000000,5000000,,,,,15526000000,-15328000000,,,7533000000,8517000000,8589934160
2016-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8589934160
2017-12-31,592000000,-4039000000,-963000000,2756000000,-2246000000,26000000,,188000000,-4845000000,-19000000,,,,,2752000000,2752000000,,26000000,,253000000,,-65000000,,,,,-4845000000,1000000,,,-3718000000,,,,,-70000000,,-19000000,,,,,16345000000,,-17289000000,,-944000000,4000000,4000000,,,,,22367000000,-19615000000,,,8517000000,6271000000,8589934160
