Date,"Net Income/Starting Line, Cumulative","Cash from Operating Activities, Cumulative","Cash from Investing Activities, Cumulative","Cash from Financing Activities, Cumulative","Net Change in Cash, Cumulative","Depreciation / Depletion, Cumulative","Amortization, Cumulative",Non-Cash Items,"Changes in Working Capital, Cumulative","Capital Expenditures, Cumulative","Total Cash Dividends Paid, Cumulative","Common Stock Issued (Retired), Net","Issuance (Retirement) of Stock, Net, Cumulative","Short Term Debt Issued (Reduced), Net","Long Term Debt Issued (Reduced), Net","Issuance (Retirement) of Debt, Net, Cumulative",Accounts Receivable (CF),"Depreciation (CF), Cumulative",Amortization of Intangibles (CF),Unusual Items (CF),Equity in Net Earnings (Loss) (CF),Other Non-Cash Items,Cash Receipts,Cash Payments,Cash Taxes Paid,"Cash Interest Paid, Supplemental, Cumulative",Net Changes in Working Capital,Loan Loss Provision,Inventories (CF),Prepaid Expenses (CF),Other Assets (CF),Accounts Payable (CF),Payable / Accrued (CF),Other Liabilities (CF),Other Operating Cash Flow,"Investment Securities, Gains/Losses (CF)","Loans, Gains/Losses (CF)","Purchase of Fixed Assets, Cumulative",Purchase/Acquisition of Intangibles,Acquisition of Business,Sale of Business,Sale of Fixed Assets,Sale/Maturity of Investment,"Investment, Net (CF)",Purchase of Investments,Other Investing Cash Flow,"Other Investing Cash Flow Items, Total, Cumulative",Other Financing Cash Flow,Financing Cash Flow Items,Cash Dividends Paid - Common,Sale/Issuance of Common,Repurchase/Retirement of Common,Short Term Debt Reduction,Long Term Debt Issued,Long Term Debt Reduction,Total Debt Issued,"Foreign Exchange Effects, Cumulative",Net Cash - Beginning Balance,Net Cash - Ending Balance,OAPermID
2011-06-30,930000000,8349000000,-8240000000,598000000,731000000,815000000,,146000000,6458000000,,,228000000,228000000,-8841000000,8675000000,-166000000,,815000000,,-1274000000,,1420000000,,,,,6458000000,-45000000,,,-449000000,,,635000000,,6317000000,,,,,,,,,,-312000000,-8240000000,536000000,536000000,,,,,29722000000,-21047000000,,24000000,1581000000,2312000000,8589934570
2011-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8589934570
2012-06-30,-676000000,-205000000,-7848000000,11423000000,3370000000,880000000,,1835000000,-2244000000,,,690000000,690000000,-7659000000,17573000000,9914000000,,880000000,,494000000,,1341000000,,,,,-2244000000,189000000,,,252000000,,,-83000000,0,-2602000000,,,,,,,,,0,-116000000,-7848000000,819000000,819000000,,,,,44351000000,-26778000000,,0,2312000000,5682000000,8589934570
2013-06-30,218000000,1306000000,-9333000000,6893000000,-1127000000,809000000,,-55000000,334000000,,,1016000000,1016000000,8395000000,-4749000000,3646000000,,809000000,,663000000,,-718000000,,,,,279000000,-22000000,,,-71000000,,,-73000000,55000000,445000000,,,,,,,,,-2724000000,-108000000,-9333000000,2231000000,2231000000,,,,,26586000000,-31335000000,,7000000,5682000000,4555000000,8589934570
2013-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8589934570
2014-06-30,-978000000,-8537000000,-6550000000,14029000000,-949000000,766000000,,-3036000000,-5289000000,,,83000000,83000000,-1656000000,15627000000,13971000000,,766000000,,-558000000,,-2478000000,,,,,-5289000000,-60000000,,,744000000,,,386000000,,-6304000000,,,,,,,,,,-124000000,-6550000000,-25000000,-25000000,,,,,50588000000,-35532000000,,109000000,4555000000,3606000000,8589934570
2014-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2484000000,-8000000,,,,,,,,,,,,,,,,8589934570
2015-06-30,-786000000,-5019000000,-10056000000,11886000000,-3295000000,746000000,,2688000000,-7667000000,,,60000000,60000000,-4434000000,17247000000,12813000000,,746000000,,1573000000,,1115000000,,,,,-7667000000,-10000000,,,758000000,,,159000000,,-8574000000,,,,,,,0,11000000,,-126000000,-10056000000,-987000000,-987000000,,,,,58032000000,-41972000000,,-106000000,3606000000,311000000,8589934570
2016-06-30,495000000,-5274000000,-13260000000,19461000000,911000000,668000000,,-1460000000,-4977000000,,,613000000,613000000,-719000000,19540000000,18821000000,,668000000,,-10000000,,-1450000000,,,,,-4977000000,57000000,,,-730000000,,,624000000,,-4928000000,,,,,,,0,21000000,,-153000000,-13260000000,27000000,27000000,,,,,63317000000,-43265000000,,-16000000,311000000,1222000000,8589934570
2016-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,436000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8589934570
2017-06-30,-237000000,-19639000000,-8789000000,27815000000,-609000000,660000000,,1036000000,-21098000000,,,304000000,304000000,6945000000,20561000000,27506000000,,660000000,,883000000,,153000000,,,,1865000000,-21098000000,11000000,,,-25000000,,,349000000,,-21433000000,,,,,,,,35000000,,-146000000,-8789000000,5000000,5000000,,,,,55413000000,-34918000000,,4000000,1222000000,613000000,8589934570
2018-06-30,698000000,97000000,-5729000000,5561000000,-71000000,803000000,,-2243000000,839000000,,,347000000,347000000,-412000000,5633000000,5221000000,,803000000,,-1990000000,,-253000000,,,,2492000000,839000000,-31000000,,,-316000000,,,527000000,,659000000,,,,,,,,41000000,,-181000000,-5729000000,-7000000,-7000000,,,,,36378000000,-29587000000,,0,613000000,542000000,8589934570
2018-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10104000000,,,,,,,8589934570
2019-06-30,505000000,-5606000000,-10129000000,16017000000,276000000,897000000,,1496000000,-8504000000,,,605000000,605000000,-393000000,15806000000,15413000000,,897000000,,1199000000,,297000000,,,,4281000000,-8504000000,50000000,,,-271000000,,,385000000,,-8668000000,,,,,,,,53000000,,-146000000,-10129000000,-1000000,-1000000,,,,-11609000000,53987000000,-36110000000,,-6000000,619000000,895000000,8589934570
2020-06-30,-42000000,1109000000,-10734000000,10617000000,975000000,896000000,,2077000000,-1822000000,,,973000000,973000000,798000000,8844000000,9642000000,,896000000,,532000000,,1545000000,,,,4036000000,-1822000000,18000000,,,-67000000,,,-234000000,,-1539000000,,,,,,,,69000000,,-241000000,-10734000000,2000000,2000000,,,,-23126000000,75055000000,-64982000000,,-17000000,895000000,1870000000,8589934570
