Date,"Net Income/Starting Line, Cumulative","Cash from Operating Activities, Cumulative","Cash from Investing Activities, Cumulative","Cash from Financing Activities, Cumulative","Net Change in Cash, Cumulative","Depreciation / Depletion, Cumulative","Amortization, Cumulative",Non-Cash Items,"Changes in Working Capital, Cumulative","Capital Expenditures, Cumulative","Total Cash Dividends Paid, Cumulative","Common Stock Issued (Retired), Net","Issuance (Retirement) of Stock, Net, Cumulative","Short Term Debt Issued (Reduced), Net","Long Term Debt Issued (Reduced), Net","Issuance (Retirement) of Debt, Net, Cumulative",Accounts Receivable (CF),"Depreciation (CF), Cumulative",Amortization of Intangibles (CF),Unusual Items (CF),Equity in Net Earnings (Loss) (CF),Other Non-Cash Items,Cash Receipts,Cash Payments,Cash Taxes Paid,"Cash Interest Paid, Supplemental, Cumulative",Net Changes in Working Capital,Loan Loss Provision,Inventories (CF),Prepaid Expenses (CF),Other Assets (CF),Accounts Payable (CF),Payable / Accrued (CF),Other Liabilities (CF),Other Operating Cash Flow,"Investment Securities, Gains/Losses (CF)","Loans, Gains/Losses (CF)","Purchase of Fixed Assets, Cumulative",Purchase/Acquisition of Intangibles,Acquisition of Business,Sale of Business,Sale of Fixed Assets,Sale/Maturity of Investment,"Investment, Net (CF)",Purchase of Investments,Other Investing Cash Flow,"Other Investing Cash Flow Items, Total, Cumulative",Other Financing Cash Flow,Financing Cash Flow Items,Cash Dividends Paid - Common,Sale/Issuance of Common,Repurchase/Retirement of Common,Short Term Debt Reduction,Long Term Debt Issued,Long Term Debt Reduction,Total Debt Issued,"Foreign Exchange Effects, Cumulative",Net Cash - Beginning Balance,Net Cash - Ending Balance,OAPermID
2010-12-31,,-320226000,-578884000,-284888000,-1188674000,,,,-284051000,-73000,-284888000,,,,,,,,,,,,,,-1465000,-34710000,-615703000,,,,-138110000,,,-240470000,331652000,,-246881000,-73000,,,,,537759000,,-1116570000,,-578811000,0,0,-284888000,,,,,,,-4676000,2049145000,860471000,4297147213
2011-12-31,,-1460798000,381889000,744924000,-193558000,,,,-1424502000,-2795000,-207408000,,,,,952332000,,,,,,,,,-972000,-35324000,-1567197000,,,,-54144000,,,2978676000,142695000,,-4523940000,-2795000,,,,,639199000,,-254515000,,384684000,0,0,-207408000,,,,,,952332000,140427000,860471000,666913000,4297147213
2012-12-31,,-666654000,191556000,1064781000,547644000,,,,-500637000,-12275000,-199735000,,,,,1264516000,,,,,,,,,-1740000,-164277000,-949434000,,,,-151244000,,,4480264000,448797000,,-5299591000,-12275000,,,,,294577000,,-89519000,-1227000,203831000,,,-199735000,,,,,,1264516000,-42039000,666913000,1214557000,4297147213
2013-12-31,,-320514000,75468000,-47461000,-195232000,,,,-123722000,-6394000,-16961000,,,,,-30500000,,,,,,,,,-841000,-195951000,-763526000,,,,110675000,,,8777812000,639804000,,-9676712000,-6394000,,,,20503000,161732000,,-100026000,-347000,81862000,,,-16961000,,,,,,0,97275000,1214557000,1019325000,4297147213
2014-12-31,,-982287000,-2998000,1004981000,46606000,,,,-665440000,-1388000,-17946000,,,,,1022927000,,,,,,,,,-774000,-316073000,-1800180000,,,,73624000,,,6937071000,1134740000,,-8842226000,-1388000,,,,167000,1961000,,-1961000,-1777000,-1610000,,,-17946000,,,,,,1058200000,26910000,1019325000,1065931000,4297147213
2015-12-31,,-899161000,49293000,-60096000,-900302000,,,,-431760000,-1641000,-21350000,,,,,-38746000,,,,,,,,,-926000,-466475000,-3702629000,,,,-380804000,,,7875099000,3270869000,,-11238757000,-1641000,,,,7402000,204489000,,-160054000,-903000,50934000,,,-21350000,,,,,,0,9662000,1065931000,165629000,4297147213
2016-12-31,,904495000,155280000,1487164000,3091570000,,,,1652320000,-1591000,-3671000,,,,,1490835000,,,,,,,,,-2632000,-745193000,-2160945000,,,,-1987462000,,,18161581000,3813265000,,-18389918000,-1591000,,,,3454000,172196000,,-18250000,-529000,156871000,,,-3671000,,,,,,1539386000,544631000,165629000,3257199000,4297147213
2017-12-31,,-1214874000,-79686000,1218287000,289085000,,,,-460769000,-1729000,-3160000,,,,,1221447000,,,,,,,,,-25299000,-728806000,-2938198000,,,,-115899000,,,7918238000,2477429000,,-10747602000,-1729000,,,,778000,164403000,,-238756000,-4382000,-77957000,,,-3160000,,,,,,1716276000,365358000,3257199000,3546284000,4297147213
2017-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4297147213
2018-12-31,,-2551924000,-2982434000,5159435000,687649000,,,,-964731000,,-4263000,,,,,4163698000,,,,,,,,,-132051000,-1455142000,-5858234000,,,,-261430000,,,33336158000,4893503000,,-38981217000,,,,,,220654000,,-3200850000,-2238000,-2982434000,1000000000,1000000000,-4263000,,,,,,4988558000,1062572000,3546284000,4233933000,4297147213
2019-12-31,,9988909000,-3765370000,-1885505000,5754385000,,,,12241743000,,-6313000,,,,-8190000,-1879192000,,,,,,,,,-196212000,-2056622000,6677167000,,,,144918000,,,19654977000,5564576000,,-13475985000,,,,,,271646000,,-4035485000,-1531000,-3765370000,0,0,-6313000,,,,,-8190000,3873329000,1416351000,4233933000,9988318000,4297147213
2020-12-31,,1322563000,-2444985000,-851423000,1681738000,,,,3621550000,,0,,,,-9050000,-1601423000,,,,,,,,,-218329000,-2080658000,-2815654000,,,,-1198790000,,,33798127000,6437204000,-109077000,-35670373000,,,,,,0,,-2440419000,-4566000,-2444985000,750000000,750000000,0,,,,,-9050000,0,3655583000,9988318000,11670056000,4297147213
2021-12-31,,-5389874000,6256975000,1062039000,7808788000,,,,-3092263000,,,,,,-10384000,962039000,,,,,,,,,-269219000,-2028392000,-8969920000,,,,-375362000,,,99952912000,5877657000,36649000,-108635229000,,,-73000000,,,6424023000,146505000,-235491000,-5062000,6256975000,100000000,100000000,,,,,,-10384000,6466621000,5879648000,11670056000,19478844000,4297147213
