BondID,PermID,ISIN,IssuePrice,IssueDate,AssetStatusDescription,CouponFrequency,CouponRate,DenominationMinimum,FaceIssuedTotal,FaceIssuedUSD,FaceOutstanding,FaceOutstandingDate,FaceOutstandingUSD,MoodysRatingDate,IssuerOAPermID,RIC,Maturity
232769000000.0,4295884895,XS2289551595,100.0,20/01/2021,Issued,1.0,2.22,1000000.0,40000000.0,40000000,40000000.0,20/01/2021,40000000,20/01/2021,4295884895,NL228955159=,20/01/2036
232769000000.0,4297220581,XS2185414534,100.0,19/01/2021,Issued,1.0,2.28,1000000.0,40000000.0,40000000,40000000.0,19/01/2021,40000000,19/01/2021,4297220581,FR218541453=,19/01/2036
232769000000.0,8589934158,XS2294328005,100.0,08/02/2021,Issued,1.0,1.5,200000.0,50000000.0,50000000,50000000.0,08/02/2021,50000000,08/02/2021,8589934158,XS229432800=,15/01/2036
232768000000.0,5000039357,XS1957220640,100.0,06/01/2021,Issued,1.0,2.12,100000.0,40000000.0,40000000,40000000.0,06/01/2021,40000000,06/01/2021,5000039357,FR195722064=,06/01/2036
232768000000.0,4297220581,XS2185413304,100.0,18/12/2020,Issued,1.0,2.1,1000000.0,40000000.0,40000000,40000000.0,18/12/2020,40000000,18/12/2020,4297220581,FR218541330=,18/12/2035
232767000000.0,4295866679,XS2267885577,100.0,04/12/2020,Issued,1.0,2.07,10000000.0,40000000.0,40000000,40000000.0,04/12/2020,40000000,04/12/2020,4295866679,FR226788557=,04/12/2035
232767000000.0,8589934570,XS2260719542,100.0,03/12/2020,Issued,1.0,1.6,1000000.0,48000000.0,48000000,48000000.0,03/12/2020,48000000,27/01/2022,8589934570,XS226071954=,03/12/2035
232767000000.0,5000039357,XS1957220301,100.0,02/12/2020,Issued,1.0,2.05,100000.0,40000000.0,40000000,40000000.0,02/12/2020,40000000,02/12/2020,5000039357,FR195722030=,02/12/2035
232766000000.0,4295866679,XS2250423493,100.0,29/10/2020,Issued,1.0,2.16,10000000.0,40000000.0,40000000,40000000.0,29/10/2020,40000000,29/10/2020,4295866679,FR225042349=,29/10/2035
232766000000.0,5000021791,XS1450869901,100.0,28/10/2020,Issued,1.0,2.2,40000000.0,40000000.0,40000000,40000000.0,28/10/2020,40000000,28/10/2020,5000021791,US145086990=,28/10/2035
232766000000.0,5000021791,XS1450878647,100.0,22/10/2020,Issued,1.0,2.15,40000000.0,40000000.0,40000000,40000000.0,22/10/2020,40000000,22/10/2020,5000021791,US145087864=,22/10/2035
232766000000.0,4297220581,XS1996646540,100.0,22/10/2020,Issued,1.0,2.105,1000000.0,40000000.0,40000000,40000000.0,22/10/2020,40000000,22/10/2020,4297220581,FR199664654=,22/10/2035
232766000000.0,5000039357,XS1957217851,100.0,14/10/2020,Issued,1.0,2.19,100000.0,40000000.0,40000000,40000000.0,14/10/2020,40000000,14/10/2020,5000039357,FR195721785=,14/10/2035
232763000000.0,8589934175,XS2200524861,100.0,10/07/2020,Issued,1.0,2.52,1000000.0,40000000.0,40000000,40000000.0,10/07/2020,40000000,10/07/2020,8589934175,US220052486=,10/07/2035
232762000000.0,4297420314,XS2198404209,100.0,02/07/2020,Issued,1.0,2.77,125000.0,40000000.0,40000000,40000000.0,02/07/2020,40000000,15/09/2020,4297420314,ES219840420=,02/07/2035
192896000000.0,4296540146,XS2188775832,100.0,25/06/2020,Issued,1.0,4.67,5000000.0,100000000.0,100000000,100000000.0,25/06/2020,100000000,25/06/2020,4296540146,JP218877583=,25/06/2035
192896000000.0,4296540146,XS2188777531,100.0,25/06/2020,Issued,1.0,4.67,5000000.0,100000000.0,100000000,100000000.0,25/06/2020,100000000,25/06/2020,4296540146,JP218877753=,25/06/2035
192893000000.0,4296540146,XS2179955740,100.0,04/06/2020,Issued,1.0,4.2,5000000.0,100000000.0,100000000,100000000.0,04/06/2020,100000000,04/06/2020,4296540146,JP217995574=,04/06/2035
192894000000.0,4296470941,XS2124645891,100.0,02/06/2020,Issued,1.0,2.82,1000000.0,40000000.0,40000000,40000000.0,02/06/2020,40000000,02/06/2020,4296470941,GB212464589=,02/06/2035
192892000000.0,4296540146,XS2176553746,100.0,26/05/2020,Issued,1.0,5.15,5000000.0,100000000.0,100000000,100000000.0,26/05/2020,100000000,26/05/2020,4296540146,JP217655374=,28/05/2035
192893000000.0,8589934175,XS2176891989,100.0,19/05/2020,Issued,1.0,3.03,1000000.0,40000000.0,40000000,40000000.0,19/05/2020,40000000,16/02/2022,8589934175,US217689198=,21/05/2035
192882000000.0,5000039357,XS2112575639,100.0,21/02/2020,Issued,1.0,2.92,1000000.0,70000000.0,70000000,70000000.0,21/02/2020,70000000,06/03/2020,5000039357,FR211257563=,21/02/2035
15629389957.0,8589934570,US45905CAA27,98.957,09/02/2005,Issued,2.0,4.75,1000.0,750000000.0,750000000,363419000.0,25/03/2020,363419000,27/01/2022,8589934570,XS021228214=,15/02/2035
192881000000.0,4295866679,XS2117483110,100.0,13/02/2020,Issued,1.0,3.02,10000000.0,40000000.0,40000000,40000000.0,13/02/2020,40000000,13/02/2020,4295866679,FR211748311=,13/02/2035
192880000000.0,8589934159,XS2113936376,100.0,07/02/2020,Issued,1.0,2.4,1000000.0,300000000.0,300000000,300000000.0,07/02/2020,300000000,30/06/2023,8589934159,XS211393637=,07/02/2035
15629389194.0,8589934175,US949746JM44,99.882,07/02/2005,Issued,2.0,5.375,5000.0,750000000.0,750000000,470032000.0,26/01/2021,470032000,16/02/2022,8589934175,949746JM4=,07/02/2035
192853000000.0,4296537663,XS2035558571,,01/08/2019,Issued,2.0,2.25,200000.0,50000000.0,50000000,50000000.0,01/08/2019,50000000,01/08/2019,4296537663,XS203555857=,01/08/2034
232809000000.0,4295862904,XS2633099440,100.0,08/06/2023,Issued,2.0,1.0,500000.0,64000000.0,64000000,64000000.0,08/06/2023,64000000,08/06/2023,4295862904,CA263309944=,08/06/2034
15629291954.0,8589934339,US59018YTM39,100.0,21/05/2004,Issued,2.0,6.05,1000.0,100000000.0,100000000,19498000.0,08/01/2018,19498000,03/05/2023,8589934339,59018YTM3=,01/06/2034
192828000000.0,5000084509,FR0013399268,100.0,31/01/2019,Issued,2.0,4.182,200000.0,10000000.0,10000000,10000000.0,31/01/2019,10000000,31/01/2019,5000084509,FR0013399268=,31/01/2034
192821000000.0,4295884647,XS1920031645,100.0,12/12/2018,Issued,2.0,1.0,200000.0,100000000.0,100000000,100000000.0,12/12/2018,100000000,12/12/2018,4295884647,NL192003164=,12/12/2033
232812000000.0,4295868960,US500769JY19,99.49,18/07/2023,Issued,2.0,4.125,1000.0,4000000000.0,4000000000,4000000000.0,18/07/2023,4000000000,14/07/2023,4295868960,500769JY1=,15/07/2033
232811000000.0,4295878766,US86562MDD92,100.0,13/07/2023,Issued,2.0,5.776,200000.0,650000000.0,650000000,650000000.0,13/07/2023,650000000,07/07/2023,4295878766,86562MDD9=,13/07/2033
232810000000.0,4297220581,XS2395329936,100.0,06/07/2023,Issued,1.0,5.82,1000000.0,50000000.0,50000000,50000000.0,06/07/2023,50000000,06/07/2023,4297220581,FR239532993=,06/07/2033
232808000000.0,5038044443,XS2625084988,100.0,14/06/2023,Issued,1.0,5.3,1000000.0,40000000.0,40000000,40000000.0,14/06/2023,40000000,14/06/2023,5038044443,US262508498=,14/06/2033
232808000000.0,5038044443,XS2625085449,100.0,12/06/2023,Issued,1.0,5.6,1000000.0,60000000.0,60000000,60000000.0,12/06/2023,60000000,12/06/2023,5038044443,US262508544=,12/06/2033
232777000000.0,5000021791,US48130CAX39,100.0,30/05/2023,Issued,2.0,5.25,1000.0,59991300.0,59991300,59991300.0,30/05/2023,59991300,15/05/2023,5000021791,48130CAX3=,30/05/2033
232807000000.0,5000018341,US06237MAA18,99.763,22/05/2023,Issued,2.0,5.375,200000.0,1750000000.0,1750000000,1750000000.0,22/05/2023,1750000000,16/05/2023,5000018341,06237MAA1=,22/05/2033
232807000000.0,5000018341,XS2625207571,99.763,22/05/2023,Issued,2.0,5.375,200000.0,1750000000.0,1750000000,1750000000.0,22/05/2023,1750000000,16/05/2023,5000018341,PL262520757=,22/05/2033
232806000000.0,4297220581,XS2395318228,100.0,11/05/2023,Issued,1.0,5.5,1000000.0,70000000.0,70000000,70000000.0,11/05/2023,70000000,11/05/2023,4297220581,FR239531822=,11/05/2033
232806000000.0,4297220581,XS2395319895,100.0,11/05/2023,Issued,1.0,5.08,1000000.0,31000000.0,31000000,31000000.0,11/05/2023,31000000,11/05/2023,4297220581,FR239531989=,11/05/2033
232784000000.0,8589934570,US45906M4A62,100.0,05/05/2023,Issued,1.0,5.55,10000.0,150000000.0,150000000,150000000.0,05/05/2023,150000000,04/05/2023,8589934570,45906M4A6=,05/05/2033
232806000000.0,4297220581,XS2395318491,100.0,04/05/2023,Issued,1.0,5.45,1000000.0,50000000.0,50000000,50000000.0,04/05/2023,50000000,01/06/2023,4297220581,FR239531849=,04/05/2033
232806000000.0,8589934213,US78016HZQ63,99.789,27/04/2023,Issued,2.0,5.0,2000.0,900000000.0,900000000,900000000.0,27/04/2023,900000000,27/04/2023,8589934213,78016HZQ6=,02/05/2033
232786000000.0,8589934213,US78014RMJ67,100.0,28/04/2023,Issued,2.0,5.5,1000.0,30350000.0,30350000,30350000.0,28/04/2023,30350000,17/04/2023,8589934213,78014RMJ6=,28/04/2033
232784000000.0,8589934158,US4581X0EJ31,99.191,12/04/2023,Issued,2.0,3.5,1000.0,2250000000.0,2250000000,2250000000.0,12/04/2023,2250000000,06/04/2023,8589934158,4581X0EJ3=,12/04/2033
