year,month,EWMA,PermID
2011.0,7.0,7.430714285714286,5060588378
2011.0,8.0,6.6877743271221535,5060588378
2011.0,9.0,6.244240945390014,5060588378
2011.0,10.0,6.287820377689943,5060588378
2011.0,11.0,6.053637426154958,5060588378
2011.0,12.0,5.928107304933392,5060588378
2012.0,1.0,6.1091585918361,5060588378
2012.0,2.0,6.579989909323413,5060588378
2012.0,3.0,6.852572797660945,5060588378
2012.0,4.0,6.647533533595211,5060588378
2012.0,5.0,6.401741989490448,5060588378
2012.0,6.0,6.353484213061526,5060588378
2012.0,7.0,6.753609131722805,5060588378
2012.0,8.0,7.197049022588777,5060588378
2012.0,9.0,7.39515555702603,5060588378
2012.0,10.0,7.339316056904645,5060588378
2012.0,11.0,7.142383798705701,5060588378
2012.0,12.0,7.129473100102444,5060588378
2013.0,1.0,7.379282481070257,5060588378
2013.0,2.0,7.994266827029904,5060588378
2013.0,3.0,8.480508645373119,5060588378
2013.0,4.0,8.647278171971323,5060588378
2013.0,5.0,9.0239962737511,5060588378
2013.0,6.0,8.965287607060452,5060588378
2013.0,7.0,9.070578589276838,5060588378
2013.0,8.0,9.260743842926647,5060588378
2013.0,9.0,9.172871920808626,5060588378
2013.0,10.0,9.152522916850248,5060588378
2013.0,11.0,9.206499553763756,5060588378
2013.0,12.0,9.213249776888166,5060588378
2014.0,1.0,9.640672507690736,5060588378
2014.0,2.0,9.850836253894302,5060588378
2014.0,3.0,10.034465746016147,5060588378
2014.0,4.0,10.10160787301198,5060588378
2014.0,5.0,10.283053936511273,5060588378
2014.0,6.0,10.490026968258649,5060588378
2014.0,7.0,10.367187397171907,5060588378
2014.0,8.0,10.125141317632693,5060588378
2014.0,9.0,10.050297931543485,5060588378
2014.0,10.0,9.931888096206416,5060588378
2014.0,11.0,9.95419404810322,5060588378
2014.0,12.0,9.83643912931474,5060588378
2015.0,1.0,9.864094564657371,5060588378
2015.0,2.0,10.707047282328736,5060588378
2015.0,3.0,11.30966000480075,5060588378
2015.0,4.0,11.502330002400376,5060588378
2015.0,5.0,11.590112369621242,5060588378
2015.0,6.0,11.576960946715383,5060588378
2015.0,7.0,11.486741342922908,5060588378
2015.0,8.0,11.158489719080505,5060588378
2015.0,9.0,10.736858495903888,5060588378
2015.0,10.0,10.539565611588309,5060588378
2015.0,11.0,10.408116139127488,5060588378
2015.0,12.0,10.213808069563743,5060588378
2016.0,1.0,9.848614561097662,5060588378
2016.0,2.0,9.339545375786926,5060588378
2016.0,3.0,9.248225068845844,5060588378
2016.0,4.0,8.863874439184826,5060588378
2016.0,5.0,8.62408007673527,5060588378
2016.0,6.0,8.395135276462874,5060588378
2016.0,7.0,8.035305733469531,5060588378
2016.0,8.0,8.116783301517374,5060588378
2016.0,9.0,8.47805074166778,5060588378
2016.0,10.0,8.925930132738651,5060588378
2016.0,11.0,9.31501052091478,5060588378
2016.0,12.0,9.872005260457389,5060588378
2017.0,1.0,10.32266929689536,5060588378
2017.0,2.0,10.825084648447682,5060588378
2017.0,3.0,10.874281454658624,5060588378
2017.0,4.0,10.7960296162182,5060588378
2017.0,5.0,11.191110046204336,5060588378
2017.0,6.0,11.256507404054547,5060588378
2017.0,7.0,11.262777511551084,5060588378
2017.0,8.0,11.0807365818625,5060588378
2017.0,9.0,11.0627492433122,5060588378
2017.0,10.0,11.14205643983792,5060588378
2017.0,11.0,10.593073674464414,5060588378
2017.0,12.0,10.328759059454429,5060588378
2018.0,1.0,10.275515893363576,5060588378
2018.0,2.0,9.890757946681788,5060588378
2018.0,3.0,9.472998020959942,5060588378
2018.0,4.0,8.94399901047997,5060588378
2018.0,5.0,8.739499505239985,5060588378
2018.0,6.0,8.519999752619992,5060588378
2018.0,7.0,8.565568058128179,5060588378
2018.0,8.0,8.791914463846698,5060588378
2018.0,9.0,9.02695723192335,5060588378
2018.0,10.0,8.679630789874718,5060588378
2018.0,11.0,8.285769940391905,5060588378
2018.0,12.0,7.936259970195953,5060588378
2019.0,1.0,7.892357257825249,5060588378
2019.0,2.0,7.926078628912624,5060588378
2019.0,3.0,7.879944076361074,5060588378
2019.0,4.0,7.595372038180537,5060588378
2019.0,5.0,7.16411459051884,5060588378
2019.0,6.0,6.810636242627841,5060588378
2019.0,7.0,6.594252903922616,5060588378
2019.0,8.0,6.096967361052217,5060588378
2019.0,9.0,6.2002455852880125,5060588378
2019.0,10.0,6.325927140470093,5060588378
2019.0,11.0,6.477011189282665,5060588378
2019.0,12.0,6.663799712288392,5060588378
2020.0,1.0,6.954709379953719,5060588378
2020.0,2.0,7.388004689976859,5060588378
2020.0,3.0,6.473331890442974,5060588378
2020.0,4.0,5.821853445221487,5060588378
2020.0,5.0,5.72061093313706,5060588378
2020.0,6.0,6.084900704663768,5060588378
2020.0,7.0,6.339776439288405,5060588378
2020.0,8.0,6.543626314882298,5060588378
2020.0,9.0,6.560381339259331,5060588378
2020.0,10.0,6.620304305993303,5060588378
2020.0,11.0,6.888080724425223,5060588378
2020.0,12.0,6.934365362212612,5060588378
2021.0,1.0,6.914577417948411,5060588378
2021.0,2.0,7.075213708974206,5060588378
2021.0,3.0,7.6266720718784065,5060588378
2021.0,4.0,8.075061035939203,5060588378
2021.0,5.0,8.352130517969602,5060588378
2021.0,6.0,8.811922401841944,5060588378
2021.0,7.0,9.1954839281937,5060588378
2021.0,8.0,9.636014691369578,5060588378
2021.0,9.0,10.137961891139334,5060588378
2021.0,10.0,10.417790469379192,5060588378
2021.0,11.0,10.62084978014414,5060588378
2021.0,12.0,10.56082489007207,5060588378
