PermID,RatingRank,Month,Year
4298208230,4.75,7,2011
4298208230,4.75,8,2011
4298208230,4.75,9,2011
4298208230,4.75,10,2011
4298208230,4.75,11,2011
4298208230,4.75,12,2011
4298208230,4.75,1,2012
4298208230,4.75,2,2012
4298208230,4.75,3,2012
4298208230,4.75,4,2012
4298208230,4.75,5,2012
4298208230,4.75,6,2012
4298208230,4.75,7,2012
4298208230,4.75,8,2012
4298208230,4.75,9,2012
4298208230,4.75,10,2012
4298208230,4.75,11,2012
4298208230,4.75,12,2012
4298208230,4.75,1,2013
4298208230,6.0,2,2013
4298208230,6.0,3,2013
4298208230,6.0,4,2013
4298208230,6.0,5,2013
4298208230,6.0,6,2013
4298208230,6.0,7,2013
4298208230,6.0,8,2013
4298208230,6.0,9,2013
4298208230,6.0,10,2013
4298208230,6.0,11,2013
4298208230,6.0,12,2013
4298208230,6.0,1,2014
4298208230,6.0,2,2014
4298208230,6.0,3,2014
4298208230,6.0,4,2014
4298208230,6.0,5,2014
4298208230,6.0,6,2014
4298208230,6.0,7,2014
4298208230,6.0,8,2014
4298208230,6.0,9,2014
4298208230,6.0,10,2014
4298208230,6.0,11,2014
4298208230,6.0,12,2014
4298208230,6.0,1,2015
4298208230,6.0,2,2015
4298208230,6.0,3,2015
4298208230,6.0,4,2015
4298208230,5.125,5,2015
4298208230,5.125,6,2015
4298208230,5.125,7,2015
4298208230,5.125,8,2015
4298208230,5.125,9,2015
4298208230,5.125,10,2015
4298208230,5.125,11,2015
4298208230,5.125,12,2015
4298208230,5.125,1,2016
4298208230,5.125,2,2016
4298208230,5.125,3,2016
4298208230,5.125,4,2016
4298208230,5.125,5,2016
4298208230,5.125,6,2016
4298208230,5.125,7,2016
4298208230,5.125,8,2016
4298208230,5.125,9,2016
4298208230,5.125,10,2016
4298208230,5.125,11,2016
4298208230,5.125,12,2016
4298208230,4.625,1,2017
4298208230,4.625,2,2017
4298208230,4.625,3,2017
4298208230,4.625,4,2017
4298208230,4.625,5,2017
4298208230,4.625,6,2017
4298208230,4.625,7,2017
4298208230,4.625,8,2017
4298208230,4.625,9,2017
4298208230,4.625,10,2017
4298208230,4.625,11,2017
4298208230,4.625,12,2017
4298208230,4.625,1,2018
4298208230,4.625,2,2018
4298208230,4.625,3,2018
4298208230,4.625,4,2018
4298208230,4.625,5,2018
4298208230,4.3,6,2018
4298208230,4.3,7,2018
4298208230,4.3,8,2018
4298208230,4.3,9,2018
4298208230,4.3,10,2018
4298208230,4.3,11,2018
4298208230,4.3,12,2018
4298208230,4.3,1,2019
4298208230,4.3,2,2019
4298208230,4.3,3,2019
4298208230,4.3,4,2019
4298208230,4.3,5,2019
4298208230,4.3,6,2019
4298208230,4.3,7,2019
4298208230,4.3,8,2019
4298208230,4.3,9,2019
4298208230,4.3,10,2019
4298208230,4.3,11,2019
4298208230,4.3,12,2019
4298208230,4.3,1,2020
4298208230,4.3,2,2020
4298208230,4.8,3,2020
4298208230,4.8,4,2020
4298208230,4.8,5,2020
4298208230,4.8,6,2020
4298208230,4.8,7,2020
4298208230,4.8,8,2020
4298208230,4.8,9,2020
4298208230,4.8,10,2020
4298208230,4.8,11,2020
4298208230,4.8,12,2020
4298208230,4.8,1,2021
4298208230,4.8,2,2021
4298208230,4.8,3,2021
4298208230,4.8,4,2021
4298208230,4.8,5,2021
4298208230,4.8,6,2021
4298208230,4.8,7,2021
4298208230,4.8,8,2021
4298208230,4.8,9,2021
4298208230,4.8,10,2021
4298208230,4.8,11,2021
4298208230,4.8,12,2021
4298208230,4.8,1,2022
4298208230,4.8,2,2022
4298208230,4.8,3,2022
4298208230,4.8,4,2022
4298208230,4.8,5,2022
4298208230,4.8,6,2022
4298208230,4.8,7,2022
4298208230,4.8,8,2022
4298208230,4.8,9,2022
4298208230,4.8,10,2022
4298208230,4.8,11,2022
4298208230,4.8,12,2022
4298208230,4.8,1,2023
4298208230,4.8,2,2023
4298208230,4.8,3,2023
4298208230,4.8,4,2023
4298208230,4.8,5,2023
4298208230,4.8,6,2023
4298208230,4.8,7,2023
4296540146,4.5,7,2011
4296540146,4.5,8,2011
4296540146,4.5,9,2011
4296540146,4.5,10,2011
4296540146,4.5,11,2011
4296540146,4.5,12,2011
4296540146,4.5,1,2012
4296540146,4.5,2,2012
4296540146,4.5,3,2012
4296540146,4.5,4,2012
4296540146,4.5,5,2012
4296540146,4.5,6,2012
4296540146,4.5,7,2012
4296540146,4.5,8,2012
4296540146,4.5,9,2012
4296540146,4.5,10,2012
4296540146,4.5,11,2012
4296540146,4.5,12,2012
4296540146,4.5,1,2013
4296540146,4.5,2,2013
4296540146,4.5,3,2013
4296540146,4.5,4,2013
4296540146,4.5,5,2013
4296540146,4.5,6,2013
4296540146,4.5,7,2013
4296540146,4.5,8,2013
4296540146,4.5,9,2013
4296540146,4.5,10,2013
4296540146,4.5,11,2013
4296540146,4.5,12,2013
4296540146,4.5,1,2014
4296540146,4.5,2,2014
4296540146,4.5,3,2014
4296540146,4.5,4,2014
4296540146,4.5,5,2014
4296540146,4.5,6,2014
4296540146,4.5,7,2014
4296540146,4.5,8,2014
4296540146,4.5,9,2014
4296540146,4.5,10,2014
4296540146,4.5,11,2014
4296540146,4.5,12,2014
4296540146,4.5,1,2015
4296540146,4.5,2,2015
4296540146,4.5,3,2015
4296540146,4.5,4,2015
4296540146,4.5,5,2015
4296540146,4.5,6,2015
4296540146,4.5,7,2015
4296540146,4.5,8,2015
4296540146,4.5,9,2015
4296540146,4.5,10,2015
4296540146,4.5,11,2015
