CommonName,PrimaryRIC,OAPermID,CountryHeadquarters,Ticker,PrimaryRICExchangeCode,PrimaryRICTickerSymbol,IsPublic,BondsCount
HSBC USA Inc,HUSI_pf.K^F16,4295900343,USA,HSBAOH,NYQ,HUSI PR F CL,False,2679
UniCredit Bank AG,HVMG.DE^I08,5000048673,DEU,UCGUNI,GER,HVM,False,887
Scotiabank Chile,SCOTIAOSA.SN^E20,5000038955,CHL,SCOTX,SGO,,False,818
Credit Industriel et Commercial SA,CC.PA^H17,4295866679,FRA,CAFDMC,PAR,CC,False,785
Australia and New Zealand Banking Group Ltd,AN3PF.AX^C23,4295856605,AUS,ANZ,ASX,AN3PF,False,657
First-Citizens Bank & Trust Co,CIT^A22,4296462551,USA,FCNCFI,NYQ,,False,200
OP Yrityspankki Oyj,POH1S.HE^J14,4295866371,FIN,OPOSUY,HEX,POH1S,False,174
KEB Hana Bank,004940.KS^D13,4295882085,KOR,KEBHN,KSC,4940,False,140
Woori Bank,000030.KS^B19,5000039820,KOR,WRFGRB,KSC,000030,False,107
Sumitomo Mitsui Trust Bank Ltd,8403.T^C11,4295878061,JPN,MITBKA,TYO,8403,False,103
Daegu Bank Ltd,DGGPF.PK^G11,4295880962,KOR,DGBFNB,PNK,DGGPF,False,26
Banco Santander Mexico SA Institucion de Banca Multiple Grupo Financiero Santand,BSMXB.MX^E23,4298283335,MEX,BSMXB,MEX,BSMXB,False,25
Santander Holdings USA Inc,SOV_pc^H18,5000001412,USA,SANRG,NYQ,,False,14
Deutsche Bank Ag (London Branch),DZZ,4296555278,GBR,DBKGUK,PCQ,DZZ,True,1922
Banco Inbursa SA Institucion de Banca Multiple Grupo Financiero Inbursa,FNAIM18.MX^D19,4296721032,MEX,GFINBI,MEX,FNAIM18,False,6
BNP Paribas Issuance BV,,4296858866,NLD,BNPPAI,,,False,25451
HSBC Bank PLC,MDBL.L^I92,4295895566,GBR,HSBCU,LSE,,False,13210
Jpmorgan Chase Financial Company LLC,,5050707760,USA,JPMFIN,,,False,12364
Barclays Bank PLC,,4296470941,GBR,BARCR,,,True,11857
Credit Suisse Ag London Branch,,4296785143,GBR,CSGNLN,,,False,8169
JPMorgan Chase Bank NA,,4296044915,USA,JPMBK,,,False,5843
Synchrony Bank,,5000601425,USA,SYFSY,,,False,2475
International Bank for Reconstruction and Development,,8589934570,USA,IBRD,,,,2072
Standard Chartered Bank,,4296126537,GBR,STANHB,,,False,2028
Bofa Finance LLC,,5051775086,USA,BACBON,,,False,1962
Credit Agricole Corporate and Investment Bank SA,INDOp.PA^F04,4297220581,FRA,CAGRAB,,,False,1329
Banco del Estado de Chile,,4296395040,CHL,BAESC,,,,1287
Royal Bank of Canada (London branch),,5000731377,GBR,RYAAA,,,False,1266
International Finance Corp,IFK^L10,4296537663,USA,IFC,PCQ,IFK,False,1245
ING Bank NV,INGs.AS^I99,4295884895,NLD,INGABK,AEX,,False,1059
KfW,,4295868960,DEU,KFW,,,,1023
Morgan Stanley Bank NA,,4296783400,USA,MSDWT,,,False,986
Merrill Lynch BV,,5038044443,NLD,BACME,,,False,952
Korea Development Bank,,4296424232,KOR,KDB,,,,801
European Investment Bank,,8589934159,LUX,EIB,,,,752
Inter-American Development Bank,,8589934158,USA,IADB,,,,710
European Bank for Reconstruction and Development,,8589934160,GBR,EBRD,,,,676
Bpce SA,,5000084509,FRA,BPCE,,,False,664
Discover Bank,,4296730072,USA,DFSDI,,,False,659
Nederlandse Waterschapsbank NV,,4296543239,NLD,NDLWR,,,,609
Cooperatieve Rabobank UA,,4298009762,NLD,RABO,,,False,599
Wells Fargo Bank NA,,4297085623,USA,WFCHLL,,,False,562
Citibank NA,CKYKP.PK^C06,5000035789,USA,CITCRB,PNK,,False,541
Nomura Bank International PLC,,4296540146,GBR,NMHLDC,,,False,536
NRW Bank,,4296865322,DEU,NRWBK,,,,447
Banque Internationale a Luxembourg SA,LU0006040975.BR,4295883019,LUX,LUOOO,BRU,,True,443
Banque Federative du Credit Mutuel SA,,4296063555,FRA,CAFDDC,,,False,417
Bng Bank NV,,4295884742,NLD,BNGBA,,,,366
Landeskreditbank Baden Wuerttemberg Foerderbank,,4296080185,DEU,LNBAD,,,,303
Santander International Products Public Ltd Co,,4297420314,ESP,SANSIP,,,False,275
Development Bank of Japan Inc,,4296543409,JPN,DBJPN,,,,263
Lloyds Bank Corporate Markets PLC,,5057476778,GBR,LLOYM,,,False,181
Bank of China Ltd (Sydney Branch),,4297169786,AUS,BKCHAU,,,False,174
Cooperatieve Rabobank UA (New York Branch),,5000610154,USA,RABON,,,False,168
Kookmin Bank,,5000076303,KOR,KBFNGK,,,False,166
Suncorp-Metway Ltd,,5035391926,AUS,SUNCM,,,False,129
Cibanco SA Institucion de Banca Multiple,,4298528922,MEX,MIRAP,,,False,128
NongHyup Bank,,5037349820,KOR,NAGRIB,,,False,114
MUFG Bank Ltd,8315.T^C01,4295878360,JPN,MTFGTU,TYO,8315,False,110
Sumitomo Mitsui Banking Corp,8318.T^K02,5000001007,JPN,SUMFGI,TYO,8318,False,104
Korea Development Bank (London Branch),,4296999124,GBR,KDBLN,,,False,90
Bank of Montreal (Toronto Branch),,5037935712,CAN,BMOTO,,,False,90
Mizuho Bank Ltd,8317.T^I00,4295878063,JPN,MZFGK,TYO,8317,False,88
PNC Bank NA,,4296959656,USA,PNCBKN,,,False,83
Council of Europe Development Bank,,4295946698,FRA,CEB,,,,80
Bank of China Ltd (New York Branch),,5001112967,USA,BKCHNW,,,False,75
Industrial and Commercial Bank of China Ltd (London Branch),,5045856696,GBR,ICBATF,,,False,73
Volvo Treasury AB,,4296471853,SWE,VOLVT,,,False,65
Mediobanca International Luxembourg SA,,5000037433,LUX,MDBIM,,,False,61
NatWest Markets NV,ABZRF.PK^C06,4296540158,NLD,NWGNM,PNK,,False,55
Korea Development Bank (New York Branch),,5000588708,USA,KDBNY,,,False,48
Manufacturers and Traders Trust Co,,4297905338,USA,MTBXM,,,False,47
China Construction Bank Corp (Sydney Branch),,5000700735,AUS,CNCBKY,,,False,46
La Cassa di Ravenna SpA,CDRDRS.HT,5000004037,ITA,CDRDR,HMT,IT0001005229,True,41
Bank of China Ltd (Luxembourg Branch),,5042373967,LUX,BKCHNX,,,False,41
National Australia Bank Ltd (New York Branch),,5000728471,USA,NABNY,,,False,40
Bank of England,,8589934365,GBR,BKENG,,,,40
Bank Gospodarstwa Krajowego,,5000018341,POL,BKGDK,,,,32
KeyBank NA,,5000008374,USA,KEYBK,,,False,31
Sfil SA,,5038044574,FRA,SFIL,,,,30
Credit Suisse AG (New York Branch),,4296168464,USA,CSGNCU,,,False,29
Citizens Bank NA,,5000069297,USA,CFGTZ,,,False,28
Commonwealth Bank of Australia (New York Branch),,5000728453,USA,CBANY,,,False,26
Royal Bank of Canada (Toronto Branch),,5035428308,CAN,RYCTO,,,False,23
Banca di Imola SpA,BDIS.HT,4296514607,ITA,BDIS,HMT,IT0000300746,True,23
Erste Bank Hungary Zrt,,4297189869,HUN,ERSTHU,,,False,19
China Construction Bank Corporation (London Branch),,5047643874,GBR,CNCBST,,,False,18
Bank of China (London Branch),,5001167814,GBR,BKCHNL,,,False,18
Norinchukin Bank,,4295878071,JPN,NORBK,,,False,18
Turkiye Ihracat Kredi Bankasi AS,,4297147213,TUR,TURIH,,,,14
Turkiye Cumhuriyeti Ziraat Bankasi AS,,4296757902,TUR,TCHZNC,,,False,13
Aktif Yatirim Bankasi AS,,4298474369,TUR,CALIKB,,,False,12
Huntington National Bank,,4296540416,USA,HBANH,,,False,12
Australia and New Zealand Banking Group Ltd (New York Branch),,5001168020,USA,ANZNEW,,,False,11
Banco Nacional de Costa Rica,,4296608294,CRI,BNACR,,,,11
State Bank of India (London Branch),,4297066605,GBR,SBILO,,,False,10
Korea Development Bank (Tokyo Branch),,5000938266,JPN,KDBTK,,,False,4
Bank of China Ltd (Paris Branch),,5000761472,FRA,BKCHIN,,,False,3
Bank of China Limited (Budapest Branch),,5046279231,HUN,BKCHNR,,,False,1
China Merchants Bank Co Ltd (Sydney Branch),,5056414987,AUS,CHMBKI,,,False,1
Canara Bank (London Branch),,4297004377,GBR,CNBKL,,,False,1
Bank of Baroda,,5001111203,GBR,BOBLN,,,False,1
