CommonName,PrimaryRIC,OAPermID,CountryHeadquarters,Ticker,PrimaryRICExchangeCode,PrimaryRICTickerSymbol,IsPublic,BondsCount
JPMorgan Chase & Co,JPM,5000021791,USA,JPM,NYQ,JPM,True,1423
Bank of America Corp,BAC,8589934339,USA,BAC,NYQ,BAC,True,852
Wells Fargo & Co,WFC,8589934175,USA,WFC,NYQ,WFC,True,450
HSBC Holdings PLC,HSBA.L,8589934275,GBR,HSBA,LSE,HSBA,True,125
Royal Bank of Canada,RY.TO,8589934213,CAN,RY,TOR,RY,True,5848
Toronto-Dominion Bank,TD.TO,4295862902,CAN,TD,TOR,TD,True,5988
Commonwealth Bank of Australia,CBA.AX,4295856152,AUS,CBA,ASX,CBA,True,1225
Mitsubishi UFJ Financial Group Inc,8306.T,5000000933,JPN,MTFGI,TYO,8306,True,131
BNP Paribas SA,BNPP.PA,8589934326,FRA,BNPP,PAR,BNP,True,3388
Bank of Montreal,BMO.TO,4295860596,CAN,BMO,TOR,BMO,True,10130
Banco Santander SA,SAN.MC,8589934205,ESP,SAN,MCE,SAN,True,515
Sumitomo Mitsui Financial Group Inc,8316.T,4295878766,JPN,SUMFG,TYO,8316,True,101
Bank of Nova Scotia,BNS.TO,4295860592,CAN,BNS,TOR,BNS,True,4616
National Australia Bank Ltd,NAB.AX,4295857405,AUS,NAB,ASX,NAB,True,742
US Bancorp,USB,8589934183,USA,USB,NYQ,USB,True,33
PNC Financial Services Group Inc,PNC,4295904676,USA,PNC,NYQ,PNC,True,24
ING Groep NV,INGA.AS,4295884647,NLD,INGA,AEX,INGA,True,77
Westpac Banking Corp,WBC.AX,4295856627,AUS,WBC,ASX,WBC,True,631
Intesa Sanpaolo SpA,ISP.MI,4295875735,ITA,ISP,MIL,ISP,True,476
UniCredit SpA,CRDI.MI,4295875726,ITA,CRDI,MIL,UCG,True,190
Truist Financial Corp,TFC,4295903505,USA,TFC,NYQ,TFC,True,32
Nordea Bank Abp,NDAFI.HE,5060588378,FIN,NDAFI,HEX,NDA FI,True,1058
Mizuho Financial Group Inc,8411.T,4295878505,JPN,MZFG,TYO,8411,True,93
Canadian Imperial Bank of Commerce,CM.TO,4295860600,CAN,CM,TOR,CM,True,8432
Lloyds Banking Group PLC,LLOY.L,8589934254,GBR,LLOY,LSE,LLOY,True,80
Barclays PLC,BARC.L,8589934333,GBR,BARC,LSE,BARC,True,95
Natwest Group PLC,NWG.L,8589934212,GBR,NWG,LSE,NWG,True,43
Skandinaviska Enskilda Banken AB,SEBa.ST,8589934200,SWE,SEB,STO,SEB A,True,569
National Bank of Canada,NA.TO,4295862904,CAN,,TOR,,True,2061
Standard Chartered PLC,STAN.L,4295895205,GBR,STAN,LSE,STAN,True,103
Deutsche Bank AG,DBKGn.DE,4295869482,DEU,DBKG,GER,DBK,True,1739
Societe Generale SA,SOGN.PA,5000039357,FRA,SOGN,PAR,GLE,True,4501
Swedbank AB,SWEDa.ST,8589934289,SWE,SWEDX,STO,SWED A,True,436
Regions Financial Corp,RF,4295907751,USA,RF,NYQ,RF,True,9
Svenska Handelsbanken AB,SHBa.ST,8589934190,SWE,SHB,STO,SHB A,True,401
Huntington Bancshares Inc,HBAN.O,4295906733,USA,HBAN,NSQ,HBAN,True,15
Citizens Financial Group Inc,CFG,4296419629,USA,CFG,NYQ,CFG,True,18
Shinhan Financial Group Co Ltd,055550.KS,4295881976,KOR,SHING,KSC,055550,True,102
Banco de Chile,CHILE.SN,4295863540,CHL,CHILX,SGO,CHILE,True,324
Aib Group PLC,AIBG.I,5059082241,IRL,AIBG,ISE,A5G,True,17
Bank of Ireland Group PLC,BIRG.I,5056415510,IRL,BIRG,ISE,BIRG,True,19
KeyCorp,KEY,4295904371,USA,KEY,NYQ,KEY,True,14
Mediobanca Banca di Credito Finanziario SpA,MDBI.MI,4295875731,ITA,MDBI,MIL,MB,True,117
Banco Santander-Chile,BSANTANDER.SN,4295863439,CHL,BSANT,SGO,BSANTANDER,True,443
Webster Financial Corp,WBS,4295908449,USA,WBS,NYQ,WBS,True,7
Bancolombia SA,BIC.CN,4295865713,COL,BIC,COL,BCOLOMBIA,True,3550
First Horizon Corp,FHN,4295903994,USA,FHN,NYQ,FHN,True,6
Comerica Inc,CMA,4295903746,USA,CMA,NYQ,CMA,True,4
QNB Finansbank AS,QNBFB.IS,5000063167,TUR,QNBFB,IST,QNBFB.E,True,22
Turkiye Garanti Bankasi AS,GARAN.IS,4295893548,TUR,GARAN,IST,GARAN.E,True,16
Banco de Credito e Inversiones,BCI.SN,4295863513,CHL,BCI,SGO,BCI,True,470
Turkiye Is Bankasi AS,ISCTR.IS,4295893598,TUR,ISCTR,IST,ISCTR.E,True,33
Akbank TAS,AKBNK.IS,4295893638,TUR,AKBNK,IST,AKBNK.E,True,25
Old National Bancorp,ONB.O,4295907462,USA,ONB,NSQ,ONB,True,4
Synovus Financial Corp,SNV,4295905022,USA,SNV,NYQ,SNV,True,4
Yapi ve Kredi Bankasi AS,YKBNK.IS,4295893564,TUR,YKBNK,IST,YKBNK.E,True,32
Turkiye Vakiflar Bankasi TAO,VAKBN.IS,4295893750,TUR,VAKBN,IST,VAKBN.E,True,28
Banco de Bogota SA,BBO.CN,4295865671,COL,BBO,COL,BOGOTA,True,3914
Aozora Bank Ltd,8304.T,4295878798,JPN,AOZRA,TYO,8304,True,9
Bancorp Inc,TBBK.O,4295913876,USA,TBBK,NSQ,TBBK,True,1
BankUnited Inc,BKU,5001204503,USA,BKU,NYQ,BKU,True,2
Hilltop Holdings Inc,HTH,4295899345,USA,HTH,NYQ,HTH,True,5
Tatra Banka as,1TAT01DE.BV,4295888234,SVK,ATATO,BRA,1TAT01DE,True,18
Banc of California Inc,BANC.K,4295902744,USA,BANC,NYQ,BANC,True,31
Turkiye Sinai Kalkinma Bankasi AS,TSKB.IS,4295893556,TUR,TSKB,IST,TSKB.E,True,4
Macquarie Bank Ltd,MBLPC.AX,4295856982,AUS,MQGMBL,ASX,,True,378
HomeStreet Inc,HMST.O,4298443884,USA,HMST,NSQ,HMST,True,3
