PermID,Date,Tier 1 Capital Ratio,Total Capital Ratio,Non Performing Loan Ratio,Coverage Ratio,Equity at Risk,Dividend Growth,Efficiency Ratio,Loan to Deposit Ratio,CASA Ratio,CD Non Equity Ratio,Liquid Assets to Total Assets Ratio,Stable funds to Net Loans Ratio,Liquid Assets to Wholesale funds Ratio,Total Investment Securities to Total Assets Ratio,E/A Ratio,D/E Ratio,LT Debt/E Ratio,Net Profit Margin,"Total Assets, Reported",Total Deposits,Total Debt,Cash and Equivalents,Total Equity,Net Income After Taxes,Net Interest Margin,ROAA,ROAE,Liquidity Coverage Ratio
4295856152,2011-12-31,10.01,11.7,0.0104407095,0.9716820842,0.2841208956,,0.519834634,1.199045189,0.9202181068,0.6607820769,0.01982485376,0.8339969244,12.63454198,0.0676314832,0.05503676454,3.570853396,2.14233249,16.94906,985247086591,615202832276,193628853813,19532379407,54224811919,9455671928,-0.1332921168,0.009597259466,0.1743790636,6.422220987
4295856152,2012-12-31,10,11,0.008803861903,1.029869853,0.2318169635,,0.5025219248,1.143331282,0.9211933315,0.6783251551,0.04250068511,0.874637138,30.70552764,0.08461603736,0.05709186363,3.307156258,3.28291221,18.22887,1060420415991,678243103703,200219796430,45068594188,60541377784,10373211388,-0.1214946655,0.009782168687,0.1713408543,5.444048468
4295856152,2013-12-31,10.3,11.2,0.0269867332,0.2933429907,0.4364888889,,0.5086469142,1.160217517,0.9231437808,0.6768346789,0.02042429798,0.8619073454,2.102266521,0.0790614135,0.0596930187,3.329311111,3.166555556,21.8141,1112047499631,707743029945,221004572946,22712789497,66381472194,11261247972,-0.0563866891,0.01012658899,0.1696444444,6.422220987
4295856152,2014-12-31,11.1,12,0.0269446173,0.2480112907,0.3985577022,,0.4987969575,1.116547746,0.9270446794,0.6912757191,0.05702816725,0.8956177676,3.734177215,0.08356423834,0.06167280097,3.357849665,3.110221057,25.48455,1167504056646,757293111078,241776073167,66580616610,72003245316,12759994099,-0.02600384451,0.01092929316,0.1772141525,7.400393507
4295856152,2015-12-31,11.2,12.7,0.02546003075,0.2290163312,0.3703152715,,0.4982462618,1.080911741,0.9043989042,0.6936048671,0.06007469265,0.9251449144,3.488365909,0.08550499974,0.06002775214,3.501001316,3.214109973,26.36111,1288458474701,840035403452,270778875940,77403746865,77343265968,13385455082,-0.01607994286,0.01038873611,0.1730655528,6.911307247
4295856152,2016-12-31,11.25,13.05,0.02471773747,0.2195188514,0.3561940562,,0.4258556736,1.101690324,0.8793499035,0.6934662257,0.05588739991,0.9076960907,2.649811973,0.08670730256,0.06432361809,3.305128803,2.977238644,26.30178,1376310665290,893032895707,292600678566,76918424546,88529281605,13224664405,-0.0006479862098,0.009608778554,0.1493818109,6.911307247
4295856152,2017-12-31,11.775,14.025,0.02291346518,0.2281657845,0.3179656876,,0.4198035014,1.092570148,0.8741124624,0.7074311983,0.05203529997,0.9152730395,2.497443713,0.0855612618,0.06464492102,3.284437684,2.962132015,28.49224,1440209470423,952985691105,305788464375,74941731819,93102227467,13971087181,0.01105329705,0.009700732753,0.1500617929,5.652314197
4295856152,2018-12-31,12.3,15,0.02110919289,0.2368127176,0.2797373191,,0.4435060579,1.125565343,0.874984487,0.7011672517,0.05445027252,0.8884424229,3.397837077,0.08433444597,0.06902011454,3.139571509,2.9073931,26.52589,1438508629591,939019029355,311715592270,78327186901,99286030388,13379554507,0.01756995123,0.009300990089,0.1347576739,5.296880288
4295856152,2019-12-31,12.67,15.48,0.02176867592,0.2955556949,0.2969796247,,0.4688844279,1.124471021,0.8697504207,0.7128925977,0.0541596433,0.8893070445,2.663661546,0.08834288102,0.07126867124,2.981938098,2.696640515,24.17023,1440480896887,953721787874,306129222599,78015931553,102661159463,12349904116,0.01189456177,0.008573459143,0.1202977268,4.165922528
4295856152,2020-12-31,12.485,15.24,0.02143893441,0.2661842062,0.2883584719,,0.4635384167,1.058285501,0.8689445695,0.7435641172,0.0653499706,0.9449245966,3.784704004,0.08343123536,0.07083707954,2.657570239,2.370553154,24.4944,1497965776663,1034932880956,281998819885,97892019472,106111520873,10898362590,0.04867989075,0.007275441642,0.1027066854,6.427838047
