Date,Total Revenue,Gross Profit,Total Operating Expense,Operating Income,Net Income Before Taxes,Net Income Incl Extra Before Distributions,Income Avail to Cmn Shareholders Excl Extra,Income Avail to Cmn Shareholders Incl Extra,Normalized Income Before Taxes,Normalized Income After Taxes,Normalized Income Avail to Cmn Shareholders,Total Interest Expenses,Net Interest Income,Net Interest Income After Loan Loss Provision,Revenue,Revenue,"Cost of Revenue, Total","Selling/General/Administrative Expense, Total",Depreciation And Amortization,Interest/Investment Income - Operating,"Interest Expense (Income), Net-Operating, Ttl",Unusual Expense (Income),"Other Operating Expenses, Total","Interest Expense, Net Non-Operating",Interest/Invest Income - Non-Operating,"Interest Income (Expense), Net-Non-Operating, Total","Non-Interest Income, Bank",Labor And Related Expense,"Non-Interest Expense, Bank","Other, Net - Non-Operating",Total Adjustments to Net Income,Basic Weighted Average Shares,Basic EPS Excluding Extraordinary Items,Basic EPS Including Extraordinary Items,Diluted Net Income,Diluted Weighted Average Shares,Diluted EPS Excluding Extraordinary Items,Diluted EPS Including Extraordinary Items,Dilution Adjustment,Total Special Items,Effect of Special Items on Income Taxes,"Gross Margin, Percent","Operating Margin, Percent","Pretax Margin, Percent","Effective Tax Rate, (%)","Net Profit Margin, (%)",Normalized EBIT,Normalized EBITDA,Bank Total Revenue,Net Sales,Interest & Fees on Loans,Interest And Dividends on Investment Secs,Interest on Deposits,Other Interest Income,"Interest Income, Bank",Cost of Revenue,Cost of Revenue,Interest on Deposit,Interest on Other Borrowings,Loan Loss Provision,Selling/General/Administrative Expense,Advertising Expense,"Depreciation, Operating","Amortization of Intangibles, Operating",Investment Income - Operating,Impairment - Assets Held for Use,Impairment - Assets Held for Sale,Other Unusual Expense (Income),Other Operating Expense,"Other, Net - Operating",Interest Expense - Non-Operating,Interest Income - Non-Operating,Investment Income - Non-Operating,Gain (Loss) on Sale of Assets,Fees & Commissions from Operations,Investment Securities Gains,Foreign Currency Gains,Other Unusual Income,Other Revenue,Depreciation Expense,Other Unusual Expense,Other Expense,Other Non-Operating Income (Expense),Provision for Income Taxes,Net Income After Taxes,Minority Interest,Net Income Before Extraordinary Items,Miscellaneous Earnings Adjustment,DPS - Common Stock Primary Issue,Gross Dividends - Common Stock,"Interest Expense, Supplemental","Depreciation, Supplemental","Advertising Expense, Supplemental","Stock-Based Compensation, Supplemental",Income Tax Excluding Impact of Special Items,Basic Normalized EPS,Diluted Normalized EPS,"Amort of Intangibles, Supplemental","Rental Expense, Supplemental","Equity in Affiliates, Supplemental","Minority Interest, Supplemental","Audit Fees, Supplemental","Audit-Related Fees, Supplemental","All Other Fees Paid to Auditor, Supplemental",Current Tax - Domestic,Current Tax - Other,Current Tax - Total,Current Tax - Total,Deferred Tax - Domestic,Deferred Tax(No Breakdown)-Total,Deferred Tax - Total,Other Tax,Income Tax - Total,Interest Cost - Domestic,Service Cost - Domestic,Expected Return on Assets - Domestic,Actuarial Gains and Losses - Domestic,Domestic Pension Plan Expense,Defined Contribution Expense - Domestic,Total Pension Expense,Total Plan Interest Cost,Total Plan Service Cost,Total Plan Expected Return,OAPermID
2011-06-30,,,,,1579000000,1579000000,1579000000,1579000000,1612000000,1612000000,1612000000,140000000,2247000000,2287000000,,3120000000,,,,,,,,,,,873000000,,-1581000000,,,,,,1579000000,,,,,33000000,0,,,66.14998,0,66.14998,,,3120000000,,877000000,1510000000,,,2387000000,,,,140000000,-40000000,,,,,,,,,,,,,,,88000000,662000000,,-33000000,156000000,,,-1581000000,,0,1579000000,0,1579000000,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4296537663
2011-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4296537663
2012-06-30,,,,,1328000000,1328000000,1328000000,1328000000,1183000000,1183000000,1183000000,181000000,2431000000,2314000000,,2982000000,,,,,,,,,,,551000000,,-1537000000,,,,,,1328000000,,,,,-145000000,0,,,50.84227,0,50.84227,,,2982000000,,993000000,1619000000,,,2612000000,,,,181000000,117000000,,,,,,,,,,,,,,,329000000,-42000000,,145000000,119000000,,,-1537000000,,0,1328000000,0,1328000000,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4296537663
2013-06-30,,,,,1010000000,1018000000,1018000000,1018000000,975000000,975000000,983000000,220000000,1577000000,1334000000,,2994000000,,,,,,,,,,,1417000000,,-1741000000,,,,,,1018000000,,,,,-35000000,0,,,56.20479,0,56.64997,,,2994000000,,996000000,801000000,,,1797000000,,,,220000000,243000000,,,,,,,,,,,,,,,340000000,941000000,,35000000,101000000,,,-1741000000,,0,1010000000,8000000,1018000000,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4296537663
2014-06-30,,,,,1488000000,1483000000,1483000000,1483000000,1488000000,1488000000,1483000000,196000000,2247000000,2159000000,,2708000000,,,,,,,,,,,461000000,,-1132000000,,,,,,1483000000,,,,,,,,,60.90872,,60.70405,,,2708000000,,1065000000,1378000000,,,2443000000,,,,196000000,88000000,,,,,,,,,,,,,,,329000000,,,,,,,-1539000000,,,1488000000,-5000000,1483000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4296537663
2014-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,-173000000,,,,2502000,592.72582,592.72582,,2502000,592.72582,592.72582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592.72582,592.72582,,,,-5000000,,,,,,,,,,,,,,,,,,,,,,,4296537663
2015-06-30,,,,,409000000,445000000,445000000,445000000,409000000,409000000,445000000,258000000,1424000000,1253000000,,1929000000,,,,,,,,,,,505000000,-197000000,-1349000000,,,2566000,173.42167,173.42167,445000000,2566000,173.42167,173.42167,,,,,,24.31629,,26.4566,,,1929000000,,1123000000,559000000,,,1682000000,,,,258000000,171000000,,,,,,,,,,,,,,,381000000,,,,,,,-1672000000,,,409000000,36000000,445000000,,,,,,,,,173.42167,173.42167,,,,36000000,,,,,,,,,,,,,,,,,,,,,,,4296537663
2016-06-30,,,,,-34000000,-33000000,-33000000,-33000000,-34000000,-34000000,-33000000,409000000,1364000000,1005000000,,1865000000,,,,,,,,,,,501000000,-185000000,-1540000000,,,2566000,-12.86048,-12.86048,-33000000,2566000,-12.86048,-12.86048,,,,,,-1.91765,,-1.86125,,,1865000000,,1126000000,647000000,,,1773000000,,,,409000000,359000000,,,,,,,,,,,,,,,383000000,,,,,,,-1813000000,,,-34000000,1000000,-33000000,,,,,,,,,-12.86048,-12.86048,,,,1000000,,,,,,,,,,,,,,,,,,,,,,,4296537663
2017-06-30,,,,,1422000000,1418000000,1418000000,1418000000,1422000000,1422000000,1418000000,712000000,1575000000,1489000000,,2103000000,,,,,,,,,,,528000000,-293000000,-595000000,,,2566000,552.61107,552.61107,1418000000,2566000,552.61107,552.61107,,,,,,62.17753,,62.00262,,,2103000000,,1298000000,989000000,,,2287000000,,,,712000000,86000000,,,,,,,,,,,,,,,359000000,,,,,,,-1031000000,,,1422000000,-4000000,1418000000,,,,,,,,,552.61107,552.61107,,,,-4000000,,,,,,,,,,,,,,,,,,,,,,,4296537663
2018-06-30,,,,,1280000000,1280000000,1280000000,1280000000,1280000000,1280000000,1280000000,1041000000,1552000000,1462000000,,2130000000,,,,,,,,,,,578000000,-244000000,-760000000,,,2566000,498.83087,498.83087,1280000000,2566000,498.83087,498.83087,,,,,,49.36367,,49.36367,,,2130000000,,1377000000,1216000000,,,2593000000,,,,1041000000,90000000,,,,,,,,,,,,,,,407000000,,,,,,,-1410000000,,,1280000000,0,1280000000,,,,,,,,,498.83087,498.83087,,,,0,,,,,,,,,,,,,,,,,,,,,,,4296537663
2019-06-30,,,,,93000000,93000000,93000000,93000000,93000000,93000000,93000000,1575000000,72000000,-15000000,,694000000,,,,,,,,,,,622000000,-6000000,-514000000,,,2566000,36.24318,36.24318,93000000,2566000,36.24318,36.24318,,,,,,5.64663,,5.64663,,,694000000,,1774000000,-127000000,,,1647000000,,,,1575000000,87000000,,,,,,,,,,,,,,,438000000,,,,,,,-1958000000,,,93000000,0,93000000,,,,,,,,,36.24318,36.24318,,,,0,,,,,,,,,,,,,,,,,,,,,,,4296537663
2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4296537663
2020-06-30,,,,,-1672000000,-1672000000,-1672000000,-1672000000,-1672000000,-1672000000,-1672000000,1181000000,-507000000,-1145000000,,52000000,,,,,,,,,,,559000000,,-1086000000,,,2566000,-651.59782,-651.59782,-1672000000,2566000,-651.59782,-651.59782,,,,,,-248.07122,,-248.07122,,,52000000,,1510000000,-836000000,,,674000000,,,,1181000000,638000000,,,,,,,,,,,,,,,422000000,,,,,,,-2269000000,,,-1672000000,,-1672000000,,,,,,,,,-651.59782,-651.59782,,,,,,,,,,,,,,,,,,,,,,,,,,,4296537663
2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4296537663
