Date,Total Revenue,Gross Profit,Total Operating Expense,Operating Income,Net Income Before Taxes,Net Income Incl Extra Before Distributions,Income Avail to Cmn Shareholders Excl Extra,Income Avail to Cmn Shareholders Incl Extra,Normalized Income Before Taxes,Normalized Income After Taxes,Normalized Income Avail to Cmn Shareholders,Total Interest Expenses,Net Interest Income,Net Interest Income After Loan Loss Provision,Revenue,Revenue,"Cost of Revenue, Total","Selling/General/Administrative Expense, Total",Depreciation And Amortization,Interest/Investment Income - Operating,"Interest Expense (Income), Net-Operating, Ttl",Unusual Expense (Income),"Other Operating Expenses, Total","Interest Expense, Net Non-Operating",Interest/Invest Income - Non-Operating,"Interest Income (Expense), Net-Non-Operating, Total","Non-Interest Income, Bank",Labor And Related Expense,"Non-Interest Expense, Bank","Other, Net - Non-Operating",Total Adjustments to Net Income,Basic Weighted Average Shares,Basic EPS Excluding Extraordinary Items,Basic EPS Including Extraordinary Items,Diluted Net Income,Diluted Weighted Average Shares,Diluted EPS Excluding Extraordinary Items,Diluted EPS Including Extraordinary Items,Dilution Adjustment,Total Special Items,Effect of Special Items on Income Taxes,"Gross Margin, Percent","Operating Margin, Percent","Pretax Margin, Percent","Effective Tax Rate, (%)","Net Profit Margin, (%)",Normalized EBIT,Normalized EBITDA,Bank Total Revenue,Net Sales,Interest & Fees on Loans,Interest And Dividends on Investment Secs,Interest on Deposits,Other Interest Income,"Interest Income, Bank",Cost of Revenue,Cost of Revenue,Interest on Deposit,Interest on Other Borrowings,Loan Loss Provision,Selling/General/Administrative Expense,Advertising Expense,"Depreciation, Operating","Amortization of Intangibles, Operating",Investment Income - Operating,Impairment - Assets Held for Use,Impairment - Assets Held for Sale,Other Unusual Expense (Income),Other Operating Expense,"Other, Net - Operating",Interest Expense - Non-Operating,Interest Income - Non-Operating,Investment Income - Non-Operating,Gain (Loss) on Sale of Assets,Fees & Commissions from Operations,Investment Securities Gains,Foreign Currency Gains,Other Unusual Income,Other Revenue,Depreciation Expense,Other Unusual Expense,Other Expense,Other Non-Operating Income (Expense),Provision for Income Taxes,Net Income After Taxes,Minority Interest,Net Income Before Extraordinary Items,Miscellaneous Earnings Adjustment,DPS - Common Stock Primary Issue,Gross Dividends - Common Stock,"Interest Expense, Supplemental","Depreciation, Supplemental","Advertising Expense, Supplemental","Stock-Based Compensation, Supplemental",Income Tax Excluding Impact of Special Items,Basic Normalized EPS,Diluted Normalized EPS,"Amort of Intangibles, Supplemental","Rental Expense, Supplemental","Equity in Affiliates, Supplemental","Minority Interest, Supplemental","Audit Fees, Supplemental","Audit-Related Fees, Supplemental","All Other Fees Paid to Auditor, Supplemental",Current Tax - Domestic,Current Tax - Other,Current Tax - Total,Current Tax - Total,Deferred Tax - Domestic,Deferred Tax(No Breakdown)-Total,Deferred Tax - Total,Other Tax,Income Tax - Total,Interest Cost - Domestic,Service Cost - Domestic,Expected Return on Assets - Domestic,Actuarial Gains and Losses - Domestic,Domestic Pension Plan Expense,Defined Contribution Expense - Domestic,Total Pension Expense,Total Plan Interest Cost,Total Plan Service Cost,Total Plan Expected Return,OAPermID
2010-12-31,,,,,308000000,229000000,229000000,229000000,322000000,239409000,239409000,1367000000,258000000,154000000,,926000000,,,,,,,,,,,668000000,-199000000,-514000000,,,319551420,0.71663,0.71663,229000000,319551420,0.71663,0.71663,,14000000,3591000,,,18.95385,25.64935,14.09231,,,926000000,,,,,1625000000,1625000000,,,1367000000,,104000000,,,,,,,,,,,,,,,164000000,66000000,,,50000000,-72000000,,-243000000,,79000000,229000000,,229000000,,0.4,125769000,,23000000,14000000,0,82591000,0.7492,0.7492,50000000,3000000,0,,372000,,433000,,,82000000,82000000,,-4000000,-4000000,1000000,79000000,6000000,4000000,-8000000,1000000,3000000,28000000,31000000,6000000,4000000,-8000000,4295866371
2011-12-31,,,,,258000000,216000000,215000000,215000000,315000000,263721000,262721000,2140000000,276000000,216000000,,847000000,,,,,,,,,,,571000000,-213000000,-529000000,,-1000000,319551420,0.67282,0.67282,215000000,319551420,0.67282,0.67282,,57000000,9279000,,,10.67881,16.27907,8.89901,,,847000000,,,,,2416000000,2416000000,,,2140000000,,60000000,,,,,,,,,,,,,,,161000000,49000000,,2000000,41000000,-57000000,,-259000000,,42000000,216000000,,216000000,-1000000,0.41,128965000,,18000000,14000000,,51279000,0.82216,0.82216,38000000,3000000,2000000,,163000,31000,195000,,,55000000,55000000,,-13000000,-13000000,0,42000000,6000000,4000000,-8000000,1000000,3000000,26000000,29000000,6000000,4000000,-8000000,4295866371
2011-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4295866371
2012-12-31,,,,,372000000,283000000,283000000,283000000,379000000,288325270,288325270,465000000,1856000000,1799000000,,3308000000,,,,,,,,,,,1452000000,-232000000,-2879000000,,,319552000,0.88561,0.88561,283000000,319552000,0.88561,0.88561,,7000000,1674730,,,16.02757,23.92473,12.19302,,,3308000000,,346000000,200000000,93000000,1684000000,2321000000,,,43000000,422000000,57000000,,,,,,,,,,,,,,,45000000,13000000,,,26000000,-50000000,,-2597000000,,89000000,283000000,,283000000,,0.46,144965000,,16000000,9000000,0,90674730,0.90228,0.90228,38000000,4000000,1000000,,333780,230280,93160,,,110000000,110000000,,-23000000,-23000000,2000000,89000000,0,5000000,,0,3000000,28000000,31000000,0,5000000,,4295866371
2012-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4295866371
2013-12-31,,,,,458000000,426000000,411000000,426000000,459000000,415906110,411906110,,231000000,194000000,,1045000000,,,,,,,,,,,814000000,-170000000,-550000000,,,319551000,1.28618,1.33312,426000000,319551000,1.28618,1.33312,,1000000,93890,,,198.2684,9.38865,177.92208,,,1045000000,,,,,230000000,231000000,,,,,37000000,,,,-47000000,,,,,,,,,,,111000000,46000000,,,36000000,-2000000,-1000000,-330000000,,43000000,415000000,-4000000,411000000,,0.67,212073200,,2000000,,,43093890,1.28902,1.28902,47000000,,,-4000000,,,,,,,,,,,,,,,,,,,,,,,4295866371
2014-12-31,,,,,548000000,461000000,432000000,461000000,548000000,441000000,432000000,388000000,1545000000,1520000000,,3240000000,,,,,,,,,,,1695000000,-163000000,-2667000000,,,319551420,1.3519,1.44265,461000000,319551420,1.3519,1.44265,,0,0,,,28.34972,19.52555,22.34868,,,3240000000,,318000000,166000000,68000000,1381000000,1933000000,,,28000000,360000000,25000000,,,,-47000000,,,,,,,,,,,38000000,67000000,,,16000000,-4000000,0,-2452000000,,107000000,441000000,-9000000,432000000,,0.43,,,4000000,6000000,,107000000,1.3519,1.3519,47000000,2000000,,-9000000,321000,119000,118000,,,105000000,105000000,,-21000000,-21000000,23000000,107000000,,,,,,,,,,,4295866371
2014-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4295866371
2015-12-31,,,,,625000000,517000000,495000000,517000000,625000000,505000000,495000000,341000000,1392000000,1363000000,,3317000000,,,,,,,,,,,1925000000,-155000000,-2663000000,,,319551420,1.54905,1.61789,517000000,319551420,1.54905,1.61789,,,,,,36.06463,19.2,28.56319,,,3317000000,,305000000,150000000,46000000,1231000000,1733000000,,,16000000,325000000,29000000,,,,-44000000,,,,,,,,,,,17000000,233000000,39000000,,31000000,-5000000,,-2459000000,,120000000,505000000,-10000000,495000000,,0.48,153000000,,5000000,10000000,,120000000,1.54905,1.54905,44000000,1000000,0,-10000000,1500000,0,700000,,,92000000,92000000,,28000000,28000000,0,120000000,1000000,6000000,,,2000000,19000000,21000000,1000000,6000000,,4295866371
2016-12-31,,,,,504000000,399000000,399000000,399000000,504000000,402000000,399000000,322000000,1126000000,1089000000,,2997000000,,,,,,,,,,,1871000000,-162000000,-2456000000,,,319551420,1.24863,1.24863,399000000,319551420,1.24863,1.24863,,,,,,34.80663,20.2381,27.55525,,,2997000000,,321000000,127000000,40000000,959000000,1448000000,,,0,322000000,37000000,,,,-47000000,,,,,,,,,,,21000000,138000000,38000000,,34000000,-4000000,,-2243000000,,102000000,402000000,-3000000,399000000,,,201317390,,4000000,11000000,,102000000,1.24863,1.24863,47000000,1000000,-2000000,-3000000,1100000,100000,700000,,,68000000,68000000,,34000000,34000000,0,102000000,0,8000000,,,8000000,16000000,24000000,0,8000000,,4295866371
