Date,Tier 1 Capital Ratio,Total Capital Ratio,Non Performing Loan Ratio,Coverage Ratio,Equity at Risk,Dividend Growth,Net Interest Margin,Efficiency Ratio,ROAA,ROAE,Loan to Deposit Ratio,CASA Ratio,CD Non Equity Ratio,Liquid Assets to Total Assets Ratio,Stable funds to Net Loans Ratio,Liquid Assets to Wholesale funds Ratio,Liquidity Coverage Ratio,Total Investment Securities to Total Assets Ratio,E/A Ratio,D/E Ratio,LT Debt/E Ratio,Net Profit Margin,"Total Assets, Reported",Total Deposits,Total Debt,Cash and Equivalents,Total Equity,Net Income After Taxes
2010-12-31,9.62,15.3,,,,,-0.07452393442076953,0.4313849394418115,0.002006407352015429,0.05450505402579296,1.1991583261955328,,0.42574437953177957,0.010482716588947118,0.8339182392808918,,-28.666666666666668,0.18784206959875863,0.036811400114674764,5.258626699198327,5.258626699198327,2.64615,864714652243.2563,354595381734.96985,167389224048.26297,9064558629.776022,31831357048.748356,1734969835.6563346
2011-12-31,9.62,14.26,,,,,-0.07093374724287231,0.6344545372785323,0.003948004784797408,0.10098325272792677,1.1162418022157174,,0.43889940960231705,0.05978418407250015,0.8958632421891208,,5.58029463243874,0.16986421457519296,0.03909563891187269,3.3655022183140813,3.3655022183140813,5.0999,988711471610.6605,416979528775.58905,130091154886.0564,59109308613.364235,38654306682.116646,3903437620.7029743
2012-12-31,11.97,16.96,,,,,-0.0814896413198128,0.6252428327544592,0.0027169199539051002,0.05908165742348701,1.141301044903714,,0.44431463157998957,0.04869675429391853,0.8761930118835255,,-5.479756498212388,0.1718503392715151,0.045985845224867206,3.154725225477564,3.154725225477564,4.05235,882639078368.9557,374135212975.595,128046839472.4875,42981658329.54373,40588904047.29423,2398059724.117023
2013-12-31,11.72,16.46,0.0418899593834541,0.27376710219524,0.6124460614265166,,-0.09077896786757546,0.6060772469339191,0.0028946183219166997,0.06620695490312209,1.0601042447638342,0.9021638564979502,0.48500204537344266,0.05207723544529495,0.9433034580696128,,-7.171676006113092,0.13039192022320928,0.04372075903735907,3.1373635671376596,2.021236991285219,4.90888,786698435794.8345,364868679519.8254,107909785376.50053,40969079665.33285,34395052746.453255,2277191706.0749364
2014-12-31,12.38,15.53,,,,,-0.09746421775461239,0.6799686066167593,0.0023212860060221083,0.05328762854471798,1.0051567093676885,,0.6206537137423236,0.04187138412617072,0.9948697458618841,,-783.3650793650794,0.08284089433991398,0.04356144323581839,2.814545029604238,2.814545029604238,3.95898,974338265685.7072,578383896833.9258,119459370091.75829,40796891791.353226,42443581053.15367,2261717781.268083
2015-12-31,14.75,17.45,,,,,-0.09014291728146753,0.5812308549150654,0.004511391886259206,0.09481100518481352,1.0039438209651403,0.9147057390975484,0.7291135062528659,0.051178184560196495,0.9960716716585308,,14.258869179600888,0.09433235876657452,0.04758299817057339,2.87882589061716,1.8081828064893795,9.64142,925628913443.8306,642775322283.6095,126795580110.49722,47372007366.4825,44044198895.02762,4175874769.7974215
2016-12-31,16.63,19.68,0.030882254701690114,0.29475721523310755,0.4567911152169984,,-0.08181830788645283,0.6314181584306999,0.005070519867326327,0.0860562729700962,1.0157756448839983,0.8875286985543498,0.697742201567231,0.055618337177146336,0.9844693609622822,,-10.755606407322654,0.10846652569398672,0.058920979172410695,2.4191553029542305,1.6060691261823952,9.52877,803843812422.7148,527828402929.7061,114579092552.07838,44708456197.089325,47363264529.62999,4075906021.116713
2017-12-31,16.37,19.14,0.02907002849494862,0.26822313313134916,0.4235210094036424,,-0.08102316339054373,0.5803043110735419,0.005893294383467106,0.0989366345276356,0.9963841004474351,0.870939266761472,0.7245699350347444,0.06003195401646861,1.003629021730617,,19.89815902859381,0.09344304527449257,0.05956635185342749,2.2230290044835934,1.3424393921358568,11.13154,705415138379.4598,480676892297.4325,93409469823.27443,42347449149.716576,42019006335.445145,4157219073.0243416
2018-12-31,16.18,18.44,0.017722859723774777,0.4246808510638298,0.29580617293646433,,-0.0015876285552077734,0.6180233447168562,0.0054237173489059,0.09445927903871829,0.9984051036682615,0.8659460972246106,0.7094168386959423,0.09064969617713042,1.0015974440894568,,2.836396345550108,0.08849644318681442,0.05741857659831122,2.6206510641639835,1.534712950600801,16.70811,773415293399.5989,517169761967.04156,116378934519.13855,70109861365.41983,44408405266.37022,4194785944.720551
2019-12-31,16.7,19.09,0.017773847863650008,0.4189867640346874,0.289107106325206,,-0.0016854345649825518,0.5998188770376334,0.005471301180607888,0.09074001748219235,1.0041131932396568,0.8709284557142365,0.7270610698409857,0.09906206265475294,0.9959036558155501,,13.789884483296909,0.09035777084006172,0.06029645279362687,2.5409250683479327,1.5493499972102884,16.80256,795489741302.4086,543495985727.0294,121876003568.24265,78802854594.1124,47965209634.25513,4352363960.7493305
