Date,Tier 1 Capital Ratio,Total Capital Ratio,Non Performing Loan Ratio,Coverage Ratio,Equity at Risk,Dividend Growth,Efficiency Ratio,Loan to Deposit Ratio,CASA Ratio,CD Non Equity Ratio,Liquid Assets to Total Assets Ratio,Stable funds to Net Loans Ratio,Liquid Assets to Wholesale funds Ratio,Total Investment Securities to Total Assets Ratio,E/A Ratio,D/E Ratio,LT Debt/E Ratio,Net Profit Margin,"Total Assets, Reported",Total Deposits,Total Debt,Cash and Equivalents,Total Equity,Net Income After Taxes,Net Interest Margin,ROAA,ROAE,Liquidity Coverage Ratio
2011-03-31,11.93,15.3,0.019574751611466462,0.6190799758149633,0.4592983032043198,,0.7148566180408908,0.6977283285959687,0.10857093341650376,0.5680220319866311,0.06187917138892531,1.4332225868086643,0.24732330023581295,0.2784745130486069,0.026937486846052745,10.63889321727263,1.3508894886297398,27.70074,1148083065610.0522,634569558078.1039,329023438280.85956,71042428785.6072,30926472478.04669,3547961733.419005,0.00903937043405565,0.0030903353944461667,0.11472248365660012,2.192259368735698
2012-03-31,12.76,15.5,0.01932816868279217,0.5609712386276737,0.391911013781275,,0.7048043478260869,0.6962828559813907,0.13046317739770957,0.5648942265081088,0.044015816595608784,1.436197935091377,0.17031442386029666,0.30922099347915577,0.02970233094979339,9.674807883065206,0.973855320230182,33.42655,1180556079103.3057,647081138002.4274,339249725137.4313,51963139858.64211,35065267366.31684,4023866638.109517,0.008361350458362934,0.0034084502289513053,0.11475362774432404,
2013-03-31,11.02,14.18,0.020282236304601683,0.5402179443845411,0.35579291321174344,,0.6971626570426772,0.6708621067560805,0.15393166184212684,0.5806392383250741,0.06952214174784659,1.4906192940833236,0.3319499837860129,0.29994173644031286,0.033424201023045566,8.431512542617208,2.165526019916615,38.84992,1266588577140.0015,710849832226.7438,356945648604.2693,88055950596.13051,42334711215.82066,4711715570.786036,0.007786083734204859,0.003720004787525594,0.11129674528227908,2.5562401995915485
2014-03-31,11.35,14.35,0.014846798560577523,0.5989936864858141,0.2546572304400346,,0.648784356974888,0.674631507681354,0.1252884343926485,0.6011445586978686,0.11722180534121028,1.4822906855283222,0.6252439548805007,0.2486820472772927,0.0367443180107072,7.127580221444435,2.025248231868409,48.08725,1255250124937.5312,726860005711.43,328747590490.46906,147142685799.95718,46123309773.684586,5500078532.162491,0.00983186081682861,0.004381659418226473,0.11924726475940223,2.571239406878778
2015-03-31,11.5,14.58,0.014362808122626428,0.49835174423015643,0.19350214692251985,,0.6419755060914903,0.6424690110925854,0.13833906505907043,0.6250141706299532,0.15339222659382068,1.5564953059749855,0.9521619558818655,0.22662210444762748,0.04304480483035566,5.360429460438365,1.6178435048474924,41.323,1354213957307.0608,809969665167.4164,312469486685.2288,207725894195.75928,58291875490.82602,4894981080.888127,0.009792003874107426,0.003614629028504553,0.08397364194704116,3.475918447314081
2016-03-31,12.64,15.41,0.012007372137122576,0.5192147336308683,0.16456379574708074,,0.6275084192432485,0.623629072401923,0.10069704552329813,0.6339136990217672,0.18771703482988453,1.603517289770464,1.2444558267260206,0.20255788603431288,0.042234239494572945,5.239077269460562,1.667504347306726,46.87188,1381156421789.1055,838556464624.8304,305606332548.0117,259266588134.50418,58332091097.308495,5181002355.964875,0.0075782264732040285,0.0037512060721214846,0.0888190746894711,4.994515387693971
2017-03-31,13.3,16.28,0.011315751517278512,0.574397231206237,0.16372857789433204,,0.7036432625661139,0.5955823853064194,0.08135569508009605,0.6806613768392701,0.2350501706634942,1.6790288374386912,1.7307703579028269,0.15978638024571612,0.042511999858759184,4.82192244459247,1.627373204808716,41.75171,1431488612836.439,932937060041.408,293440229885.0575,336471642750.0536,60855443706.71807,4615249518.098094,0.004280234396324878,0.0032240909754448948,0.07583955085991097,4.504754838042452
2018-03-31,15.44,18.24,0.007496297632253685,0.5301284753773723,0.10047284622147087,,0.7586264751152468,0.5796836865694434,0.08341104440551984,0.6963815195891773,0.23277449991050017,1.7250787337452607,1.7955050823979188,0.1654778779319733,0.04422319748054293,4.303618492849956,1.372059600262799,35.53768,1463755979153.2805,974254465624.3307,278581702006.1398,340725066038.40936,64731969729.421005,4343014207.182123,-0.00010924789603200805,0.0029670343069712816,0.06709226098535051,59.621970202357126
2019-03-31,15.94,18.85,0.00747441892803995,0.49080010913679617,0.09991813258635081,,0.9613796740212706,0.5678848487139766,0.09690236213987871,0.7167655249694374,0.22465312974816068,1.760920373671854,2.047104002323542,0.14662084078892576,0.04357495892296149,3.8228299106475983,1.3043668830482336,4.69604,1433513428999.786,982720039980.01,238794174341.40073,322043278360.8196,62465288784.179344,847868922.6815164,-0.007599520915469354,0.0005914621415671741,0.013573441173240157,
2020-03-31,14.52,17.25,0.008085128483385615,0.6289477232752119,0.1285098463500614,,0.7152148199964319,0.5748076062837099,0.09193850356048346,0.7009646039842664,0.19132545231245918,1.7397125387140866,1.733479117567124,0.16106863722329337,0.039850096811885574,4.428378857833914,1.6502307350144987,22.26763,1532512864996.0735,1031428814164.3464,270444577711.14444,293208717070.03644,61070786035.55366,3264232169.6294713,-0.006676987631127863,0.002129986797623284,0.05344997799322788,
2021-03-31,14.37,16.87,0.009706208165792412,0.7084355441224437,0.1499530595554864,,0.7172390046310134,0.552334574607891,0.11423258040009812,0.6957200409018081,0.2126990864703162,1.810496836468932,1.9092020895310373,0.19215877516556187,0.04103269414813656,4.641164663190157,1.9190478814140688,35.32185,1610524816163.347,1074498307988.8628,306707524809.02405,342557157135.7179,66084172199.61448,3408117369.8864856,0.0056568758985197495,0.002116153278535274,0.051572369849650135,6.963691753692288
2022-03-31,15.0,17.53,0.013301280160044789,0.6954886917853856,0.21051964224416567,,0.7782580984318985,0.5391939641696271,0.10834266116573057,0.6829278215084604,0.21664544994367016,1.854620167234302,1.8670786583025059,0.18682035159622246,0.03829090026698119,4.943936728667748,1.9063152576773543,40.52524,1692483344042.2646,1111585657171.4143,320400278432.21246,366668815592.2039,64806710930.24916,3877946740.915257,0.007509942094118941,0.0022912761620763203,0.059838659997558795,20.262964864029946
