Date,Tier 1 Capital Ratio,Total Capital Ratio,Non Performing Loan Ratio,Coverage Ratio,Equity at Risk,Dividend Growth,Efficiency Ratio,Loan to Deposit Ratio,CASA Ratio,CD Non Equity Ratio,Liquid Assets to Total Assets Ratio,Stable funds to Net Loans Ratio,Liquid Assets to Wholesale funds Ratio,Total Investment Securities to Total Assets Ratio,E/A Ratio,D/E Ratio,LT Debt/E Ratio,Net Profit Margin,"Total Assets, Reported",Total Deposits,Total Debt,Cash and Equivalents,Total Equity,Net Income After Taxes,Net Interest Margin,ROAA,ROAE,Liquidity Coverage Ratio
2010-12-31,,,0.018090581919047496,2.853901517477952,0.42637162551559427,,0.5546718631197199,1.0586350613233428,0.824703787758676,0.7238637264444433,0.07801433041727666,0.9446125832540948,0.7368676565827021,0.0907420492582468,0.11670639244882558,1.6267247085114898,0.7195514361141241,28.95784,17117937657.114128,10944938914.02715,3249826294.6204123,1335444444.4444444,1997772750.1256914,364432126.6968326,0.17639789868979663,0.021289487904249754,0.1824192099296099,
2011-12-31,,,0.015158231450396482,3.0225267049240228,0.4162095145751977,,0.5675088237717792,1.1171243158034219,0.8319012416483409,0.6856901416849506,0.07978078705854298,0.895155521953537,0.7243132665737361,0.06957849137556806,0.10523101102675754,2.193002504069669,1.1462882615618635,27.98533,21483916540.975365,13181119155.35445,4957883609.854198,1714003770.739065,2260774258.421317,421127450.98039216,0.16034053572137616,0.01960198691785055,0.18627576345214691,4.735422112828263
2012-12-31,,,0.017550366967206226,2.6455813476378847,0.38580023787461915,,0.5678641695481568,1.0402177599553109,0.8472713607752773,0.7433570551535942,0.07296036679460577,0.9613371723656798,1.3437584114040158,0.05856433826495628,0.11853946193680771,1.49700433920869,1.0389649137090649,22.21446,24614474610.356964,16128386123.68024,4367939165.409754,1795881096.0281549,2917786576.168929,429303418.8034188,0.1303516186388535,0.017441096167975165,0.14713324898735283,10.070616809887904
2013-12-31,,,0.01810287604647026,2.5103999753006376,0.4550608404201893,,0.5945419866813426,0.9865687043846777,0.8303943250807082,0.731525485724949,0.08735491031270345,1.013614151306066,10.159513407693087,0.052410204937779856,0.09549919722888231,2.0780828483757823,1.9880471591501248,18.63468,32884927350.42735,21758818250.377075,6526186274.509804,2872659879.33635,3140484162.8959274,385241578.6827552,0.10258255243073675,0.011714837456612134,0.12266948620034218,1.6576615037007638
2014-12-31,,,,,,,0.6017018452781354,1.1601668467474218,0.41126580565843535,0.716682200950129,0.07481700129133967,0.8619449890363127,5.917072727263117,0.06538262233864905,0.11275760487973656,1.8285776468540278,1.2047612637978624,25.08838,37614349170.43741,23917867521.367523,7755553544.494721,2814192810.457516,4241303921.5686274,595002011.0608346,0.16657445650680974,0.015818484811867223,0.14028752055117422,
2015-12-31,7.51,12.46,0.02876163041696308,1.2531985033499375,0.489487121753324,7.3289640336945405,0.5832098329299861,1.1486864422695227,0.39126728519945936,0.7035504937786417,0.07407861645129624,0.8705595915489743,11.59892361268881,0.05599202192503053,0.0999075636887335,2.125084798844614,1.4838861836767223,22.21409,48510021870.286575,30719479638.00905,10299261940.673706,3593555304.172951,4846518099.547511,650172197.0839618,0.14073343932648638,0.013402842794474313,0.1341524335057501,8.088990327839447
2016-12-31,10.02,14.73,,,,6.770438219400043,0.5427596147007969,1.1613217151528266,0.38965601703063446,0.7141173520763727,0.08262927104372277,0.8610878337605209,8.428702033773213,0.050253003851339954,0.10836375149415796,1.8862808246710498,1.233411996088131,17.15061,49336612368.02413,31414245098.039215,10084623931.623932,4076648315.736551,5346300402.212167,701721970.8396178,0.1773690468375021,0.014223148634631741,0.13125374895680436,7.272312139454122
2017-12-31,10.15,14.18,,,,-92.90275609199838,0.5322624546318145,1.144322276829633,0.4078023970540951,0.7358811042195152,0.07612799368829733,0.873879693027142,4.796819841489582,0.06130970861197934,0.11334984445525835,1.613379357143463,1.0355936175040121,15.60443,51258977124.18301,33444898441.427853,9374052036.199095,3902243086.978381,5810197083.96179,692351181.4982404,0.19678046796755205,0.013506925427343384,0.11916139357981088,
2018-12-31,10.05,13.47,0.07026247907048383,0.8381120812461383,0.9034112146523873,1552.8735632183907,0.543917452401469,1.139931812986952,0.41556975519616207,0.7349136555139116,0.07193111059580148,0.8772454532869908,6.837676928425367,0.061080805095848276,0.11289133414725844,1.5906022877453023,0.9813195503064117,16.4747,55332734539.96983,36074080693.81599,9935834338.86375,3980145047.762695,6246586224.233283,700461287.0789342,0.20132041447317442,0.012659075914149028,0.11213505456172743,
2019-12-31,9.57,12.82,0.06864502801562515,0.8734569006275492,0.8719784864699228,4.358278373487678,0.5560464203798371,1.0806233105185112,0.4219919265299481,0.7579627729642935,0.07732733667958963,0.9253918458599362,13.896285938509763,0.05362700323671103,0.11387239560002752,1.3989918657320757,0.9151549296068032,17.74908,59348444695.82705,39861485922.57416,9454596279.537457,4589257164.404223,6758149572.649572,808086224.233283,0.19861587403365946,0.013615962951933968,0.11957211297951016,3.753234933249563
2020-12-31,11.24,14.74,0.08556531060359367,1.0145322701450168,1.2429380812649986,7.297805642633226,0.5502991243966516,0.9626084695301415,0.4744248133696078,0.7928598794473624,0.07898107006573443,1.0388439658006643,9.108117949807843,0.09810349283844659,0.10386737207700926,1.3165244873193598,0.9681434279583725,1.62097,64245476370.035194,45646899698.34087,8785179487.179487,5074176470.588235,6673008798.391151,79275766.71694319,0.13692965127854664,0.0012339509518201391,0.011880063268619758,
2021-12-31,11.92,15.49,0.07227326285505391,0.9962938417358951,0.9861524106568685,-73.85465533648308,0.5672371449297511,0.9642446881087072,0.5017856629309886,0.8230727467820996,0.07985948894014086,1.037081160344709,,0.08425517226113653,0.11120850653599795,0.9942408015896832,0.6946433566654848,25.3805,72864516842.63449,53303312719.95978,8056486425.339367,5818923076.923077,8103154097.53645,1057764454.4997486,0.1996615224000974,0.014516866375223522,0.13053737369024412,
