Date,Total Revenue,Gross Profit,Total Operating Expense,Operating Income,Net Income Before Taxes,Net Income Incl Extra Before Distributions,Income Avail to Cmn Shareholders Excl Extra,Income Avail to Cmn Shareholders Incl Extra,Normalized Income Before Taxes,Normalized Income After Taxes,Normalized Income Avail to Cmn Shareholders,Total Interest Expenses,Net Interest Income,Net Interest Income After Loan Loss Provision,Revenue,Revenue,"Cost of Revenue, Total","Selling/General/Administrative Expense, Total",Depreciation And Amortization,Interest/Investment Income - Operating,"Interest Expense (Income), Net-Operating, Ttl",Unusual Expense (Income),"Other Operating Expenses, Total","Interest Expense, Net Non-Operating",Interest/Invest Income - Non-Operating,"Interest Income (Expense), Net-Non-Operating, Total","Non-Interest Income, Bank",Labor And Related Expense,"Non-Interest Expense, Bank","Other, Net - Non-Operating",Total Adjustments to Net Income,Basic Weighted Average Shares,Basic EPS Excluding Extraordinary Items,Basic EPS Including Extraordinary Items,Diluted Net Income,Diluted Weighted Average Shares,Diluted EPS Excluding Extraordinary Items,Diluted EPS Including Extraordinary Items,Dilution Adjustment,Total Special Items,Effect of Special Items on Income Taxes,"Gross Margin, Percent","Operating Margin, Percent","Pretax Margin, Percent","Effective Tax Rate, (%)","Net Profit Margin, (%)",Normalized EBIT,Normalized EBITDA,Bank Total Revenue,Net Sales,Interest & Fees on Loans,Interest And Dividends on Investment Secs,Interest on Deposits,Other Interest Income,"Interest Income, Bank",Cost of Revenue,Cost of Revenue,Interest on Deposit,Interest on Other Borrowings,Loan Loss Provision,Selling/General/Administrative Expense,Advertising Expense,"Depreciation, Operating","Amortization of Intangibles, Operating",Investment Income - Operating,Impairment - Assets Held for Use,Impairment - Assets Held for Sale,Other Unusual Expense (Income),Other Operating Expense,"Other, Net - Operating",Interest Expense - Non-Operating,Interest Income - Non-Operating,Investment Income - Non-Operating,Gain (Loss) on Sale of Assets,Fees & Commissions from Operations,Investment Securities Gains,Foreign Currency Gains,Other Unusual Income,Other Revenue,Depreciation Expense,Other Unusual Expense,Other Expense,Other Non-Operating Income (Expense),Provision for Income Taxes,Net Income After Taxes,Minority Interest,Net Income Before Extraordinary Items,Miscellaneous Earnings Adjustment,DPS - Common Stock Primary Issue,Gross Dividends - Common Stock,"Interest Expense, Supplemental","Depreciation, Supplemental","Advertising Expense, Supplemental","Stock-Based Compensation, Supplemental",Income Tax Excluding Impact of Special Items,Basic Normalized EPS,Diluted Normalized EPS,"Amort of Intangibles, Supplemental","Rental Expense, Supplemental","Equity in Affiliates, Supplemental","Minority Interest, Supplemental","Audit Fees, Supplemental","Audit-Related Fees, Supplemental","All Other Fees Paid to Auditor, Supplemental",Current Tax - Domestic,Current Tax - Other,Current Tax - Total,Current Tax - Total,Deferred Tax - Domestic,Deferred Tax(No Breakdown)-Total,Deferred Tax - Total,Other Tax,Income Tax - Total,Interest Cost - Domestic,Service Cost - Domestic,Expected Return on Assets - Domestic,Actuarial Gains and Losses - Domestic,Domestic Pension Plan Expense,Defined Contribution Expense - Domestic,Total Pension Expense,Total Plan Interest Cost,Total Plan Service Cost,Total Plan Expected Return,OAPermID
2010-12-31,,,,,3764522000,3008809000,3008809000,3008809000,3765223000,3010910560,3009369560,4563572000,4430918000,3906126000,,6986496000,,,,,,,,,,,2555578000,,-2697182000,,,4662800000,0.64528,0.64528,3008809000,4662800000,0.64528,0.64528,,701000,140440,,,41.85365,20.03367,33.45169,,,6986496000,,4261211000,4501680000,122401000,109198000,8994490000,,,4261432000,302140000,524792000,,,,,,,,,,,,,,,1571991000,1059000,45566000,,902212000,,,-2697182000,,754172000,3010350000,-1541000,3008809000,,0.12224,570000000,,105948000,120488000,,754312440,0.6454,0.6454,22113000,79179000,,-1541000,,,,664138000,,,664138000,90034000,,90034000,,754172000,,,,,,,,,,,4295893638
2011-12-31,,,,,3205181000,2536375000,2536375000,2536375000,3205522000,2535394710,2536644710,5321916000,4151729000,3492604000,,6653040000,,,,,,,,,,,2501311000,,-2788734000,,,4662800000,0.54396,0.54396,2536375000,4662800000,0.54396,0.54396,,341000,71290,,,33.83261,20.9054,26.77296,,,6653040000,,5239287000,4057835000,56672000,119851000,9473645000,,,4735747000,586169000,659125000,,,,,,,,,,,,,,,1905235000,3596000,-356440000,,704835000,,-341000,-2788393000,,670056000,2535125000,1250000,2536375000,,0.08965,418000000,,110835000,86556000,,670127290,0.54402,0.54402,30965000,100593000,,1250000,,,,642740000,,,642740000,27316000,,27316000,,670056000,,,,,,,,,,,4295893638
2012-12-31,,,,,3876610000,3004910000,3004910000,3004910000,3878062000,3006073520,3006035520,6291675000,5357800000,4236911000,,8282636000,,,,,,,,,,,2924836000,,-3285137000,,,4662800000,0.64444,0.64444,3004910000,4662800000,0.64444,0.64444,,1452000,326480,,,33.27712,22.48516,25.79438,,,8282636000,,7345599000,4094443000,68441000,140992000,11649475000,,,5487464000,804211000,1120889000,,,,,,,,,,,,,,,2105554000,730000,541118000,,415363000,,-1452000,-3283685000,,871662000,3004948000,-38000,3004910000,,0.1201,570000000,,117082000,101962000,,871988480,0.64468,0.64468,39986000,127776000,,-38000,,,,857535000,,,857535000,14127000,,14127000,,871662000,,,,,,,,,,,4295893638
2013-12-31,,,,,4063981000,3077177000,3077177000,3077177000,4064737000,3077753430,3077749430,5510286000,6381547000,4444999000,,10741245000,,,,,,,,,,,4359698000,,-4740716000,,,4662819840,0.65994,0.65994,3077177000,4662819840,0.65994,0.65994,,756000,183570,,,34.17455,24.28161,25.87639,,,10741245000,,8317433000,3311800000,58233000,204367000,11891833000,,,4690553000,819733000,1936548000,,,,-47200000,,,,,,,,,,,2523649000,4970000,,,418409000,-123689000,-756000,-3647409000,,986800000,3077181000,-4000,3077177000,,0.10011,,,123689000,,,986983570,0.66006,0.66006,47200000,146380000,,-4000,,,,,,707290000,707290000,,279510000,279510000,,986800000,,,,,,,,,,,4295893638
2014-12-31,,,,,4333492000,3378639000,3378639000,3378639000,4333998000,3379040510,3379033510,7470308000,7220278000,5143420000,,11925492000,,,,,,,,,,,4705214000,-1484508000,-5515142000,,,4662819840,0.72459,0.72459,3378639000,4662819840,0.72459,0.72459,,506000,111490,,,29.49843,22.0341,22.99867,,,11925492000,,10595948000,3718611000,100423000,275604000,14690586000,,,6459567000,1010741000,2076858000,,,,-65026000,,,,,,,,,,,2832387000,1381000,516327000,,633895000,-136608000,-506000,-2515467000,,954846000,3378646000,-7000,3378639000,,0.12216,,,136608000,108291000,,954957490,0.72468,0.72468,65026000,164220000,,-7000,,,,,,1109941000,1109941000,,-155095000,-155095000,,954846000,,,,,,,,,,,4295893638
2015-12-31,,,,,4179072000,3229357000,3229357000,3229357000,4179398000,3229617920,3229608920,8266368000,7588705000,5367623000,,11805414000,,,,,,,,,,,4216709000,-1671033000,-5405260000,,,4662819840,0.69258,0.69258,3229357000,4662819840,0.69258,0.69258,,326000,74080,,,26.35795,22.72528,20.36797,,,11805414000,,12367124000,2909443000,189103000,389403000,15855073000,,,7060955000,1205413000,2221082000,,,,-79184000,,,,,,,,,,,2953752000,2275000,420620000,,613927000,-143616000,-326000,-2930492000,,949706000,3229366000,-9000,3229357000,,0.12868,,,143616000,120577000,,949780080,0.69263,0.69263,79184000,177543000,,-9000,,,,,,919344000,919344000,,30362000,30362000,,949706000,,,,,,,,,,,4295893638
2015-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4295893638
2016-12-31,,,,,6200882000,4854168000,4854168000,4854168000,6200904000,4854196220,4854185220,10471166000,8490469000,6240293000,,13694736000,,,,,,,,,,,5204267000,-1798580000,-5243678000,,,4662819840,1.04104,1.04104,4854168000,4662819840,1.04104,1.04104,,22000,4780,,,32.70225,21.71793,25.59994,,,13694736000,,15053409000,3189980000,129844000,588402000,18961635000,,,9047815000,1423351000,2250176000,,,,-86616000,,,,,,,,,,,3111647000,999707000,,,907467000,-130463000,-22000,-2991482000,,1346703000,4854179000,-11000,4854168000,,0.19302,,,130463000,131620000,,1346707780,1.04104,1.04104,86616000,187913000,,-11000,,,,,,1069329000,1069329000,,277374000,277374000,,1346703000,,,,20240000,20240000,,20240000,,,,4295893638
2017-12-31,,,,,7654235000,6020273000,6020273000,6020273000,7656439000,6022015510,6022006510,13096669000,11292799000,8850887000,,16844187000,,,,,,,,,,,5551388000,-1968533000,-6748040000,,,4662819840,1.29112,1.29112,6020273000,4662819840,1.29112,1.29112,,2204000,470490,,,31.38336,21.34705,24.6839,,,16844187000,,19181610000,4220083000,285339000,702436000,24389468000,,,11124360000,1972309000,2441912000,,,,-121826000,,,,,,,,,,,3684347000,2658000,388320000,,1247964000,-153953000,-2204000,-3355160000,,1633953000,6020282000,-9000,6020273000,,0.34314,,,153953000,139861000,,1634423490,1.29149,1.29149,121826000,205539000,,-9000,,,,,,1654953000,1654953000,,-21000000,-21000000,,1633953000,,,,53510000,53510000,,53510000,,,,4295893638
2017-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4295893638
