Date,Total Revenue,Gross Profit,Total Operating Expense,Operating Income,Net Income Before Taxes,Net Income Incl Extra Before Distributions,Income Avail to Cmn Shareholders Excl Extra,Income Avail to Cmn Shareholders Incl Extra,Normalized Income Before Taxes,Normalized Income After Taxes,Normalized Income Avail to Cmn Shareholders,Total Interest Expenses,Net Interest Income,Net Interest Income After Loan Loss Provision,Revenue,Revenue,"Cost of Revenue, Total","Selling/General/Administrative Expense, Total",Depreciation And Amortization,Interest/Investment Income - Operating,"Interest Expense (Income), Net-Operating, Ttl",Unusual Expense (Income),"Other Operating Expenses, Total","Interest Expense, Net Non-Operating",Interest/Invest Income - Non-Operating,"Interest Income (Expense), Net-Non-Operating, Total","Non-Interest Income, Bank",Labor And Related Expense,"Non-Interest Expense, Bank","Other, Net - Non-Operating",Total Adjustments to Net Income,Basic Weighted Average Shares,Basic EPS Excluding Extraordinary Items,Basic EPS Including Extraordinary Items,Diluted Net Income,Diluted Weighted Average Shares,Diluted EPS Excluding Extraordinary Items,Diluted EPS Including Extraordinary Items,Dilution Adjustment,Total Special Items,Effect of Special Items on Income Taxes,"Gross Margin, Percent","Operating Margin, Percent","Pretax Margin, Percent","Effective Tax Rate, (%)","Net Profit Margin, (%)",Normalized EBIT,Normalized EBITDA,Bank Total Revenue,Net Sales,Interest & Fees on Loans,Interest And Dividends on Investment Secs,Interest on Deposits,Other Interest Income,"Interest Income, Bank",Cost of Revenue,Cost of Revenue,Interest on Deposit,Interest on Other Borrowings,Loan Loss Provision,Selling/General/Administrative Expense,Advertising Expense,"Depreciation, Operating","Amortization of Intangibles, Operating",Investment Income - Operating,Impairment - Assets Held for Use,Impairment - Assets Held for Sale,Other Unusual Expense (Income),Other Operating Expense,"Other, Net - Operating",Interest Expense - Non-Operating,Interest Income - Non-Operating,Investment Income - Non-Operating,Gain (Loss) on Sale of Assets,Fees & Commissions from Operations,Investment Securities Gains,Foreign Currency Gains,Other Unusual Income,Other Revenue,Depreciation Expense,Other Unusual Expense,Other Expense,Other Non-Operating Income (Expense),Provision for Income Taxes,Net Income After Taxes,Minority Interest,Net Income Before Extraordinary Items,Miscellaneous Earnings Adjustment,DPS - Common Stock Primary Issue,Gross Dividends - Common Stock,"Interest Expense, Supplemental","Depreciation, Supplemental","Advertising Expense, Supplemental","Stock-Based Compensation, Supplemental",Income Tax Excluding Impact of Special Items,Basic Normalized EPS,Diluted Normalized EPS,"Amort of Intangibles, Supplemental","Rental Expense, Supplemental","Equity in Affiliates, Supplemental","Minority Interest, Supplemental","Audit Fees, Supplemental","Audit-Related Fees, Supplemental","All Other Fees Paid to Auditor, Supplemental",Current Tax - Domestic,Current Tax - Other,Current Tax - Total,Current Tax - Total,Deferred Tax - Domestic,Deferred Tax(No Breakdown)-Total,Deferred Tax - Total,Other Tax,Income Tax - Total,Interest Cost - Domestic,Service Cost - Domestic,Expected Return on Assets - Domestic,Actuarial Gains and Losses - Domestic,Domestic Pension Plan Expense,Defined Contribution Expense - Domestic,Total Pension Expense,Total Plan Interest Cost,Total Plan Service Cost,Total Plan Expected Return,OAPermID
2011-10-31,,,,,3805000000,2867000000,2690000000,2690000000,3805000000,2878000000,2690000000,4971000000,7062000000,5918000000,,12435000000,,,,,,,,,,,5373000000,-4052000000,-7486000000,,-177000000,792466000,3.39447,3.39447,2728000000,813392000,3.35386,3.35386,38000000,,,,,31.62137,24.36268,22.35519,,,12435000000,,10184000000,1421000000,63000000,,12033000000,,,3843000000,476000000,1144000000,,,,,,,,,,,,,,,2101000000,,204000000,,394000000,,,-3434000000,,927000000,2878000000,-11000000,2867000000,,1.755,1391000000,,213000000,213000000,7000000,927000000,3.39447,3.35386,140000000,384000000,111000000,-11000000,17900000,2600000,100000,216000000,37000000,,409000000,273000000,,518000000,,927000000,260000000,150000000,-292000000,1000000,119000000,89000000,246000000,289000000,159000000,-292000000,4295860600
2011-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4295860600
2012-10-31,,,,,3992000000,3294000000,3136000000,3136000000,3992000000,3303000000,3136000000,4581000000,7326000000,6035000000,,12485000000,,,,,,,,,,,5159000000,-4090000000,-7202000000,,-158000000,807370000,3.88422,3.88422,3136000000,808290000,3.8798,3.8798,,,,,,33.5265,17.25952,26.33745,,,12485000000,,10020000000,1522000000,42000000,,11907000000,,,3630000000,462000000,1291000000,,,,,,,,,,,,,,,2057000000,,91000000,,551000000,,,-3112000000,,689000000,3303000000,-9000000,3294000000,,1.82,1470000000,,357000000,233000000,7000000,689000000,3.88422,3.8798,,389000000,155000000,-9000000,,,,629000000,-92000000,,537000000,,,152000000,,689000000,,,,,,,,,,,4295860600
2013-10-31,,,,,3976000000,3352000000,3253000000,3253000000,3976000000,3350000000,3253000000,4358000000,7453000000,6332000000,,12718000000,,,,,,,,,,,5265000000,-4324000000,-7621000000,,-99000000,801760000,4.05732,4.05732,3253000000,802522000,4.05347,4.05347,,,,,,33.66353,15.74447,27.54212,,,12718000000,,9795000000,1631000000,38000000,,11811000000,,,3679000000,243000000,1121000000,,,,,,,,,,,,,,,2250000000,,44000000,,509000000,,,-3297000000,,626000000,3350000000,2000000,3352000000,,1.9,1523000000,,354000000,236000000,5000000,626000000,4.05732,4.05347,,386000000,140000000,2000000,13400000,3200000,400000,673000000,-96000000,,577000000,,,49000000,,626000000,,,,,,,,,,,4295860600
2014-10-31,,,,,3914000000,3218000000,3131000000,3131000000,3914000000,3215000000,3131000000,4018000000,7459000000,6522000000,,13363000000,,,,,,,,,,,5904000000,-4636000000,-8512000000,,-87000000,795240000,3.93718,3.93718,3131000000,796840000,3.92927,3.92927,0,,,,,34.10299,17.85897,27.28065,,,13363000000,,9504000000,1628000000,25000000,,11477000000,,,3337000000,227000000,937000000,,,,,,,,,,,,,,,2492000000,,43000000,,990000000,,,-3876000000,,699000000,3215000000,3000000,3218000000,,1.97,1567000000,,658000000,285000000,7000000,699000000,3.93718,3.92927,155000000,407000000,226000000,3000000,14200000,2000000,100000,669000000,-27000000,,642000000,,,57000000,,699000000,286000000,194000000,-305000000,,175000000,7000000,223000000,316000000,205000000,-305000000,4295860600
2014-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4295860600
2015-10-31,,,,,4224000000,3576000000,3531000000,3531000000,4644000000,3946960230,3887960230,3568000000,7915000000,7144000000,,13856000000,,,,,,,,,,,5941000000,-5099000000,-8861000000,,-45000000,794426000,4.44472,4.44472,3531000000,795664000,4.4378,4.4378,,,,,,36.78481,15.00947,30.7498,,,13856000000,,9573000000,1524000000,76000000,,11483000000,,,2990000000,238000000,771000000,,,,,,,,,,,,,,,2672000000,,92000000,,597000000,,,-3342000000,,634000000,3590000000,-14000000,3576000000,,2.15,1708000000,,249000000,281000000,5000000,697039770,4.89405,4.88643,186000000,432000000,177000000,-14000000,15900000,3200000,300000,713000000,-18000000,,695000000,,,-61000000,,634000000,292000000,210000000,-299000000,,203000000,10000000,261000000,322000000,223000000,-299000000,4295860600
2015-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420000000,63039770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-420000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4295860600
2016-10-31,,,,,5013000000,4275000000,4237000000,4237000000,5013000000,4295000000,4237000000,3726000000,8366000000,7315000000,,15035000000,,,,,,,,,,,6669000000,-4982000000,-8971000000,,-38000000,790778000,5.35801,5.35801,4237000000,791838000,5.35084,5.35084,0,,,,,41.45716,14.32276,35.0397,,,15035000000,,9833000000,1774000000,156000000,,12092000000,,,3215000000,185000000,1051000000,,,,,,,,,,,,,,,2636000000,,367000000,,832000000,,,-3989000000,,718000000,4295000000,-20000000,4275000000,,2.375,1879000000,,258000000,269000000,5000000,718000000,5.35801,5.35084,204000000,445000000,96000000,-20000000,16400000,2200000,0,782000000,-44000000,,738000000,,,-20000000,,718000000,293000000,185000000,-319000000,,159000000,0,204000000,321000000,196000000,-319000000,4295860600
2016-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4295860600
2017-10-31,,,,,5880000000,4699000000,4647000000,4647000000,5880000000,4718000000,4647000000,4616000000,8977000000,8148000000,,16280000000,,,,,,,,,,,7303000000,-5198000000,-9571000000,,-52000000,825272000,5.63087,5.63087,4647000000,827126000,5.61825,5.61825,,,,,,43.25756,19.7619,34.18671,,,16280000000,,11028000000,1890000000,180000000,,13593000000,,,3953000000,183000000,829000000,,,,,,,,,,,,,,,2765000000,,252000000,,796000000,,,-4373000000,,1162000000,4718000000,-19000000,4699000000,,2.54,2121000000,,255000000,282000000,7000000,1162000000,5.63087,5.61825,287000000,476000000,101000000,-19000000,21100000,2600000,100000,1160000000,-19000000,,1141000000,,,21000000,,1162000000,273000000,214000000,-279000000,,214000000,128000000,381000000,298000000,228000000,-279000000,4295860600
2018-10-31,,,,,6706000000,5267000000,5178000000,5178000000,6811000000,5366734860,5260734860,7440000000,10065000000,9195000000,,17834000000,,,,,,,,,,,7769000000,-5665000000,-10258000000,,-89000000,886164000,5.84316,5.84316,5178000000,889254000,5.82286,5.82286,,105000000,22265140,,,38.30905,21.20489,29.58012,,,17834000000,,13901000000,2269000000,282000000,,17505000000,,,6240000000,192000000,870000000,,,,,,,,,,,,,,,2858000000,,310000000,,574000000,,,-4593000000,,1422000000,5284000000,-17000000,5267000000,,2.66,2356000000,,257000000,327000000,31000000,1444265140,5.93653,5.9159,400000000,494000000,121000000,-17000000,26000000,2500000,100000,1392000000,-39000000,,1353000000,,,69000000,,1422000000,281000000,223000000,-294000000,,216000000,151000000,405000000,306000000,236000000,-294000000,4295860600
2019-10-31,,,,,6469000000,5096000000,4985000000,4985000000,6649000000,5263491880,5127491880,10146000000,10551000000,9265000000,,18611000000,,,,,,,,,,,8060000000,-5726000000,-10856000000,,-111000000,888648000,5.60965,5.60965,4985000000,890914000,5.59538,5.59538,0,180000000,37508120,,,31.25574,20.83784,24.08562,,,18611000000,,16048000000,2779000000,396000000,,20697000000,,,8422000000,235000000,1286000000,,,,,,,,,,,,,,,2816000000,,304000000,,519000000,,,-5130000000,,1348000000,5121000000,-25000000,5096000000,,2.8,2488000000,,398000000,359000000,16000000,1385508120,5.76999,5.75532,440000000,499000000,92000000,-25000000,22300000,1700000,100000,1365000000,-125000000,,1240000000,,,108000000,,1348000000,303000000,218000000,-323000000,,198000000,150000000,383000000,327000000,229000000,-323000000,4295860600
