Date,Total Current Assets,Total Liabilities,Total Debt,Total Current Liabilities,Total Equity,Total Liabilities And Shareholders' Equity,Tangible Book Value - Reported,Tangible Book Value - Utility,Tangible Book Value - Insurance,Tangible Book Value - Banks,Total Common Shares Outstanding,"Total Receivables, Net",Total Inventory,"Other Current Assets, Total","Other Earning Assets, Total",Net Loans,"Property/Plant/Equipment, Total - Net","Goodwill, Net","Intangibles, Net","Other Assets, Total","Total Assets, Reported",Fed Funds Purchased / Security Sold Under Repurchase Agreement,Total Short Term Borrowings,"Other Current liabilities, Total","Other Liabilities, Total","Common Stock, Total","Other Equity, Total","Accounts Receivable - Trade, Net",Total Investment Securities,"Property, Plant And Equipment, Total - Gross",Cash,Cash and Equivalents,Cash and Equivalents,"Accounts Receivable - Trade, Gross",Provision for Doubtful Accounts,Receivables - Other,Prepaid Expenses,Other Current Assets,Cash & Due From Banks,Fed Funds Sold/Scty Prchd Under Resale Agrmnt,Other Short Term Investments,Securities Held To Maturity,Securities for Sale,Total Gross Loans,Loan Loss Allowances,Building - Gross,Land/Improvements - Gross,Machinery/Equipment - Gross,Construction in Progress - Gross,Other Property/Plant/Equipment - Gross,"Accumulated Depreciation, Total",Accumulated Intangible Amortization,Interest Receivable,Other Assets,Accounts Payable,Accrued Expenses,Interest Bearing Deposits,Total Deposits,Other Short Term Borrowings,Dividends Payable,Customer Advances,Income Taxes Payable,Other Payables,Other Current Liabilities,Capital Lease Obligations,Reserves,Pension Benefits - Underfunded,Other Liabilities,Common Stock,Additional Paid-In Capital,Retained Earnings (Accumulated Deficit),Treasury Stock - Common,Unrealized Gain (Loss),Translation Adjustment,Other Equity,Other Comprehensive Income,Shares Out - Common Stock Primary Issue,Treas Shares - Common Stock Prmry Issue,Full-Time Employees,Deferred Revenue - Current,Total Risk-Weighted Capital,Trading Account,Non-Performing Loans,Total Current Assets less Inventory,Quick Ratio,Current Ratio,Net Debt Incl. Pref.Stock & Min.Interest,Tangible Book Value Per Share,Pension Obligation - Domestic,Plan Assets - Domestic,Funded Status - Domestic,Total Funded Status,LT Investment - Affiliate Companies,LT Investments - Other,Long Term Investments,Note Receivable - Long Term,Deferred Income Tax - LT Asset,Restricted Cash - Long Term,Other Long Term Assets,Minority Interest,Other Long Term Liabilities,Long Term Debt Maturing within 1 Year,Long Term Debt Maturing in Year 2,Long Term Debt Maturing in Year 3,Long Term Debt Maturing in Year 4,Long Term Debt Maturing in Year 5,Long Term Debt Maturing in Years 2 and 3,Long Term Debt Maturing in Years 4 and 5,Long Term Debt Maturing in Year 6 and Beyond,Total Plan Obligations,Total Plan Assets,Short Term Investments,Cash and Short Term Investments,Notes Receivable - Short Term,"Intangibles, Gross","Other Long Term Assets, Total",Notes Payable/Short Term Debt,Notes Payable/Short Term Debt,Current Port. of LT Debt/Capital Leases,Long Term Debt,Total Long Term Debt,Deferred Income Tax - LT Liability,Number of Common Shareholders,"Accumulated Intangible Amort, Suppl.",Deferred Revenue - Long Term,Tier 1 Capital %,"Total Capital, Percent","Total Long Term Debt, Supplemental",Operating Lease Payments Due in Year 1,Operating Lease Payments Due in Year 2,Operating Lease Payments Due in Year 3,Operating Lease Payments Due in Year 4,Operating Lease Payments Due in Year 5,Operating Lease Payments Due in Years 2 and 3,Operating Lease Payments Due in Years 4 and 5,Oper Lease Pmnts Due in Years 6 and Beyond,"Total Operating Leases, Supplemental","Discount Rate - Domestic, (%)","Compensation Rate - Domestic, (%)",Accrued Liabilities - Domestic,OAPermID
2010-12-31,,2659793000,1823876000,,3629360000,6289153000,3628970000,3628970000,3628970000,3628970000,2000000000,,,,1217278000,,7323000,,390000,18253000,6289153000,,1630871000,1384000,803059000,2000000000,8582000,,906905000,,,,5045909000,,,,,,5045909000,,310373000,891703000,15202000,,,,,,,,,,,18253000,15305000,16169000,,,1630871000,,,1384000,,,,,,803059000,2000000000,,1620778000,,,,8582000,,2000000000,,,,444791000,,,,,,,1.81449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1630871000,,193005000,193005000,,,,,,142.8,,,,,,,,,,,,,,4297147213
2011-12-31,,6012807000,4517613000,,3647256000,9660063000,3646690000,3646690000,3646690000,3646690000,2000000000,,,,1006152000,,8891000,,566000,36057000,9660063000,,4309860000,2377000,1098524000,2000000000,3630000,,522731000,,,,8608397000,,,,,,8608397000,,483421000,511436000,11295000,,,,,,,,,,,36057000,42479000,18362000,,333452000,4309860000,,,2377000,,,,,,1098524000,2000000000,,1643626000,,,,3630000,,2000000000,,,,782498000,,,,,,,1.82335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4309860000,,207753000,207753000,,,,,,95.91,,,,,,,,,,,,,,4297147213
2012-12-31,,11793103000,9137550000,,3675364000,15468467000,3674906000,3674906000,3674906000,3674906000,2000000000,,,,1227360000,,18575000,,458000,49675000,15468467000,,8973788000,3067000,2494635000,2000000000,10282000,,319569000,,,,14171172000,,,,,,14171172000,,907791000,300349000,19220000,,,,,,,,,,,49675000,126674000,21171000,,10006000,8973788000,,,3067000,,,,,,2494635000,2000000000,,1665082000,,,,10282000,,2000000000,,,,112383000,,,,,,,1.83745,,,,,,,,,,,,,,,,,,,,,,,,,,,,1227000,,8973788000,,163762000,163762000,,,,,,25.12,,,,,,,,,,,,,,4297147213
2013-12-31,,20907897000,17332911000,,3901865000,24809762000,3901325000,3901325000,3901325000,3901325000,2200000000,,,,427768000,,18066000,0,540000,306435000,24809762000,,17173936000,3908000,2952073000,2200000000,8221000,,255722000,,,,24054421000,,,,,,24054421000,,172046000,238371000,17351000,,,,,,,,,,,306435000,434107000,20953000,,163945000,17173936000,,,3908000,,,,151162000,,2800911000,2200000000,,1693644000,,,,8221000,,2200000000,0,,,,,,,,,,1.77333,,,,,,,,,,,,,,,,,,,,,,,,,,,,2532000,,17173936000,,158975000,158975000,,,,,,,,,,,,,,,,,,,,4297147213
2014-12-31,,29427362000,24389412000,,4314915000,33742277000,4313040000,4313040000,4313040000,4313040000,2400000000,,,,464521000,,17766000,0,1875000,376603000,33742277000,,24253603000,4682000,4296904000,2400000000,11383000,,317492000,,,,32881512000,,,,,,32881512000,,147029000,296954000,20538000,,,,,,,,,,,376603000,492076000,24224000,,220064000,24253603000,,,4682000,,,,158544000,,4138360000,2400000000,,1903532000,,,,11383000,,2400000000,0,,,,,,,,,,1.7971,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,24253603000,,135809000,135809000,,,,,,,,,,,,,,,,,,,,4297147213
2015-12-31,,39657090000,33110476000,,4780705000,44437795000,4778475000,4778475000,4778475000,4778475000,2500000000,,,,288324000,,13189000,0,2230000,809297000,44437795000,,32988885000,5608000,5397706000,2500000000,9219000,,274019000,,,,43324755000,,,,,,43324755000,,14305000,255968000,18051000,,,,,,,,,,,809297000,898347000,44953000,,200000000,32988885000,,,5608000,,,,178969000,,5218737000,2500000000,,2271486000,,,,8886000,333000,2500000000,0,,,,,,,,,,1.91139,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,32988885000,,121591000,121591000,,,,,,,,,,,,,,,,,,,,4297147213
2016-12-31,,63075580000,51848452000,,5200734000,68276314000,5197975000,5197975000,5197975000,5197975000,3700000000,,,,619445000,,7404000,0,2759000,3147903000,68276314000,,51760167000,8240000,8351057000,3700000000,11526000,,119673000,,,,64498803000,,,,,,64498803000,,499772000,98549000,21124000,,,,,,,,,,,3147903000,2747448000,51383000,,69000000,51760167000,,,8240000,,,,178846000,,8172211000,3700000000,,1489208000,,,,11960000,-434000,3700000000,0,,,,,,,,,,1.40486,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,51760167000,,88285000,88285000,,,,,13.09,,,,,,,,,,,,,,,4297147213
2017-12-31,,79601106000,67784617000,,5774083000,85375189000,5768028000,5768028000,5768028000,5768028000,4800000000,,,,1071969000,,5430000,0,6055000,1305948000,85375189000,,67753021000,9962000,10928460000,4800000000,19642000,,210779000,,,,82985697000,,,,,,82985697000,,861190000,180461000,30318000,,,,,,,,,,,1305948000,665814000,60253000,,152000000,67753021000,,,9962000,,,,208166000,,10720294000,4800000000,,954441000,,,,21154000,-1512000,4800000000,0,,,,,,,,,,1.20167,,,,,,,,,,,,,,,,,,,,,,,,,,,,90000,,67753021000,,31596000,31596000,,,,,13.25,,,,,,,,,,,,,,,4297147213
2017-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4297147213
2018-12-31,,131775043000,111726078000,,7654051000,139429094000,7647045000,7647045000,7647045000,7647045000,6350000000,,,,4207170000,,5807000,0,7006000,1699037000,139429094000,,108730948000,14752000,19819811000,6350000000,60515000,,3249722000,,,,133510074000,,,,,,133510074000,,957448000,3249722000,,,,,,,,,,,,1699037000,,75397000,,139005000,108730948000,,,14752000,,,,248702000,,19571109000,6350000000,,1243545000,,-9000,,,60515000,6350000000,0,,,,,,,,,,1.20426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108730948000,,2995130000,2995130000,,,,,13.36,,,,,,,,,,,,,,,4297147213
