Date,"Net Income/Starting Line, Cumulative","Cash from Operating Activities, Cumulative","Cash from Investing Activities, Cumulative","Cash from Financing Activities, Cumulative","Net Change in Cash, Cumulative","Depreciation / Depletion, Cumulative","Amortization, Cumulative",Non-Cash Items,"Changes in Working Capital, Cumulative","Capital Expenditures, Cumulative","Total Cash Dividends Paid, Cumulative","Common Stock Issued (Retired), Net","Issuance (Retirement) of Stock, Net, Cumulative","Short Term Debt Issued (Reduced), Net","Long Term Debt Issued (Reduced), Net","Issuance (Retirement) of Debt, Net, Cumulative",Accounts Receivable (CF),"Depreciation (CF), Cumulative",Amortization of Intangibles (CF),Unusual Items (CF),Equity in Net Earnings (Loss) (CF),Other Non-Cash Items,Cash Receipts,Cash Payments,Cash Taxes Paid,"Cash Interest Paid, Supplemental, Cumulative",Net Changes in Working Capital,Loan Loss Provision,Inventories (CF),Prepaid Expenses (CF),Other Assets (CF),Accounts Payable (CF),Payable / Accrued (CF),Other Liabilities (CF),Other Operating Cash Flow,"Investment Securities, Gains/Losses (CF)","Loans, Gains/Losses (CF)","Purchase of Fixed Assets, Cumulative",Purchase/Acquisition of Intangibles,Acquisition of Business,Sale of Business,Sale of Fixed Assets,Sale/Maturity of Investment,"Investment, Net (CF)",Purchase of Investments,Other Investing Cash Flow,"Other Investing Cash Flow Items, Total, Cumulative",Other Financing Cash Flow,Financing Cash Flow Items,Cash Dividends Paid - Common,Sale/Issuance of Common,Repurchase/Retirement of Common,Short Term Debt Reduction,Long Term Debt Issued,Long Term Debt Reduction,Total Debt Issued,"Foreign Exchange Effects, Cumulative",Net Cash - Beginning Balance,Net Cash - Ending Balance,OAPermID
2010-12-31,229000000,-855000000,138000000,-775000000,-1492000000,72000000,,1150000000,-2306000000,-17000000,-107000000,,,-53000000,-615000000,-668000000,,72000000,,910000000,,240000000,,,79000000,,-2249000000,,,,-2991000000,,,743000000,-57000000,,,-17000000,,-28000000,14000000,2000000,167000000,,0,,155000000,0,0,-107000000,,,-130000000,45401000000,-46016000000,,,3250000000,1758000000,4295866371
2011-12-31,215000000,4604000000,180000000,-1932000000,2853000000,57000000,,364000000,3968000000,-34000000,-126000000,,,-207000000,-1599000000,-1806000000,,57000000,,471000000,,-107000000,,,83000000,,4012000000,,,,-1281000000,,,5293000000,-44000000,,,-34000000,,-4000000,0,1000000,217000000,,,,214000000,0,0,-126000000,,,-388000000,36482000000,-38081000000,,,1758000000,4612000000,4295866371
2012-12-31,283000000,2769000000,275000000,-1479000000,1565000000,,,730000000,1756000000,-44000000,-129000000,,,228000000,-1579000000,-1351000000,,,,169000000,,561000000,,,65000000,,1777000000,,,,1638000000,,,139000000,-21000000,,,-44000000,,-3000000,,2000000,320000000,,,,319000000,1000000,1000000,-129000000,,,-274000000,22516000000,-24095000000,,,4612000000,6177000000,4295866371
2013-12-31,426000000,-5681000000,83000000,2092000000,-3506000000,,,-660000000,-5447000000,-45000000,-145000000,,,-271000000,2507000000,2236000000,,,,-337000000,,-323000000,,,126000000,,-5374000000,,,,-2075000000,,,-3299000000,-73000000,,,-45000000,,-4000000,,3000000,129000000,,,,128000000,1000000,1000000,-145000000,,,-271000000,24340000000,-21833000000,,,6177000000,2672000000,4295866371
2014-12-31,461000000,719000000,34000000,881000000,1634000000,,,896000000,-638000000,-28000000,-212000000,,,,1093000000,1093000000,,,,405000000,,491000000,,,92000000,,-609000000,,,,-1034000000,,,425000000,-29000000,,,-28000000,,0,,3000000,69000000,,-10000000,,62000000,,,-212000000,,,,34709000000,-33616000000,,,2672000000,4306000000,4295866371
2015-12-31,517000000,2850000000,11000000,1636000000,4497000000,,,700000000,1633000000,-40000000,-137000000,,,627000000,1146000000,1773000000,,,,152000000,,548000000,,,133000000,1580000000,1711000000,,,,-3335000000,,,5046000000,-78000000,,,-40000000,,-13000000,11000000,4000000,70000000,,-20000000,-1000000,51000000,,,-137000000,,,-700000000,27342000000,-26196000000,,,4306000000,8803000000,4295866371
2015-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4295866371
2016-12-31,399000000,569000000,-106000000,367000000,830000000,,,210000000,-40000000,-94000000,-153000000,,,-144000000,664000000,520000000,,,,-62000000,,272000000,,,80000000,1374000000,4000000,,,,-2412000000,,,2416000000,-44000000,,,-94000000,,-33000000,0,6000000,15000000,,0,,-12000000,,,-153000000,,,-144000000,24946000000,-24282000000,,,8803000000,9633000000,4295866371
2016-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4295866371
2017-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4295866371
