Date,"Net Income/Starting Line, Cumulative","Cash from Operating Activities, Cumulative","Cash from Investing Activities, Cumulative","Cash from Financing Activities, Cumulative","Net Change in Cash, Cumulative","Depreciation / Depletion, Cumulative","Amortization, Cumulative",Non-Cash Items,"Changes in Working Capital, Cumulative","Capital Expenditures, Cumulative","Total Cash Dividends Paid, Cumulative","Common Stock Issued (Retired), Net","Issuance (Retirement) of Stock, Net, Cumulative","Short Term Debt Issued (Reduced), Net","Long Term Debt Issued (Reduced), Net","Issuance (Retirement) of Debt, Net, Cumulative",Accounts Receivable (CF),"Depreciation (CF), Cumulative",Amortization of Intangibles (CF),Unusual Items (CF),Equity in Net Earnings (Loss) (CF),Other Non-Cash Items,Cash Receipts,Cash Payments,Cash Taxes Paid,"Cash Interest Paid, Supplemental, Cumulative",Net Changes in Working Capital,Loan Loss Provision,Inventories (CF),Prepaid Expenses (CF),Other Assets (CF),Accounts Payable (CF),Payable / Accrued (CF),Other Liabilities (CF),Other Operating Cash Flow,"Investment Securities, Gains/Losses (CF)","Loans, Gains/Losses (CF)","Purchase of Fixed Assets, Cumulative",Purchase/Acquisition of Intangibles,Acquisition of Business,Sale of Business,Sale of Fixed Assets,Sale/Maturity of Investment,"Investment, Net (CF)",Purchase of Investments,Other Investing Cash Flow,"Other Investing Cash Flow Items, Total, Cumulative",Other Financing Cash Flow,Financing Cash Flow Items,Cash Dividends Paid - Common,Sale/Issuance of Common,Repurchase/Retirement of Common,Short Term Debt Reduction,Long Term Debt Issued,Long Term Debt Reduction,Total Debt Issued,"Foreign Exchange Effects, Cumulative",Net Cash - Beginning Balance,Net Cash - Ending Balance,OAPermID
2010-12-31,13849878520,29039491490,100868540,-3937671530,23996701610,623625720,776303220,627631480,10729920560,-1366654500,-4000000000,,,,,,,623625720,776303220,43130000,-30798360,1449585620,,,5448566110,,16178486670,,,,-36575147160,,,58568698510,-5448566110,15117979550,-20933044230,-488992750,-877661740,-4000000,191146640,128600030,,,,1151776380,1467523040,62328470,62328470,-4000000000,,,,,,,-1205986890,78144044130,102140745740,4298283335
2011-12-31,18681604500,-5953700720,-18026067110,-6324378470,-26691201180,617449750,847290180,-26568446230,-2065335990,-1616932760,-6400000000,,,,,,,617449750,847290180,29920000,-69535680,-21706834950,,,3691618590,,1626282600,,,,-2608597080,,,52823899090,-3691618590,-490522340,-48098497070,-748034070,-868898690,-1350000,6363390050,34285840,,,,-22805460240,-16409134350,75621530,75621530,-6400000000,,,,,,,3612945120,93289093040,66597891850,4298283335
2012-12-31,17822000000,34314000000,1235000000,-19008000000,15028000000,630000000,911000000,-358000000,11549000000,-1791000000,-18650000000,-419000000,-419000000,,,,,630000000,911000000,,-72000000,-157000000,,,5076000000,,8716000000,,,,-18506000000,,,18238000000,2833000000,45606000000,-36622000000,-674000000,-1117000000,0,,2950000000,,,,76000000,3026000000,61000000,61000000,-18650000000,,-419000000,,,,,-1513000000,66598000000,81626000000,4298283335
2012-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4298283335
2013-12-31,20876000000,12215000000,-429000000,-3983000000,8028000000,649000000,970000000,-5159000000,-7973000000,-2255000000,-20850000000,,,,16824000000,16824000000,,649000000,970000000,,-82000000,-3159000000,,,10346000000,,-15544000000,,,,-20348000000,,,49390000000,7571000000,-1410000000,-43052000000,-1322000000,-933000000,-178000000,,,,-509000000,,2513000000,1826000000,43000000,43000000,-20850000000,,,,,,,225000000,81626000000,89654000000,4298283335
2014-12-31,14014000000,14431000000,-2428000000,-3367000000,11544000000,784000000,897000000,-381000000,-4224000000,-2506000000,-3473000000,86000000,86000000,,0,0,,784000000,897000000,,-78000000,-303000000,,,4104000000,,-9685000000,,,,23752000000,,,67163000000,5461000000,-30634000000,-69963000000,-1280000000,-1226000000,0,,8000000,,0,,70000000,78000000,20000000,20000000,-3473000000,86000000,,,,,,2908000000,89654000000,101198000000,4298283335
2014-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4298283335
2015-12-31,14141000000,2596000000,-2890000000,-6787000000,-1360000000,900000000,963000000,-5631000000,-11877000000,-2951000000,-6760000000,,-41000000,,,,,900000000,963000000,,-81000000,-5550000000,,,1199000000,,-18188000000,,,,-12519000000,,,190437000000,6311000000,-118189000000,-77971000000,-1190000000,-1761000000,,,10000000,,,,51000000,61000000,14000000,14000000,-6760000000,,,,,,,5721000000,101198000000,99838000000,4298283335
2016-12-31,15750000000,53484000000,-3034000000,-7166000000,51411000000,952000000,1105000000,-7023000000,38123000000,-3097000000,-17468000000,,0,,10297000000,10297000000,,952000000,1105000000,,,-7023000000,,,8902000000,,40574000000,,,,-20600000000,,,81988000000,-2451000000,21949000000,-42720000000,-1096000000,-2001000000,,,5000000,,,,58000000,63000000,5000000,5000000,-17468000000,,,,,,,8127000000,99838000000,151249000000,4298283335
2017-12-31,17645000000,-46018000000,-4490000000,-9334000000,-63840000000,1009000000,1523000000,4156000000,-74801000000,-4528000000,-8910000000,,-444000000,,0,0,,1009000000,1523000000,,,4156000000,,,4114000000,,-41836000000,,,,-1995000000,,,7782000000,-32965000000,-21350000000,-26268000000,-1816000000,-2712000000,,,3000000,,,,35000000,38000000,20000000,20000000,-8910000000,,,,,,,-3998000000,151249000000,87409000000,4298283335
