Date,"Net Income/Starting Line, Cumulative","Cash from Operating Activities, Cumulative","Cash from Investing Activities, Cumulative","Cash from Financing Activities, Cumulative","Net Change in Cash, Cumulative","Depreciation / Depletion, Cumulative","Amortization, Cumulative",Non-Cash Items,"Changes in Working Capital, Cumulative","Capital Expenditures, Cumulative","Total Cash Dividends Paid, Cumulative","Common Stock Issued (Retired), Net","Issuance (Retirement) of Stock, Net, Cumulative","Short Term Debt Issued (Reduced), Net","Long Term Debt Issued (Reduced), Net","Issuance (Retirement) of Debt, Net, Cumulative",Accounts Receivable (CF),"Depreciation (CF), Cumulative",Amortization of Intangibles (CF),Unusual Items (CF),Equity in Net Earnings (Loss) (CF),Other Non-Cash Items,Cash Receipts,Cash Payments,Cash Taxes Paid,"Cash Interest Paid, Supplemental, Cumulative",Net Changes in Working Capital,Loan Loss Provision,Inventories (CF),Prepaid Expenses (CF),Other Assets (CF),Accounts Payable (CF),Payable / Accrued (CF),Other Liabilities (CF),Other Operating Cash Flow,"Investment Securities, Gains/Losses (CF)","Loans, Gains/Losses (CF)","Purchase of Fixed Assets, Cumulative",Purchase/Acquisition of Intangibles,Acquisition of Business,Sale of Business,Sale of Fixed Assets,Sale/Maturity of Investment,"Investment, Net (CF)",Purchase of Investments,Other Investing Cash Flow,"Other Investing Cash Flow Items, Total, Cumulative",Other Financing Cash Flow,Financing Cash Flow Items,Cash Dividends Paid - Common,Sale/Issuance of Common,Repurchase/Retirement of Common,Short Term Debt Reduction,Long Term Debt Issued,Long Term Debt Reduction,Total Debt Issued,"Foreign Exchange Effects, Cumulative",Net Cash - Beginning Balance,Net Cash - Ending Balance,OAPermID
2010-12-31,1728000000,8077000000,-7956000000,-3456000000,-3335000000,,,10252000000,-3903000000,-854000000,-1633000000,0,0,,-1768000000,-1768000000,,,,15905000000,,-5653000000,,,276000000,,-9090000000,,,,7717000000,,,-22232000000,5187000000,,5425000000,-854000000,,,,167000000,1993000000,,-3320000000,-5942000000,-7102000000,-55000000,-55000000,-1633000000,,,,,,,0,6400000000,3065000000,5000048673
2011-12-31,971000000,2440000000,758000000,-1996000000,1202000000,,,9693000000,-8224000000,-176000000,-1270000000,0,0,,-699000000,-699000000,,,,14293000000,,-4600000000,,,560000000,,-12429000000,,,,519000000,,,-15009000000,4205000000,,2061000000,-176000000,,,,70000000,3753000000,,-2939000000,50000000,934000000,-27000000,-27000000,-1270000000,,,,,,,0,3065000000,4267000000,5000048673
2012-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000048673
2013-12-31,1074000000,-2588000000,991000000,-3432000000,-5029000000,,,-12337000000,8675000000,-235000000,-2462000000,0,0,,-804000000,-804000000,,,,-7706000000,,-4631000000,,,588000000,3000000000,6372000000,,,,1591000000,,,-6987000000,2303000000,,11768000000,-235000000,,,,233000000,2565000000,,-1644000000,72000000,1226000000,-166000000,-166000000,-2462000000,,,,6000000,,,0,15655000000,10626000000,5000048673
2014-12-31,958000000,-3802000000,874000000,-2525000000,-5453000000,,,-7533000000,2773000000,-412000000,-755000000,,,,-1151000000,-1151000000,,,,-4604000000,,-2929000000,,,231000000,2524000000,208000000,,,,2150000000,,,-2559000000,2565000000,,617000000,-412000000,,,,155000000,1465000000,,-641000000,307000000,1286000000,-619000000,-619000000,-755000000,,,,434000000,,,0,10626000000,5173000000,5000048673
2015-12-31,750000000,6767000000,163000000,-660000000,6270000000,,,-8600000000,14617000000,-356000000,-627000000,,,,-105000000,-105000000,,,,-6378000000,,-2222000000,,,4000000,2035000000,11678000000,,,,-48000000,,,15572000000,2939000000,,-3846000000,-356000000,,,,144000000,774000000,,-411000000,12000000,519000000,72000000,72000000,-627000000,,,,12000000,,,0,5173000000,11443000000,5000048673
2016-12-31,157000000,3422000000,-4435000000,-660000000,-1673000000,,,2901000000,364000000,-246000000,-398000000,,,,-98000000,-98000000,,,,7922000000,,-5021000000,,,151000000,1639000000,-2320000000,,,,-1832000000,,,8003000000,2684000000,,-8491000000,-246000000,,,,102000000,925000000,,-5246000000,30000000,-4189000000,-164000000,-164000000,-398000000,,,,2000000,,,0,11443000000,9770000000,5000048673
2017-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000048673
2018-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000048673
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000048673
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000048673
2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000048673
