Date,"Net Income/Starting Line, Cumulative","Cash from Operating Activities, Cumulative","Cash from Investing Activities, Cumulative","Cash from Financing Activities, Cumulative","Net Change in Cash, Cumulative","Depreciation / Depletion, Cumulative","Amortization, Cumulative",Non-Cash Items,"Changes in Working Capital, Cumulative","Capital Expenditures, Cumulative","Total Cash Dividends Paid, Cumulative","Common Stock Issued (Retired), Net","Issuance (Retirement) of Stock, Net, Cumulative","Short Term Debt Issued (Reduced), Net","Long Term Debt Issued (Reduced), Net","Issuance (Retirement) of Debt, Net, Cumulative",Accounts Receivable (CF),"Depreciation (CF), Cumulative",Amortization of Intangibles (CF),Unusual Items (CF),Equity in Net Earnings (Loss) (CF),Other Non-Cash Items,Cash Receipts,Cash Payments,Cash Taxes Paid,"Cash Interest Paid, Supplemental, Cumulative",Net Changes in Working Capital,Loan Loss Provision,Inventories (CF),Prepaid Expenses (CF),Other Assets (CF),Accounts Payable (CF),Payable / Accrued (CF),Other Liabilities (CF),Other Operating Cash Flow,"Investment Securities, Gains/Losses (CF)","Loans, Gains/Losses (CF)","Purchase of Fixed Assets, Cumulative",Purchase/Acquisition of Intangibles,Acquisition of Business,Sale of Business,Sale of Fixed Assets,Sale/Maturity of Investment,"Investment, Net (CF)",Purchase of Investments,Other Investing Cash Flow,"Other Investing Cash Flow Items, Total, Cumulative",Other Financing Cash Flow,Financing Cash Flow Items,Cash Dividends Paid - Common,Sale/Issuance of Common,Repurchase/Retirement of Common,Short Term Debt Reduction,Long Term Debt Issued,Long Term Debt Reduction,Total Debt Issued,"Foreign Exchange Effects, Cumulative",Net Cash - Beginning Balance,Net Cash - Ending Balance,OAPermID
2010-12-31,61120000,172783000,-237084000,238370000,174757000,,,405716000,-294053000,-412021000,,7960000,7960000,,,230410000,,,,874000,,404842000,,,,,-499601000,,,,-331000,,,-33775000,205548000,,,-412021000,,,52517000,124642000,1000,,-1886000,-337000,174937000,,,,7960000,,,,,1312795000,688000,100341000,275098000,4298474369
2011-12-31,163130000,-551009000,-67316000,618039000,-322000,,,310025000,-1024164000,-414115000,,67000000,67000000,,,551039000,,,,-590000,,310615000,,,,,-988711000,,,,-10336000,,,-40128000,-35453000,,,-414115000,,,,349966000,28000,,-1581000,-1614000,346799000,,,,67000000,,,,,3633100000,-36000,275098000,274776000,4298474369
2012-12-31,298911000,-463327000,-89199000,654339000,101332000,,,101432000,-863670000,-922958000,,0,0,,,654339000,,,,110000,,101322000,,,,,-796879000,,,,-621000,,,-45098000,-66791000,,,-922958000,,,,837263000,3754000,,-4405000,-2853000,833759000,,,,0,,,,,7765529000,-481000,274776000,376108000,4298474369
2013-12-31,,-644896000,-328929000,782566000,-186621000,,,55952000,-700848000,-1085549000,,298000000,298000000,,-1052000,484566000,,,,-2949000,,58901000,,,35305000,233922000,-1490070000,,,,-64298000,,,-73953000,789222000,,,-1085549000,,-53396000,,961293000,68000,,-126787000,-24558000,756620000,,,,298000000,,,,-1052000,2621469000,4638000,376108000,189487000,4298474369
2014-12-31,,-599978000,-313958000,1001490000,87440000,,,-584517000,-15461000,-2971502000,,0,0,,-3461000,1001490000,,,,500000,,-585017000,,,24856000,329270000,-761325000,,,,18355000,,,-104309000,745864000,,,-2971502000,,-57962000,,2753858000,0,,-29168000,-9184000,2657544000,,,,0,,,,-3461000,8453904000,-114000,189487000,276927000,4298474369
2015-12-31,,708939000,-170651000,-374980000,163438000,,,415735000,293204000,-5015850000,,0,0,,-1347000,-374980000,,,,1879000,,413856000,,,19757000,396242000,-903063000,,,,-67986000,,,-108949000,1196267000,,,-5015850000,,-23750000,,4815158000,136015000,,-60107000,-22117000,4845199000,,,,0,,,,-1347000,8826756000,130000,276927000,440365000,4298474369
2016-12-31,,364221000,-355446000,538003000,542949000,,,803854000,-439633000,-5367685000,,0,0,,-4860000,538003000,,,,574000,,803280000,,,37644000,474134000,-933178000,,,,127244000,,,-99808000,493545000,,,-5367685000,,-147600000,,4874292000,303450000,,-10745000,-7158000,5012239000,,,,0,,,,-4860000,17817965000,-3829000,440365000,983314000,4298474369
2017-12-31,,563709000,-448146000,-385401000,-270507000,,,216873000,346836000,-2451351000,,0,0,,-7349000,-385401000,,,,-42013000,,258886000,,,76760000,512326000,-1286410000,,,,68959000,,,-100216000,1633246000,,,-2451351000,,-75000000,,2083077000,44112000,,-41773000,-7211000,2003205000,,,,0,,,,-7349000,23692849000,-669000,983314000,712807000,4298474369
2018-12-31,,-582404000,-583179000,1508029000,653471000,,,-387194000,-195210000,-7193806000,,0,0,,-3702000,1508029000,,,,-256687000,,-130507000,,,109273000,822404000,-305496000,,,,-297536000,,,-170942000,110286000,,,-7193806000,,-29650000,,6519266000,264210000,,-142444000,-755000,6610627000,,,,0,,,,-3702000,35987458000,311025000,724941000,1378412000,4298474369
2018-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4298474369
