Date,"Net Income/Starting Line, Cumulative","Cash from Operating Activities, Cumulative","Cash from Investing Activities, Cumulative","Cash from Financing Activities, Cumulative","Net Change in Cash, Cumulative","Depreciation / Depletion, Cumulative","Amortization, Cumulative",Non-Cash Items,"Changes in Working Capital, Cumulative","Capital Expenditures, Cumulative","Total Cash Dividends Paid, Cumulative","Common Stock Issued (Retired), Net","Issuance (Retirement) of Stock, Net, Cumulative","Short Term Debt Issued (Reduced), Net","Long Term Debt Issued (Reduced), Net","Issuance (Retirement) of Debt, Net, Cumulative",Accounts Receivable (CF),"Depreciation (CF), Cumulative",Amortization of Intangibles (CF),Unusual Items (CF),Equity in Net Earnings (Loss) (CF),Other Non-Cash Items,Cash Receipts,Cash Payments,Cash Taxes Paid,"Cash Interest Paid, Supplemental, Cumulative",Net Changes in Working Capital,Loan Loss Provision,Inventories (CF),Prepaid Expenses (CF),Other Assets (CF),Accounts Payable (CF),Payable / Accrued (CF),Other Liabilities (CF),Other Operating Cash Flow,"Investment Securities, Gains/Losses (CF)","Loans, Gains/Losses (CF)","Purchase of Fixed Assets, Cumulative",Purchase/Acquisition of Intangibles,Acquisition of Business,Sale of Business,Sale of Fixed Assets,Sale/Maturity of Investment,"Investment, Net (CF)",Purchase of Investments,Other Investing Cash Flow,"Other Investing Cash Flow Items, Total, Cumulative",Other Financing Cash Flow,Financing Cash Flow Items,Cash Dividends Paid - Common,Sale/Issuance of Common,Repurchase/Retirement of Common,Short Term Debt Reduction,Long Term Debt Issued,Long Term Debt Reduction,Total Debt Issued,"Foreign Exchange Effects, Cumulative",Net Cash - Beginning Balance,Net Cash - Ending Balance,OAPermID
2010-12-31,71887000000,242955000000,74712000000,-209385000000,108282000000,9424000000,,-112673000000,266597000000,-8174000000,-5986000000,,,,-203399000000,-203399000000,,9424000000,,-6226000000,,-106447000000,,,,,36795000000,,,,25869000000,,,-45889000000,229802000000,-408000000,65824000000,-5192000000,-2982000000,,,1415000000,493000000,80978000000,,,82886000000,,,-5986000000,,,,,-172086000000,,,267297000000,375579000000,5000038955
2011-12-31,70805000000,-231577000000,-186328000000,351416000000,-66489000000,8534000000,,-152012000000,-156756000000,-4490000000,-21551000000,,,,372967000000,372967000000,,8534000000,,-29727000000,-548000000,-121737000000,,,,,-353791000000,,,,-2623000000,,,206698000000,197035000000,,-557866000000,-3750000000,-740000000,,,,114000000,-181782000000,,-170000000,-181838000000,,,-21551000000,,,,,,,,375579000000,309090000000,5000038955
2012-12-31,51482000000,237392000000,-159412000000,117832000000,195812000000,8600000000,,-115889000000,294788000000,-5080000000,-21241000000,,,,139073000000,139073000000,,8600000000,,-21374000000,-458000000,-94057000000,,,,,57286000000,,,,10182000000,,,555792000000,237502000000,,-508688000000,-4193000000,-887000000,,,,239000000,-154571000000,,0,-154332000000,,,-21241000000,,,,,,,,309090000000,504902000000,5000038955
2012-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000038955
2013-12-31,65269000000,-218279000000,40620000000,226489000000,48830000000,7869000000,,-106000000000,-184121000000,-5323000000,-15444000000,,,,241933000000,241933000000,,7869000000,,-9739000000,-328000000,-95933000000,,,,,-388323000000,,,,6702000000,,,166471000000,204202000000,25200000000,-625687000000,-3313000000,-2010000000,,,,,46807000000,-864000000,,45943000000,,,-15444000000,,,,,,,,504902000000,553732000000,5000038955
2014-12-31,-534819000000,-875695000000,324264000000,543795000000,-7636000000,6866000000,,-131770000000,-194840000000,-5537000000,-19580000000,,,,563375000000,563375000000,,6866000000,,20981000000,-780000000,-151971000000,,,1798000000,,-448010000000,,,,-4435000000,,,273102000000,253170000000,-5338000000,-809313000000,-3444000000,-2093000000,,,,,331896000000,-2202000000,107000000,329801000000,,,-19580000000,,,,,,,,553732000000,546096000000,5000038955
2015-12-31,479770000000,-103597000000,-291907000000,475350000000,79846000000,12549000000,,-182333000000,-400574000000,-149488000000,-30441000000,,30133000000,,475658000000,475658000000,,12549000000,,-8130000000,-934000000,-173269000000,,,68000000,,-766461000000,,,,-123008000000,,,1238950000000,365887000000,-142832000000,-1945566000000,-5766000000,-143722000000,,,,9000000,-142580000000,-104000000,256000000,-142419000000,,,-30441000000,,,,,,,,546096000000,625942000000,5000038955
2016-12-31,114915000000,818741000000,-75111000000,-236384000000,507246000000,18076000000,,-210234000000,902710000000,-19689000000,-22922000000,,0,,-210227000000,-210227000000,,18076000000,,-11912000000,-1033000000,-197289000000,,,261000000,386331000000,608164000000,,,,42623000000,,,846931000000,294546000000,-275000000,-351932000000,-12500000000,-7189000000,,,,0,-55336000000,-351000000,265000000,-55422000000,-3235000000,-3235000000,-22922000000,,,,,,,,625942000000,1133188000000,5000038955
2016-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000038955
2017-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000038955
