Date,"Net Income/Starting Line, Cumulative","Cash from Operating Activities, Cumulative","Cash from Investing Activities, Cumulative","Cash from Financing Activities, Cumulative","Net Change in Cash, Cumulative","Depreciation / Depletion, Cumulative","Amortization, Cumulative",Non-Cash Items,"Changes in Working Capital, Cumulative","Capital Expenditures, Cumulative","Total Cash Dividends Paid, Cumulative","Common Stock Issued (Retired), Net","Issuance (Retirement) of Stock, Net, Cumulative","Short Term Debt Issued (Reduced), Net","Long Term Debt Issued (Reduced), Net","Issuance (Retirement) of Debt, Net, Cumulative",Accounts Receivable (CF),"Depreciation (CF), Cumulative",Amortization of Intangibles (CF),Unusual Items (CF),Equity in Net Earnings (Loss) (CF),Other Non-Cash Items,Cash Receipts,Cash Payments,Cash Taxes Paid,"Cash Interest Paid, Supplemental, Cumulative",Net Changes in Working Capital,Loan Loss Provision,Inventories (CF),Prepaid Expenses (CF),Other Assets (CF),Accounts Payable (CF),Payable / Accrued (CF),Other Liabilities (CF),Other Operating Cash Flow,"Investment Securities, Gains/Losses (CF)","Loans, Gains/Losses (CF)","Purchase of Fixed Assets, Cumulative",Purchase/Acquisition of Intangibles,Acquisition of Business,Sale of Business,Sale of Fixed Assets,Sale/Maturity of Investment,"Investment, Net (CF)",Purchase of Investments,Other Investing Cash Flow,"Other Investing Cash Flow Items, Total, Cumulative",Other Financing Cash Flow,Financing Cash Flow Items,Cash Dividends Paid - Common,Sale/Issuance of Common,Repurchase/Retirement of Common,Short Term Debt Reduction,Long Term Debt Issued,Long Term Debt Reduction,Total Debt Issued,"Foreign Exchange Effects, Cumulative",Net Cash - Beginning Balance,Net Cash - Ending Balance,OAPermID
2010-12-31,4011000000,37326000000,-11118000000,-1432000000,25199000000,622000000,,-2328000000,35021000000,-695000000,-1874000000,0,25000000,,633000000,633000000,,622000000,,,-5000000,-2323000000,,,1087000000,,38093000000,,,,15996000000,,214000000,20654000000,-3072000000,,1229000000,-511000000,-184000000,0,517000000,141000000,57569000000,,-68653000000,,-10423000000,-216000000,-216000000,-1874000000,0,,,0,,,423000000,60806000000,86005000000,4295895566
2011-12-31,3111000000,19302000000,6188000000,-1002000000,22435000000,549000000,,3941000000,11701000000,-672000000,-1819000000,,0,,898000000,898000000,,549000000,,,1000000,3940000000,,,486000000,,12584000000,,,,14567000000,,-440000000,-7908000000,-883000000,,6365000000,-391000000,-281000000,-141000000,14000000,34000000,74328000000,,-67375000000,,6860000000,-81000000,-81000000,-1819000000,,,,1602000000,,,-2053000000,86005000000,108440000000,4295895566
2012-12-31,1004000000,-1697000000,-3162000000,-2720000000,-10282000000,541000000,,7268000000,-10510000000,-576000000,-2821000000,,,,123000000,123000000,,541000000,,,3000000,7265000000,,,171000000,,-10142000000,,,,-39475000000,,-11000000,23898000000,-368000000,,5446000000,-347000000,-229000000,0,51000000,30000000,54772000000,,-47434000000,-10008000000,-2586000000,-22000000,-22000000,-2821000000,,,,473000000,,,-2703000000,108440000000,98158000000,4295895566
2013-12-31,3294000000,12498000000,-724000000,-1099000000,10611000000,542000000,,1389000000,7273000000,-521000000,-2014000000,402000000,402000000,,535000000,535000000,,542000000,,,0,1389000000,,,,,8029000000,,,,-33107000000,,-288000000,61323000000,-756000000,,-19899000000,-322000000,-199000000,-406000000,12000000,14000000,32472000000,,-32298000000,0,-203000000,-22000000,-22000000,-2014000000,402000000,,,542000000,,,-64000000,98158000000,108769000000,4295895566
2013-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4295895566
2014-12-31,1953000000,-33425000000,-1378000000,-750000000,-37269000000,532000000,,4852000000,-40762000000,-642000000,-1274000000,2502000000,2502000000,,-2039000000,-2039000000,,532000000,,,-3000000,4855000000,,,,,-39929000000,,,,24280000000,,-459000000,-58501000000,-833000000,,-5249000000,-411000000,-231000000,-72000000,135000000,414000000,26132000000,,-27347000000,,-736000000,61000000,61000000,-1274000000,2502000000,,,203000000,,,-1716000000,108769000000,71500000000,4295895566
2015-12-31,2971000000,-9745000000,2810000000,-893000000,-8505000000,523000000,,3661000000,-16900000000,-648000000,-1027000000,1388000000,1388000000,,-1259000000,-1259000000,,523000000,,,-2000000,3663000000,,,,,-15929000000,,,,16412000000,,-60000000,-33027000000,-971000000,,746000000,-431000000,-217000000,0,91000000,30000000,33876000000,,-30540000000,-1000000,3458000000,5000000,5000000,-1027000000,1388000000,,,1140000000,,,-677000000,71500000000,62995000000,4295895566
2015-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4295895566
2016-12-31,874000000,16870000000,-2357000000,-764000000,19042000000,2751000000,,-11847000000,25092000000,-689000000,-804000000,197000000,197000000,,-1406000000,-1406000000,,2751000000,,,4000000,-11851000000,,,,,25846000000,,,,-11769000000,,,37615000000,-754000000,,,-425000000,-264000000,-38000000,,,31312000000,,-32942000000,,-1668000000,1249000000,1249000000,-804000000,197000000,,,1055000000,,,5293000000,62995000000,82037000000,4295895566
2017-12-31,2370000000,15086000000,22694000000,9027000000,47700000000,556000000,,702000000,11458000000,-661000000,-873000000,0,0,,8841000000,8841000000,,556000000,,-61000000,-21000000,784000000,,,,,12599000000,,,,-12956000000,,,31160000000,-1141000000,,-5605000000,-304000000,-357000000,-19000000,,,39990000000,,-16573000000,-43000000,23355000000,1059000000,1059000000,-873000000,0,,,10092000000,-1251000000,,893000000,82037000000,129737000000,4295895566
2017-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4295895566
2018-12-31,1974000000,12101000000,-32440000000,-9233000000,-28417000000,321000000,,-2013000000,11819000000,-544000000,-13044000000,818000000,818000000,,-491000000,-491000000,,321000000,,,-16000000,-1997000000,,,473000000,,12312000000,220000000,,,-5736000000,,,25048000000,-493000000,,-7220000000,-111000000,-433000000,-29598000000,,,26937000000,,-29235000000,,-31896000000,3484000000,3484000000,-13044000000,818000000,,,12274000000,-12765000000,,1155000000,125475000000,97058000000,4295895566
2019-12-31,-872000000,3193000000,-2388000000,-2047000000,-4720000000,323000000,,5452000000,-1710000000,-443000000,-2985000000,1319000000,1319000000,,-364000000,-364000000,,323000000,,1200000000,10000000,4242000000,,,287000000,,-1410000000,130000000,,,-19890000000,,,14909000000,-300000000,,3441000000,-58000000,-385000000,-49000000,0,,24304000000,,-26200000000,,-1945000000,-17000000,-17000000,-2985000000,1319000000,,,6736000000,-7100000000,,-3478000000,97058000000,92338000000,4295895566
2020-12-31,-1614000000,33899000000,-4154000000,401000000,32966000000,279000000,,-994000000,36228000000,-220000000,-263000000,0,-318000000,,-18000000,-18000000,,279000000,,994000000,1000000,-1989000000,,,-142000000,,36108000000,810000000,,,17376000000,,,11142000000,120000000,,6780000000,-70000000,-150000000,-371000000,57000000,,17417000000,,-21037000000,,-3934000000,1000000000,1000000000,-263000000,0,,,0,-18000000,,2820000000,92338000000,125304000000,4295895566
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4295895566
2021-12-31,1023000000,15303000000,6059000000,-631000000,15619000000,174000000,,4675000000,9431000000,-45000000,-194000000,,0,,-436000000,-436000000,,174000000,,,-191000000,4866000000,,,581000000,,10036000000,-171000000,,,26190000000,,,-27132000000,-605000000,,11149000000,,-45000000,-85000000,0,52000000,25027000000,,-18890000000,,6104000000,-1000000,-1000000,-194000000,,,,10466000000,-10902000000,,-5112000000,125304000000,140923000000,4295895566
