RIC,Year,Month,Prev Bond Rating,Correct Bond Rating,Pred Bond Rating,Correct Credit Migration,Pred Credit Migration,Probability of Migration
46625HJU5=,2023.0,8,5.0,5.0,6.0,0.0,1.0,0.5366197183098592
46625HJX9=,2023.0,8,5.0,5.0,6.0,0.0,1.0,0.5647887323943662
46625HKC3=,2023.0,8,5.0,5.0,5.0,0.0,0.0,0.5225352112676056
46625HMN7=,2023.0,8,5.0,5.0,6.0,0.0,1.0,0.5211267605633803
46625HQW3=,2023.0,8,5.0,5.0,6.0,0.0,1.0,0.5774647887323944
46625HRS1=,2023.0,8,5.0,5.0,6.0,0.0,1.0,0.5352112676056339
46625HRV4=,2023.0,8,5.0,5.0,6.0,0.0,1.0,0.5774647887323944
48126BAA1=,2023.0,8,5.0,5.0,6.0,0.0,1.0,0.5929577464788732
48128G3G3=,2023.0,8,5.0,5.0,5.0,0.0,0.0,0.5647887323943662
48128G3S7=,2023.0,8,5.0,5.0,5.0,0.0,0.0,0.5929577464788732
48128G4N7=,2023.0,8,5.0,5.0,6.0,0.0,1.0,0.5492957746478874
48128G4X5=,2023.0,8,5.0,5.0,6.0,0.0,1.0,0.5633802816901409
48128G5Y2=,2023.0,8,5.0,5.0,5.0,0.0,0.0,0.5929577464788732
48128GU40=,2023.0,8,5.0,5.0,6.0,0.0,1.0,0.5647887323943662
48128GV56=,2023.0,8,5.0,5.0,6.0,0.0,1.0,0.5211267605633803
48128GV72=,2023.0,8,5.0,5.0,6.0,0.0,1.0,0.5352112676056339
48128GW48=,2023.0,8,5.0,5.0,6.0,0.0,1.0,0.5633802816901409
48128GX21=,2023.0,8,5.0,5.0,6.0,0.0,1.0,0.5774647887323944
48128GY53=,2023.0,8,5.0,5.0,6.0,0.0,1.0,0.5915492957746479
48128GY79=,2023.0,8,5.0,5.0,6.0,0.0,1.0,0.5492957746478874
48128GZ37=,2023.0,8,5.0,5.0,5.0,0.0,0.0,0.5788732394366198
539439AR0=,2023.0,8,6.0,6.0,6.0,0.0,0.0,0.5661971830985916
539439AS8=,2023.0,8,6.0,6.0,6.0,0.0,0.0,0.5225352112676056
539439AT6=,2023.0,8,6.0,6.0,6.0,0.0,0.0,0.5380281690140845
53944YAD5=,2023.0,8,6.0,6.0,6.0,0.0,0.0,0.5366197183098592
53944YAF0=,2023.0,8,6.0,6.0,6.0,0.0,0.0,0.5802816901408452
53944YAH6=,2023.0,8,6.0,6.0,6.0,0.0,0.0,0.5366197183098592
55608PAQ7=,2023.0,8,6.0,5.0,6.0,-1.0,0.0,0.9014084507042254
55608PAW4=,2023.0,8,6.0,5.0,6.0,-1.0,0.0,0.8873239436619719
55608PBE3=,2023.0,8,6.0,5.0,6.0,-1.0,0.0,0.943661971830986
55608PBJ2=,2023.0,8,6.0,5.0,6.0,-1.0,0.0,0.8591549295774649
590188JB5=,2023.0,8,5.0,5.0,6.0,0.0,1.0,0.5492957746478874
59018YTM3=,2023.0,8,5.0,5.0,6.0,0.0,1.0,0.5633802816901409
606822AH7=,2023.0,8,8.0,8.0,8.0,0.0,0.0,0.7464788732394367
606822AJ3=,2023.0,8,8.0,8.0,8.0,0.0,0.0,0.7605633802816902
606822AN4=,2023.0,8,8.0,8.0,8.0,0.0,0.0,0.8169014084507042
606822AR5=,2023.0,8,8.0,8.0,8.0,0.0,0.0,0.8309859154929577
606822AU8=,2023.0,8,8.0,8.0,8.0,0.0,0.0,0.8028169014084506
606822BB9=,2023.0,8,8.0,8.0,8.0,0.0,0.0,0.8169014084507042
606822BC7=,2023.0,8,8.0,8.0,8.0,0.0,0.0,0.7887323943661972
606822BD5=,2023.0,8,8.0,8.0,8.0,0.0,0.0,0.7464788732394367
606822BE3=,2023.0,8,8.0,8.0,8.0,0.0,0.0,0.8169014084507042
606822BH6=,2023.0,8,8.0,8.0,8.0,0.0,0.0,0.7605633802816902
606822BJ2=,2023.0,8,8.0,8.0,8.0,0.0,0.0,0.7887323943661972
606822BK9=,2023.0,8,8.0,8.0,8.0,0.0,0.0,0.7042253521126761
606822BM5=,2023.0,8,8.0,8.0,8.0,0.0,0.0,0.7183098591549296
606822BN3=,2023.0,8,8.0,8.0,8.0,0.0,0.0,0.7042253521126761
606822BR4=,2023.0,8,8.0,8.0,8.0,0.0,0.0,0.7746478873239437
606822BS2=,2023.0,8,6.0,6.0,6.0,0.0,0.0,0.8873239436619719
606822BU7=,2023.0,8,6.0,6.0,6.0,0.0,0.0,0.676056338028169
60687YAD1=,2023.0,8,5.0,5.0,5.0,0.0,0.0,0.8873239436619719
60687YAG4=,2023.0,8,5.0,5.0,5.0,0.0,0.0,0.943661971830986
60687YAK5=,2023.0,8,5.0,5.0,5.0,0.0,0.0,0.8591549295774649
60687YAM1=,2023.0,8,5.0,5.0,5.0,0.0,0.0,0.915492957746479
60687YAR0=,2023.0,8,5.0,5.0,5.0,0.0,0.0,0.8309859154929577
6325C0DJ7=,2023.0,8,4.0,4.0,4.0,0.0,0.0,0.5070422535211268
6325C0DZ1=,2023.0,8,4.0,4.0,4.0,0.0,0.0,0.6901408450704225
6325C0EB3=,2023.0,8,4.0,4.0,4.0,0.0,0.0,0.676056338028169
63307A2P9=,2023.0,8,4.0,4.0,4.0,0.0,0.0,0.5366197183098592
637138AC2=,2023.0,8,6.0,6.0,6.0,0.0,0.0,0.5366197183098592
66938FJU9=,2023.0,8,8.0,4.0,6.0,-4.0,-2.0,0.5647887323943662
680033AC1=,2023.0,8,7.0,7.0,7.0,0.0,0.0,0.7464788732394367
693475AT2=,2023.0,8,7.0,7.0,6.0,0.0,-1.0,0.5507042253521127
693475AW5=,2023.0,8,7.0,7.0,6.0,0.0,-1.0,0.5661971830985916
