columns,Feature Importances
Ticker_BNPP,0.00021559384172338707
Ticker_BNS,0.00027961168259351603
Ticker_BSANT,0.0001493746792025347
Ticker_CBA,0.0003281585358954622
Ticker_CFG,8.641343995459192e-05
Ticker_CHILX,4.1862495840396086e-05
Ticker_CM,0.00013798234323221796
Ticker_CRDI,0.0004837236190305761
Ticker_GARAN,0.0005997577893663532
Ticker_HBAN,0.0002872161902574738
Ticker_HSBA,0.00032050628514089296
Ticker_HTH,0.0012289753886344866
Ticker_INGA,0.0001091793620443532
Ticker_ISCTR,0.0006015290058950087
Ticker_ISP,0.00039372871336550256
Ticker_JPM,0.0005382522718846978
Ticker_LLOY,0.0001027490663657133
Ticker_MDBI,0.00020688426035375858
Ticker_MQGMBL,0.0003214239554332823
Ticker_MTFGI,0.0003590956051340274
Ticker_MZFG,9.06450379299198e-05
Ticker_NAB,0.0005402019658540181
Ticker_NDAFI,7.420880630802217e-05
Ticker_NWG,0.0001884303496363298
Ticker_ONB,4.993867865031267e-05
Ticker_PNC,0.0002408256339921381
Ticker_RF,6.34942569813625e-05
Ticker_RY,0.00035942216811566367
Ticker_SOGN,2.0566325641204363e-05
Ticker_STAN,0.0002201982079236534
Ticker_SUMFG,0.00015508228221632167
Ticker_TD,0.00039824786208708863
Ticker_TFC,0.000725539627986265
Ticker_VAKBN,0.0033234849000413676
Ticker_WBC,0.0004789389855733868
Ticker_WBS,0.0004148523525864097
Ticker_WFC,0.00047636682845319747
Ticker_YKBNK,0.012218523012120572
Unemployment,0.053815735985737655
Year,0.02191718357295302
