Date,Tier 1 Capital Ratio,Total Capital Ratio,Non Performing Loan Ratio,Coverage Ratio,Equity at Risk,Dividend Growth,Efficiency Ratio,Loan to Deposit Ratio,CASA Ratio,CD Non Equity Ratio,Liquid Assets to Total Assets Ratio,Stable funds to Net Loans,Liquid Assets to Wholesale funds Ratio,Total Investment Securities to Total Assets Ratio,E/A Ratio,D/E Ratio,LT Debt/E Ratio,Net Profit Margin,"Total Assets, Reported",Total Deposits,Total Debt,Cash and Equivalents,Total Equity,Net Income After Taxes,Net Interest Margin,ROAA,ROAE,Liquidity Coverage Ratio
2010-12-31,,,,,,,0.19912609238451934,,,,0.005619548910417779,,,0.0,0.3299768606809571,2.004854743006858,2.004854743006858,158.11856,30568985619.898952,,20223085891.954918,171783909.8328799,10087057909.055578,1070345899.727944,0.029253960143076137,0.035014112441833854,0.10611081143561686,
2011-12-31,,,,,,,0.8215158924205379,,,,0.0050812143889786545,,,,0.2800620801088528,2.5391330752296364,2.5391330752296364,16.5392,36561212592.3047,,25999222697.240574,185775359.50252622,10239409249.902838,134473377.3804897,0.04279164544065207,0.0036780338464155117,0.013132923403932286,0.1460880195599022
2012-12-31,,,,,,,0.2616580310880829,,,,0.004829689883070666,,0.08003888528839923,,0.2727699346916429,2.5025089605734765,2.281290322580645,68.82255,39752817722.502914,,27135639331.519627,191993781.5779246,10843373493.975904,792848814.6132919,0.036281179138321996,0.019944468343044856,0.07311827956989247,0.17128987517337033
2013-12-31,,,,,,,0.2650834403080873,,,,0.004554924629274071,,0.14452365521710953,,0.3038522815474488,2.097472438827642,1.99374831944071,84.0474,38055188495.91916,,24253400699.572483,173338515.3517295,11563155849.203264,786630392.5378935,0.026083131735210027,0.0206707790350913,0.06802904006453347,
2014-12-31,,,,,,,1.0992248062015504,,,,0.006439689827957399,,0.13338595106550907,,0.26957151294606285,2.5059014771361934,2.3268075482366246,-62.76042,40798289933.92927,,27560046638.165565,262728332.68558103,10998056743.101439,-441507967.3532841,0.02573414032728088,-0.010821727284851488,-0.040144179800692625,0.14772727272727273
2015-12-31,,,,,,,0.4864457831325301,,,,0.006147318028506148,,0.1308880308880309,,0.26667392013926666,2.507139942880457,2.3310213518291856,36.5894,42865137971.2398,,28659152739.992226,263505635.44500583,11431014380.10105,623396813.0586864,0.026677518538614577,0.014543212563014543,0.05453556371549027,0.3087431693989071
2016-12-31,,,,,,,0.3094140882159315,,,,0.005561774792544024,,0.12631154156577887,,0.27645396876166106,2.443051806144749,2.283776835068775,74.2674,43744267392.14925,,29544500582.97707,243295763.69996113,12093276331.130976,771084337.3493977,0.023053589484327605,0.017627094550171474,0.0637614089214552,0.31808943089430897
2017-12-31,,,,,,,0.3637110016420361,,,,0.006620041642197426,,0.14037735849056604,,0.28779385332692686,2.3352708384862724,2.171407370764284,51.6129,43678973960.35756,,29355616012.436844,289156626.5060241,12570540225.4178,600077730.2759424,0.01868530020703934,0.013738365988646273,0.0477368290873114,
2018-12-31,,,,,,,0.5283687943262412,,,,0.035520848490727716,,1.0427147603227338,,0.2632617095924076,2.630719154946877,2.501320395504514,13.27434,48076952973.18305,,33296541002.720562,1707734162.4562767,12656820831.713953,264282938.20443064,-0.003620564808110065,0.00549708169633474,0.02088067309463858,
2019-12-31,,,,,,,0.3269856014862982,,,,0.042565358279204116,,1.7393648891551827,,0.26143311681646897,2.667807066741447,1.6095905776780706,72.7323,53012825495.53051,,36973960357.55927,2256509910.610183,13859308200.544111,1113097551.4963078,-0.0071286120422624855,0.020996759578305303,0.08031407739764442,
2020-12-31,,,,,,,0.4110429447852761,,,,0.03724989967322135,,1.9209164818920916,,0.2564209138336295,2.701246436755911,1.8311441506902912,13.81215,54233968130.58687,,37565487757.48154,2020209871.7450447,13906723668.869024,225417800.23319083,0.01113718796671645,0.00415639511551912,0.016209267229333184,
2021-12-31,,,,,,,0.17773094485423252,,,,0.03319379990103379,,2.482,,0.27209019298409853,2.4802162693536496,1.692602605062669,191.61392,58121259230.47027,,39222697240.5752,1929265448.8923435,15814224640.497475,1944811504.0808396,0.021897491821155943,0.033461276129084026,0.12297861882526419,2.011345218800648
