Date,Tier 1 Capital Ratio,Total Capital Ratio,Non Performing Loan Ratio,Coverage Ratio,Equity at Risk,Dividend Growth,Efficiency Ratio,Loan to Deposit Ratio,CASA Ratio,CD Non Equity Ratio,Liquid Assets to Total Assets Ratio,Stable funds to Net Loans Ratio,Liquid Assets to Wholesale funds Ratio,Total Investment Securities to Total Assets Ratio,E/A Ratio,D/E Ratio,LT Debt/E Ratio,Net Profit Margin,"Total Assets, Reported",Total Deposits,Total Debt,Cash and Equivalents,Total Equity,Net Income After Taxes,Net Interest Margin,ROAA,ROAE,Liquidity Coverage Ratio
2010-12-31,15.7,,,,,,,,,0.1016632120633443,0.5754684802290816,,,,0.03193456015496694,0.7838728819146832,0.7838728819146832,,426797268152.4083,42003953989.935295,10683860531.991373,245608375269.5902,13629583033.788641,0.0,,0.0,0.0,
2013-12-31,16.6,19.8,,,,,0.7675139960659706,1.3371059369381788,,0.5403537520185988,0.12528265791853174,0.7478838978831301,,0.06957457461197587,0.05692465195525299,5.334383532871246,5.334383532871246,1.49693,601271567217.8289,306404565061.1071,182580877066.85837,75328900071.89073,34227174694.464413,307332854.06182605,-0.015552912710943428,0.0005111381791823283,0.008979206049149339,
2014-12-31,16.0,21.3,,,,,0.6703095147115017,1.3410240624473653,,0.5358027534355706,0.13121837770854194,0.7456987745432418,,0.05839203859718156,0.05637760870139748,5.2343351216209175,5.2343351216209175,9.57184,612047088425.5931,309448238677.21063,180614665708.12366,80311826024.44284,34505751258.08771,1655283968.3680806,-0.0038171200683663298,0.0027045042769929203,0.047971248502526175,4.5835983177761825
2015-12-31,,,,,,,0.7043715432987347,1.2786759742504816,0.3143202884472909,0.5711039581772764,0.1434489199751925,0.7820589579671797,1.8221403042607736,0.05564451620221352,0.05996373155457871,4.69185603734185,3.37897064242722,12.15824,610017074047.4479,327492810927.3904,171622933141.62473,87506290438.53343,36578900071.890724,1989575844.7160316,0.007450916408331973,0.0032615084550260964,0.05439135241370839,4.80470715942172
2016-12-31,17.6,25.0,0.055620972682676725,0.2924380907741583,0.8272456811420286,,0.8028260728006772,1.2254388291394456,0.2826286988573934,0.5934943157177872,0.16578653864438653,0.816034204418218,2.3876065032168317,0.05218890027513119,0.06036737484398417,4.410485262131553,3.2602565064126603,11.85723,595428648454.3494,332050682961.8979,158532530553.5586,98714054636.95183,35944464414.09058,1818835370.2372394,0.014047886039605181,0.0030546655337439425,0.05060126503162579,
2017-12-31,18.8,26.2,,,,,0.7553312482229173,1.202889845496713,,0.6377585766578701,0.15608027317157305,0.8313313174466669,,0.047577824544644945,0.06490146619103768,3.848038839913121,3.848038839913121,16.39509,541868260244.42847,323152408339.3242,135328001437.81451,84574946081.95543,35168044572.25018,2402947519.7699494,0.030170384192811428,0.004434560383156631,0.0683275840040884,14.903404592240697
2018-12-31,19.5,26.6,0.04178722128604716,0.20298913043478262,0.5301161537540414,,0.7110813289130281,1.207042794779142,0.25011957324102924,0.6592215527391093,0.15445170272188227,0.8284710404016574,3.056816277276841,0.031722266727864275,0.070718806578856,3.5303077475751405,2.815830439468327,18.08243,530586808051.7613,325038641265.2768,132465851905.10423,81950035945.36305,37522465851.905106,2699496764.9173255,0.017903743315508022,0.005087757034196705,0.07194347982277571,
2019-12-31,18.8,25.2,0.03532479688241793,0.25095541401273885,0.4805480792757524,,0.7082879349168301,1.216110936266309,0.2299282768216528,0.6589185924675476,0.15642281213278744,0.822293402829013,59.44851994851995,0.022866653798353533,0.06920104707432129,3.6150477122583804,3.5770247125030585,13.37343,530731488138.0302,325508626887.13153,132770488856.93745,83018511861.9698,36727174694.46442,1979690869.8777857,0.018893942326301528,0.0037301176096092435,0.05390261805725471,1.9864321499989248
2020-12-31,19.0,24.2,0.031527710362409894,0.3381294964028777,0.4631935451738221,,0.7370815980256055,1.0355673419578777,0.18174695691605672,0.7113656093038024,0.20537343932382035,0.9656542452462504,131.29322548028313,0.024507400459938822,0.06351204729714768,3.187468871401534,3.1628399242952487,7.65825,568168583752.6959,378505571531.27246,115021567217.8289,116686736161.03523,36085549964.054634,984902947.5197699,0.04418766809443172,0.0017334695646397515,0.027293555134973602,11.664480776140856
2021-12-31,,,,,,,0.6983420115100027,0.98345902225943,0.1767364088299565,0.7451415405202815,0.22308210959731303,1.0168191834801292,201.4138418079096,0.021220810630272938,0.0671118891292819,2.797342657342657,2.780839160839161,27.11302,574434759166.0676,399308950395.399,107841480948.95758,128146117900.7908,38551401869.158875,3317757009.345794,0.08193948058136764,0.0057756898523382005,0.08606060606060606,
